CD_PRODCOM_2016|TX_PRODCOM_FR|TX_PRODCOM_NL|CD_UNIT|CD_TYPE
08.11.12.90|Porphyres, basaltes, quartzites et autres pierres de taille ou de construction, brutes, dégrossies ou simplement débitées (à l’exclusion des pierres calcaires ornementales ou de construction d’une densité apparente >= 2,5, des granits et des grès)|Porfier, basalt, kwartsiet en andere natuursteen voor de steenhouwerij of voor het bouwbedrijf, onbewerkt, kantrecht behouwen dan wel door zagen, door splijten of op dergelijke wijze verkregen (excl. kalksteen voor de steenhouwerij of voor het bouwbedrijf, met een dichtheid >= 2,5, graniet en zandsteen)|kg|T
08.11.20.30|Gypse et anhydrite (naturel ou synthétique)|Gips en anhydriet|kg|T
08.11.20.50|Castines, pierres à chaux ou à ciment (à l’exclusion des granulats de pierres à chaux broyées et des pierres de taille calcaires)|Kalksteen voor hoogoventoeslag of voor de vervaardiging van kalk of van cement (excl. steenslag van kalksteenaggregaat en kalksteenblokken)|kg|T
08.11.30.10|Craie|Krijt|kg|T
08.11.30.30|Dolomie, brute, dégrossie ou simplement débitée en blocs ou en plaques de forme carrée ou rectangulaire (à l’exclusion de la dolomie frittée ou calcinée, du pisé de dolomie et de la dolomie concassée utilisée pour le bétonnage ou pour l’empierrement des routes, des voies ferrées ou autres ballasts)|Dolomiet, ruw, enkel kantrecht behouwen dan wel in blokken of in platen van vierkante of rechthoekige vorm (excl. gebrand of gesinterd dolomiet, steenslag van de soort gebruikt voor de vervaardiging van beton, voor het verharden van wegen, als ballastbed voor spoorwegen of als andere ballast)|kg|T
08.11.40.00|Ardoise, brute, dégrossie ou simplement débitée en blocs ou plaques carrées ou rectangulaires|Leisteen, ruw, enkel kantrecht behouwen dan wel in blokken of in platen van vierkante of rechthoekige vorm|kg|T
08.12.11.50|Sables siliceux (sables quartzeux ou sables industriels)|Kiezelzand (kwartszand en zand voor industrieel gebruik)|kg|-
08.12.11.90|Sables pour la construction comme les sables argileux; sables kaoliniques; sables feldspathiques (à l’exclusion des sables siliceux et des sables métallifères)|Zand voor de bouwnijverheid zoals kleihoudend zand; kaolienhoudend zand; veldspaatzand (excl. kiezelzand en metaalhoudend zand)|kg|-
08.12.12.10|Graviers, cailloux, silex et galets concassés utilisés comme granulats pour le bétonnage ou pour l’empierrement des routes, des voies ferrées ou autres ballasts|Keistenen en grind van de soort gebruikt voor de vervaardiging van beton, voor het verharden van wegen, als ballastbed voor spoorwegen of als andere ballast; vuurstenen en rolstenen|kg|-
08.12.12.30|Pierres concassées utilisées comme granulats pour le bétonnage ou pour l’empierrement des routes, des voies ferrées ou autres ballasts (à l’exclusion des graviers, cailloux, silex et galets)|Steenslag van de soort gebruikt voor de vervaardiging van beton, voor het verharden van wegen, als ballastbed voor spoorwegen of als andere ballast (excl, keistenen, grind, vuurstenen en rolstenen)|kg|-
08.12.12.50|Granulés, éclats et poudres de marbre|Korrels, scherven, splinters en poeder, van marmer|kg|-
08.12.12.90|Granulés, éclats et poudres de travertin, d’Écaussine, de granit, de porphyre, de basalte, de grès et d’autres pierres ornementales ou de construction|Korrels, scherven, splinters en poeder, van travertijn, ecaussine, graniet, porfier, basalt, zandsteen en andere natuursteen voor de steenhouwerij|kg|-
08.12.13.00|Mélanges de laitiers et de déchets industriels similaires, comprenant ou non des cailloux, graviers, galets et silex pour utilisation dans la construction|Mengsels van hoogovenslakken en van dergelijke industriële afvallen, voor het bouwbedrijf, ook indien deze keistenen, grind, rolstenen en vuursteen bevatten|kg|-
08.12.21.40|Kaolin|Kaolien|kg|T
08.12.21.60|Argiles kaoliniques (ball clays) et argiles plastiques|Kaolienhoudende klei ("ball clay” en plastische kleisoorten)|kg|T
08.12.22.10|Bentonite|Bentoniet|kg|T
08.12.22.30|Argiles réfractaires|Vuurvaste klei|kg|T
08.12.22.50|Argiles courantes et schisteuses pour usages dans la construction (à l’exclusion de la bentonite, des argiles réfractaires, des argiles expansées, du kaolin et des argiles kaoliniques); andalousite, cyanite et sillimanite; mullite; terres de chamotte ou de dinas|Gewone klei en schalie, voor het bouwbedrijf (excl. bentoniet, vuurvaste klei, geëxpandeerde klei, kaolien en kaolienhoudende klei); andalusiet, kyaniet en sillimaniet; mulliet; chamotte- en dinasaarde|kg|T
08.91.11.00|Phosphates de calcium ou aluminocalciques naturels et craies phosphatées|Natuurlijk calciumfosfaat, aluminiumcalciumfosfaat en gefosfateerd krijt|kg|T
08.91.12.00|Pyrites de fer non grillées; soufre brut et soufre non raffiné, y compris le soufre récupéré|IJzerkies, ongeroost; ruwe zwavel en niet-geraffineerde zwavel (incl. geregenereerde zwavel)|kg|T
08.91.19.00|Autres minéraux chimiques et engrais minéraux|Andere mineralen voor de chemische en de kunstmestindustrie|kg|T
08.93.10.00|Sel, y compris le sel dénaturé (à l’exclusion du sel propre à l’alimentation humaine), et chlorure de sodium pur, même en solution aqueuse ou additionnés d’agents anti-agglomérants ou d’agents assurant une bonne fluidité|Zout (incl. gedenatureerd zout) ( excl. zout geschikt voor menselijke consumptie) en zuiver natriumchloride, ook indien in waterige oplossing of met toegevoegde zelfstandigheden om het klonteren tegen te gaan of om de strooibaarheid te bevorderen|kg|T
08.99.10.00|Bitumes et asphaltes naturels; asphaltites et roches asphaltiques|Natuurlijk bitumen en natuurlijk asfalt; asfaltiet en asfaltsteen|kg|T
08.99.21.00|Pierres précieuses et semi-précieuses (à l’exclusion des diamants industriels), brutes ou simplement sciées ou dégrossies|Edelstenen en halfedelstenen (excl. industriediamant), onbewerkt of enkel gezaagd of ruw bewerkt|c/k|T
08.99.22.00|Diamants industriels, bruts ou dégrossis; pierre ponce; émeri; corindon et grenat naturels et autres abrasifs naturels|Industriediamant, onbewerkt of enkel gezaagd, gekloofd of ruw gesneden; puimsteen; amaril; natuurlijk korund, natuurlijk granaat en andere natuurlijke schuur-, slijp- en polijstmiddelen|kg|T
08.99.29.00|Autres minéraux|Andere mineralen|kg|T
10.11.11.40|Viandes bovines, fraîches ou réfrigérées, en carcasses, demi-carcasses ou quartiers|Vlees van runderen (hele en halve dieren, voorvoeten, voorspannen, achtervoeten en achterspannen), met been, vers of gekoeld (incl. vlees van kalveren)|kg|-
10.11.11.90|Viandes bovines, fraîches ou réfrigérées, en morceaux|Vlees van runderen (andere delen), vers of gekoeld (incl. vlees van kalveren)|kg|-
10.11.12.30|Viandes porcines, fraîches ou réfrigérées, en carcasses ou demi-carcasses, y compris les viandes fraîches emballées avec du sel pour conservation temporaire|Vlees van varkens (hele en halve dieren), vers of gekoeld (incl. vers vlees dat met zout als tijdelijk conserveringsmiddel verpakt is)|kg|-
10.11.12.50|Jambons, épaules de porc et leurs morceaux non désossés, frais ou réfrigérés, y compris les viandes fraîches emballées avec du sel pour conservation temporaire|Hammen en schouders, alsmede delen daarvan, met been, van varkens, vers of gekoeld (incl. vers vlees dat met zout als tijdelijk conserveringsmiddel verpakt is)|kg|-
10.11.12.90|Autres viandes porcines, fraîches ou réfrigérées, y compris les viandes fraîches emballées avec du sel pour conservation temporaire (à l’exclusion des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non désossés)|Vlees van varkens, vers of gekoeld (incl. vers vlees dat met zout als tijdelijk conserveringsmiddel verpakt is) (excl. hele en halve dieren; hammen en schouders, alsmede delen daarvan, met been)|kg|-
10.11.13.00|Viandes ovines ou d’agneau, fraîches ou réfrigérées, en carcasses, demi-carcasses ou quartiers|Vlees van lammeren of van schapen (hele en halve dieren en andere delen), vers of gekoeld|kg|-
10.11.14.00|Viande de caprins, fraîche ou réfrigérée|Vlees van geiten, vers of gekoeld|kg|-
10.11.15.00|Viande de cheval et autres équidés, fraîche, ou réfrigérée|Vlees van paarden of van andere paardachtigen, vers of gekoeld|kg|-
10.11.20.00|Abats comestibles d’animaux de boucherie, frais ou réfrigérés|Eetbare slachtafvallen van runderen, van varkens, van schapen, van geiten, van paarden of van andere paardachtigen, vers of gekoeld|kg|-
10.11.31.00|Viandes bovines congelées ou surgelées, en carcasses, demi-carcasses ou quartiers|Vlees van runderen (hele en halve dieren, voorvoeten, voorspannen, achtervoeten en achterspannen, andere delen), bevroren (incl. vlees van kalveren)|kg|-
10.11.32.30|Viandes porcines, congelées ou surgelées, en carcasses ou demi-carcasses|Vlees van varkens (hele en halve dieren), bevroren|kg|-
10.11.32.50|Jambons, épaules de porc et leurs morceaux non désossés, congelés|Hammen en schouders, alsmede delen daarvan, met been, van varkens, bevroren|kg|-
10.11.32.90|Autres viandes porcines, congelées ou surgelées (à l’exclusion des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non désossés)|Vlees van varkens, bevroren (excl. hele en halve dieren; hammen en schouders, alsmede delen daarvan, met been)|kg|-
10.11.33.00|Viandes ovines ou d’agneau, congelées ou surgelées, en carcasses, demi-carcasses ou quartiers|Vlees van lammeren of van schapen (hele en halve dieren en andere delen), bevroren|kg|-
10.11.34.00|Viande de caprins, congelée ou surgelée|Vlees van geiten, bevroren|kg|-
10.11.35.00|Viande de cheval, congelée ou surgelée|Vlees van paarden of van andere paardachtigen, bevroren|kg|-
10.11.39.10|Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, congelés|Eetbare slachtafvallen van runderen, van varkens, van schapen, van geiten, van paarden of van andere paardachtigen, bevroren|kg|-
10.11.39.30|Viandes et abats comestibles, frais, réfrigérés, congelés ou surgelés, y compris de lapins, de lièvres et de gibier (à l’exclusion des cuisses de grenouilles et des viandes et abats de volailles et d’animaux des espèces bovine, chevaline, ovine et caprine)|Vlees en eetbare slachtafvallen, vers, gekoeld of bevroren (incl. vlees en slachtafvallen van konijnen, hazen en wild) (excl. kikkerbilletjes en vlees en slachtafvallen van pluimvee, runderen, paardachtigen, varkens, schapen en geiten)|kg|-
10.11.41.00|Laines en suint, y compris les laines lavées à dos, non cardées ni peignées (à l’exclusion des laines de tonte)|Ongewassen wol, niet gekaard en niet gekamd (incl. ruggewassen wol) (excl. scheerwol)|kg|-
10.11.42.00|Cuirs et peaux bruts de bovins ou d’équidés, entiers (à l’exclusion de ceux liés au SH 4101 90)|Gehele huiden en vellen van runderen of van paardachtigen, ongelooid (behalve die bedoeld bij GS-onderverdeling 4101 90)|p/st|-
10.11.43.00|Autres cuirs et peaux bruts de bovins ou d’équidés|Andere huiden en vellen van runderen of van paardachtigen, ongelooid|kg|-
10.11.44.00|Peaux d’ovins brutes|Huiden en vellen van schapen|p/st|-
10.11.45.00|Peaux de caprins, fraîches ou conservées, non tannées, brutes|Huiden en vellen van geiten, vers of geconserveerd, doch niet gelooid|p/st|-
10.11.50.40|Graisses de porc sans parties maigres, non fondues, fraîches, réfrigérées, congelées, salées, en saumure ou fumées|Spek (excl. doorregen spek) en varkensvet, vers, gekoeld, bevroren, gezouten, gepekeld, gedroogd of gerookt (excl. gesmolten vet)|kg|-
10.11.50.60|Saindoux et autres graisses de porc, fondues|Reuzel en ander gesmolten varkensvet|kg|-
10.11.50.70|Graisses de bovins, ovins, caprins, brutes ou fondues|Rund-, schapen- of geitenvet, ruw of gesmolten|kg|-
10.11.60.30|Boyaux, vessies et estomacs d’animaux (à l’exclusion des poissons), entiers ou en morceaux|Darmen, blazen en magen van dieren, in hun geheel of in stukken (excl. die van vissen)|kg|-
10.11.60.90|Autres déchets ne convenant pas à la consommation humaine (à l’exclusion des poissons, boyaux, vessies et estomacs)|Dierlijke afvalproducten, niet geschikt voor menselijke consumptie (excl. vis, darmen, blazen en magen)|kg|-
10.12.10.10|Coqs et poules, non découpés, frais ou réfrigérés|Vlees van hanen of van kippen, niet in stukken gesneden, vers of gekoeld|kg|-
10.12.10.20|Dindons et dindes, non découpés, frais ou réfrigérés|Vlees van kalkoenen, niet in stukken gesneden, vers of gekoeld|kg|-
10.12.10.30|Canards, oies et pintades, non découpés, frais ou réfrigérés|Vlees van ganzen, van eenden of van parelhoenders, niet in stukken gesneden, vers of gekoeld|kg|-
10.12.10.40|Foies gras d’oies ou de canards, frais ou réfrigérés|Vette levers (foies gras) van ganzen of van eenden, vers of gekoeld|kg|-
10.12.10.50|Morceaux de coqs et de poules, frais ou réfrigérés|Delen van hanen of van kippen, vers of gekoeld|kg|-
10.12.10.60|Morceaux de dindons et de dindes, frais ou réfrigérés|Delen van kalkoenen, vers of gekoeld|kg|-
10.12.10.70|Morceaux de canards, d’oies et de pintades, frais ou réfrigérés|Delen van ganzen, van eenden of van parelhoenders, vers of gekoeld|kg|-
10.12.20.13|Coqs et poules, non découpés, congelés ou surgelés|Vlees van hanen of van kippen, niet in stukken gesneden, bevroren|kg|-
10.12.20.15|Dindons et dindes, non découpés, congelés ou surgelés|Vlees van kalkoenen, niet in stukken gesneden, bevroren|kg|-
10.12.20.17|Canards, oies et pintades, non découpés, congelés ou surgelés|Vlees van eenden, van ganzen of van parelhoenders, niet in stukken gesneden, bevroren|kg|-
10.12.20.53|Morceaux de coqs ou poules, congelés ou surgelés|Delen van hanen of van kippen, bevroren|kg|-
10.12.20.55|Morceaux de dindons ou dindes, congelés ou surgelés|Delen van kalkoenen, bevroren|kg|-
10.12.20.57|Morceaux de canards, oies et pintades, congelés ou surgelés|Delen van eenden, van ganzen of van parelhoenders, bevroren|kg|-
10.12.20.80|Foies de volailles, congelés ou surgelés|Levers van pluimvee, bevroren|kg|-
10.12.30.00|Graisses de volailles|Vet van gevogelte|kg|-
10.12.40.20|Abats et foies de volailles, frais ou réfrigérés (à l’exclusion des foies gras de canard et d’oie)|Eetbare slachtafvallen van pluimvee, vers of gekoeld (excl. vette levers van ganzen of van eenden)|kg|-
10.12.40.50|Abats de volailles congelés (à l’exclusion des foies)|Eetbare slachtafvallen van pluimvee, bevroren (excl. levers)|kg|-
10.12.50.00|Peaux et parties d’oiseaux revêtues de leurs plumes ou de leur duvet, plumes et autres, travaillées|Geprepareerde vogelhuiden, met hun veren of dons bezet; veren enz.|kg|-
10.13.11.20|Jambons, épaules de porcs et leurs morceaux, non désossés, salés, en saumure, séchés ou fumés|Hammen en schouders, alsmede delen daarvan, met been, van varkens, gezouten, gepekeld, gedroogd of gerookt|kg|-
10.13.11.50|Poitrines de porc et leurs morceaux, salés, en saumure, séchés ou fumés|Buiken (buikspek) en delen daarvan, van varkens, gezouten, gepekeld, gedroogd of gerookt|kg|-
10.13.11.80|Autres viandes de porc comestibles, salées, en saumure, séchées ou fumées, y compris le bacon, les trois-quarts avant, les trois-quarts arrière ou milieux, les parties avant et leurs morceaux ainsi que les longes et leurs morceaux (à l’exclusion des jambons, épaules et leurs morceaux, non désossés, ainsi que des poitrines [entrelardés] et leurs morceaux)|Vlees van varkens, gezouten, gepekeld, gedroogd of gerookt (incl. "3/4 sides" en "middles"; voorstukken en karbonadestrengen, alsmede delen daarvan) (excl. hammen en schouders, alsmede delen daarvan, met been, en buiken (buikspek) en delen daarvan)|kg|-
10.13.12.00|Viandes bovines, salées, en saumure, séchées ou fumées|Vlees van runderen, gezouten, gepekeld, gedroogd of gerookt|kg|-
10.13.13.00|Autres viandes et abats comestibles, salés, en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d’abats (à l’exclusion de la viande de porc et de bœuf salée, en saumure, séchée ou fumée)|Vlees, gezouten, gepekeld, gedroogd of gerookt; meel en poeder van vlees of van slachtafvallen, geschikt voor menselijke consumptie (excl. vlees van varkens of van runderen)|kg|-
10.13.14.30|Saucisses, saucissons et produits similaires, de foie, et préparations alimentaires à base de ces produits (à l’exclusion des plats préparés)|Leverworst en bereidingen van lever, voor menselijke consumptie (excl. bereide maaltijden en schotels)|kg|-
10.13.14.60|Saucisses, saucissons et produits similaires, de viande, d’abats ou de sang, et préparations alimentaires à base de ces produits (à l’exclusion des saucisses et saucissons de foie ainsi que des plats préparés)|Worst van alle soorten, van vlees, van slachtafvallen of van bloed, en bereidingen van deze producten, voor menselijke consumptie (excl. leverworst en bereide maaltijden en schotels)|kg|-
10.13.15.05|Préparations et conserves de foie d’oie ou de canard (à l’exclusion des saucisses et saucissons ainsi que des plats préparés)|Bereidingen en conserven van levers van ganzen of van eenden (excl. worst en bereide maaltijden en schotels)|kg|-
10.13.15.15|Préparations et conserves de foies d’autres animaux (à l’exclusion des saucisses et saucissons ainsi que des plats préparés)|Bereidingen en conserven van levers van andere dieren (excl. worst en bereide maaltijden en schotels)|kg|-
10.13.15.25|Préparations et conserves de dinde (à l’exclusion des saucisses et saucissons, des préparations de foies et des plats préparés)|Bereidingen en conserven van vlees of van slachtafvallen, van kalkoenen (excl. worst, bereidingen van lever en bereide maaltijden en schotels)|kg|-
10.13.15.35|Préparations et conserves d’autres volailles (à l’exclusion des saucisses et saucissons, des préparations de foies et des plats préparés)|Bereidingen en conserven van vlees van ander pluimvee (excl. worst, bereidingen van lever en bereide maaltijden en schotels)|kg|-
10.13.15.45|Préparations et conserves de porc: jambons et leurs morceaux (à l’exclusion des plats préparés)|Bereidingen en conserven van vlees van varkens: hammen en delen daarvan (exclusief bereide maaltijden en schotels)|kg|-
10.13.15.55|Préparations et conserves de porc: épaules et leurs morceaux (à l’exclusion des plats préparés)|Bereidingen en conserven van vlees van varkens: schouders en delen daarvan (exclusief bereide maaltijden en schotels)|kg|-
10.13.15.65|Préparations et conserves de viande ou d’abats d’animaux domestiques de l’espèce porcine, y compris les mélanges, contenant en poids < 40 % de viande ou d’abats, de toutes espèces, y compris le lard et les graisses de toute nature ou origine (à l’exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés)|Bereidingen en conserven van vlees of van slachtafvallen, van varkens (huisdieren), mengsels bevattende < 40 gewichtspercenten vlees of slachtafvallen, ongeacht van welke soort, spek en vet ongeacht van welke aard daaronder begrepen (excl. worst van alle soorten, gehomogeniseerde bereidingen, bereidingen van lever en bereide maaltijden en schotels)|kg|-
10.13.15.75|Autres préparations et conserves de porc, y compris les mélanges (à l’exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés)|Andere bereidingen en conserven van vlees of van slachtafvallen, van varkens, mengsels daaronder begrepen (excl. worst van alle soorten, gehomogeniseerde bereidingen, bereidingen van lever en bereide maaltijden en schotels)|kg|-
10.13.15.85|Préparations et conserves de viandes de l’espèce bovine (à l’exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés)|Bereidingen en conserven van vlees of van slachtafvallen, van runderen (excl. worst van alle soorten, gehomogeniseerde bereidingen, bereidingen van lever en bereide maaltijden en schotels)|kg|-
10.13.15.95|Autres préparations et conserves d’autres animaux, préparations de sang et d’abats (à l’exclusion des saucisses, saucissons et produits similaires, des préparations finement homogénéisées, des préparations à base de foie ainsi que des plats préparés)|Andere bereidingen en conserven van vlees of van slachtafvallen, bereidingen van bloed daaronder begrepen (excl. worst van alle soorten, gehomogeniseerde bereidingen, bereidingen van lever en bereide maaltijden en schotels)|kg|-
10.13.16.00|Farines, poudres et pellets de viandes ou d’abats, impropres à l’alimentation humaine; cretons|Meel, poeder en pellets, van vlees of van slachtafvallen, ongeschikt voor menselijke consumptie; kanen|kg|-
10.13.91.00|Cuisson et autres services de préparation de produits à base de viande|Koken en andere bereidingen in verband met de vervaardiging van vleesproducten|-|I
10.20.11.00|Filets de poissons et autres viandes de poisson (y compris hachées), frais ou réfrigérés|Visfilets en ander visvlees (ook indien fijngemaakt), vers of gekoeld|kg|-
10.20.12.00|Foies, œufs et laitances de poissons, frais ou réfrigérés|Vislevers, hom en kuit, vers of gekoeld|kg|-
10.20.13.30|Poissons de mer congelés ou surgelés|Zeevis in gehele staat, bevroren|kg|-
10.20.13.60|Poissons d’eau douce congelés ou surgelés|Zoetwatervis in gehele staat, bevroren|kg|-
10.20.14.00|Filets de poissons, congelés ou surgelés|Visfilets, bevroren|kg|-
10.20.15.00|Viandes de poissons (y compris hachées), congelées ou surgelées (à l’exclusion des filets)|Visvlees (ook indien fijngemaakt), bevroren (excl. filets)|kg|-
10.20.16.00|Foies, œufs et laitances de poissons congelés ou surgelés|Vislevers, hom en kuit, bevroren|kg|-
10.20.21.00|Filets de poissons salés, séchés ou en saumure, mais non fumés|Visfilets, gedroogd, gezouten of gepekeld, doch niet gerookt|kg|-
10.20.22.50|Foies, oeufs et laitances de poissons, nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles, séchés, salés, en saumure ou fumés; farines, poudres et pellets de poissons, propres à l’alimentation humaine|Vislevers, hom, kuit, vinnen, koppen, staarten, zwemblazen en ander eetbaar slachtafval, gedroogd, gerookt, gezouten of gepekeld; meel, poeder en pellets van vis, geschikt voor menselijke consumptie|kg|-
10.20.23.50|Poissons séchés, salés ou non; poissons salés, mais non séchés; poissons en saumure (à l’exclusion des filets, des poissons fumés, ainsi que des têtes, queues et vessies natatoires)|Vis, gedroogd, ook indien gezouten; vis, gezouten, doch niet gedroogd; gepekelde vis (excl. filets, gerookte vis, koppen, staarten en zwemblazen)|kg|-
10.20.24.25|Saumons du Pacifique, de l’Atlantique et du Danube, fumés, y compris les filets (à l’exclusion des têtes, queues et vessies natatoires)|Pacifische zalm, Atlantische zalm en Donauzalm, gerookt (incl. filets) (excl. koppen, staarten en zwemblazen)|kg|-
10.20.24.55|Harengs fumés, y compris les filets (à l’exclusion des têtes, queues et vessies natatoires)|Haring, gerookt (incl. filets, excl. koppen, staarten en zwemblazen)|kg|-
10.20.24.85|Poissons fumés (à l’exclusion des harengs, ainsi que des saumons du Pacifique, de l’Atlantique et du Danube), y compris les filets, mais à l’exclusion des têtes, queues et vessies natatoires|Gerookte vis (incl. filets) (excl. haring, Pacifische zalm, Atlantische zalm en Donauzalm, koppen, staarten en zwemblazen|kg|-
10.20.25.10|Préparations et conserves de saumons, entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van zalm, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.20|Préparations et conserves de harengs, entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van haring, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.30|Préparations et conserves de sardines, sardinelles, sprats et esprots, entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van sardines, sardinella's en sprot, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.40|Préparations et conserves de thons, de listaos et de bonites «Sarda spp.», entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van tonijn, boniet en bonito, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.50|Préparations et conserves de maquereaux, entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van makreel, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.60|Préparations et conserves d’anchois, entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van ansjovis, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.70|Filets de poissons, enrobés de pâte ou de chapelure, y compris bâtonnets de poissons (à l’exclusion des plats préparés)|Filets van vis, omgeven door beslag of door paneermeel (gepaneerd) (incl. vissticks) (excl. bereide maaltijden en schotels)|kg|-
10.20.25.80|Autres préparations et conserves d’autres poissons, entiers ou en morceaux (à l’exclusion des produits de poissons hachés et des plats préparés)|Bereidingen en conserven van andere vis, geheel of in stukken (excl. fijngemaakte producten en bereide maaltijden en schotels)|kg|-
10.20.25.90|Préparations et conserves de poissons (à l’exclusion des plats préparés et des préparations et conserves de poissons entiers ou en morceaux)|Bereidingen en conserven van vis (excl. geheel of in stukken, en excl. bereide maaltijden en schotels)|kg|-
10.20.26.30|Caviar|Kaviaar|kg|-
10.20.26.60|Succédanés de caviar|Kaviaarsurrogaten|kg|-
10.20.31.00|Crustacés congelés, séchés, salés ou en saumure|Bevroren schaaldieren, gedroogd, gezouten of gepekeld|kg|-
10.20.32.50|Mollusques (Coquilles Saint-Jacques ou peignes, pétoncles et vanneaux, moules, seiches et sépioles, calmars et encornets, poulpes ou pieuvres), congelés ou surgelés, séchés, salés ou en saumure|Weekdieren (jakobsschelpen, mosselen, inktvissen, pijlinktvissen en achtarmige inktvissen), bevroren, gedroogd, gezouten of gepekeld|kg|-
10.20.33.50|Autres invertébrés aquatiques (palourdes, clovisses, méduses, etc.), congelés, séchés, fumés, salés ou en saumure; farines, poudres et pellets d’invertébrés aquatiques autres que les crustacés, propres à l’alimentation humaine, congelés ou surgelés, séchés, salés ou en saumure|Andere ongewervelde waterdieren (tapijtschelpen, kwallen enz.), bevroren, gedroogd, gezouten of gepekeld; meel, poeder en pellets, van ongewervelde waterdieren, andere dan schaal- en weekdieren, geschikt voor menselijke consumptie, bevroren, gedroogd, gezouten of gepekeld|kg|-
10.20.34.00|Crustacés, mollusques et autres invertébrés aquatiques et algues, autrement préparés ou conservés|Schaaldieren, weekdieren en andere ongewervelde waterdieren en zeewier, op andere wijze bereid of verduurzaamd|kg|-
10.20.41.00|Farines, poudres et pellets de poissons, crustacés, mollusques et autres invertébrés aquatiques, impropres à l’alimentation humaine|Meel, poeder en pellets, van vis, van schaaldieren, van weekdieren en van andere ongewervelde waterdieren, ongeschikt voor menselijke consumptie|kg|-
10.20.42.00|Autres produits de poissons non comestibles, crustacés, mollusques et autres invertébrés et algues (y compris les déchets de poissons, à l’exclusion des fanons de baleine ou d’autres mammifères, du corail et des matières similaires, des coquilles et carapaces, des os de seiches et des éponges brutes ou simplement préparées/naturelles|Andere niet-eetbare producten van vis, van schaaldieren, van weekdieren of van andere ongewervelde waterdieren of van zeewier (incl. visafvallen; excl. walvisbaarden en walvisbaardhaar, koraal en dergelijke stoffen, schelpen en schalen en echte sponsen)|kg|-
