Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Alken ,73001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.18,0.21,0.61
 Alken ,73001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.19,0.25,0.56
 Alveringem ,38002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.38,0.26,0.36
 Alveringem ,38002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.34,0.22,0.44
 Alveringem ,38002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.27,0.24,0.49
 Alveringem ,38002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.24,0.24,0.52
 Alveringem ,38002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.18,0.2,0.62
 Alveringem ,38002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.28,0.2,0.52
 Antwerpen ,11002,ja,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.3,0.19,0.51
 Antwerpen ,11002,ja,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.19,0.23,0.58
 Antwerpen ,11002,ja,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.26,0.2,0.54
 Anzegem ,34002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.3,0.26,0.44
 Anzegem ,34002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.5,0.19,0.32
 Anzegem ,34002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.22,0.24,0.54
 Anzegem ,34002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.18,0.29,0.53
 Anzegem ,34002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.21,0.24,0.55
 Anzegem ,34002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.34,0.23,0.44
 Ardooie ,37020,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.35,0.24,0.4
 Ardooie ,37020,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.42,0.26,0.32
 Ardooie ,37020,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.17,0.23,0.6
 Ardooie ,37020,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.17,0.24,0.59
 Ardooie ,37020,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.24,0.24,0.52
 Ardooie ,37020,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.33,0.24,0.43
 Arendonk ,13001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.18,0.2,0.62
 Arendonk ,13001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.3,0.23,0.47
 Arendonk ,13001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.11,0.26,0.63
 Arendonk ,13001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.15,0.25,0.6
 Arendonk ,13001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.24,0.24,0.52
 Arendonk ,13001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.34,0.23,0.44
 As ,71002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.2,0.14,0.66
 As ,71002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.22,0.17,0.61
 As ,71002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.08,0.17,0.75
 As ,71002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.11,0.18,0.72
 As ,71002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.15,0.18,0.67
 As ,71002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.18,0.19,0.63
 Asse ,23002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.44,0.24,0.32
 Asse ,23002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.43,0.23,0.34
 Asse ,23002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.28,0.25,0.47
 Asse ,23002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.23,0.25,0.52
 Asse ,23002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.38,0.24,0.38
 Asse ,23002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.41,0.21,0.38
 Assenede ,43002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.42,0.26,0.32
 Assenede ,43002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.58,0.19,0.23
 Assenede ,43002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.28,0.27,0.44
 Assenede ,43002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.3,0.24,0.46
 Assenede ,43002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.34,0.22,0.44
 Assenede ,43002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.47,0.25,0.28
 Avelgem ,34003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.32,0.28,0.4
 Avelgem ,34003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.3,0.25,0.45
 Avelgem ,34003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.11,0.26,0.62
 Avelgem ,34003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.13,0.27,0.6
 Avelgem ,34003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.21,0.27,0.51
 Avelgem ,34003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.26,0.25,0.5
 Baarle-Hertog ,13002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.18,0.25,0.57
 Baarle-Hertog ,13002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.26,0.27,0.47
 Baarle-Hertog ,13002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.25,0.24,0.51
 Baarle-Hertog ,13002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.23,0.24,0.53
 Baarle-Hertog ,13002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.34,0.24,0.43
 Baarle-Hertog ,13002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.36,0.23,0.42
 Balen ,13003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.27,0.24,0.48
 Balen ,13003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.19,0.24,0.57
 Balen ,13003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.23,0.28,0.49
 Balen ,13003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.11,0.25,0.64
 Balen ,13003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.19,0.27,0.54
 Balen ,13003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.16,0.25,0.59
 Beernem ,31003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.34,0.26,0.4
 Beernem ,31003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.38,0.25,0.38
 Beernem ,31003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.18,0.26,0.56
 Beernem ,31003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.14,0.25,0.62
 Beernem ,31003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.24,0.25,0.51
 Beernem ,31003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.24,0.3,0.46
 Beerse ,13004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.27,0.3,0.43
 Beerse ,13004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.44,0.28,0.29
 Beerse ,13004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.19,0.27,0.54
 Beerse ,13004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.23,0.24,0.53
 Beerse ,13004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.31,0.23,0.46
 Beerse ,13004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.4,0.22,0.38
 Beersel ,23003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.42,0.21,0.37
 Beersel ,23003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.45,0.17,0.37
 Beersel ,23003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.28,0.25,0.47
 Beersel ,23003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.22,0.24,0.53
 Beersel ,23003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.35,0.23,0.43
 Beersel ,23003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.38,0.19,0.42
 Begijnendijk ,24007,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.46,0.23,0.32
 Begijnendijk ,24007,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.43,0.24,0.33
 Begijnendijk ,24007,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.28,0.22,0.49
 Begijnendijk ,24007,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.2,0.32,0.48
 Begijnendijk ,24007,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.34,0.27,0.39
 Begijnendijk ,24007,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.37,0.32,0.31
 Bekkevoort ,24008,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.35,0.25,0.4
 Bekkevoort ,24008,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.46,0.22,0.31
 Bekkevoort ,24008,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.24,0.22,0.54
 Bekkevoort ,24008,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.26,0.31,0.43
 Bekkevoort ,24008,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.27,0.28,0.46
 Bekkevoort ,24008,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.37,0.28,0.35
 Beringen ,71004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.29,0.2,0.51
 Beringen ,71004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.34,0.24,0.42
 Beringen ,71004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.16,0.26,0.58
 Beringen ,71004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.18,0.27,0.54
 Beringen ,71004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.21,0.25,0.54
 Beringen ,71004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.29,0.3,0.41
 Berlaar ,12002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.5,0.23,0.27
 Berlaar ,12002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.45,0.21,0.34
 Berlaar ,12002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.18,0.29,0.53
 Berlaar ,12002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.15,0.24,0.6
 Berlaar ,12002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.4,0.24,0.36
 Berlaar ,12002,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.35,0.22,0.43
 Berlare ,42003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.31,0.26,0.42
 Berlare ,42003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.5,0.27,0.24
 Berlare ,42003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.29,0.22,0.49
 Berlare ,42003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.22,0.31,0.47
 Berlare ,42003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.28,0.23,0.48
 Berlare ,42003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.42,0.28,0.3
 Bertem ,24009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.42,0.26,0.32
 Bertem ,24009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.5,0.18,0.32
 Bertem ,24009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.32,0.26,0.42
 Bertem ,24009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.3,0.21,0.49
 Bertem ,24009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.43,0.2,0.37
 Bertem ,24009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.46,0.21,0.33
 Bever ,23009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.68,0.13,0.19
 Bever ,23009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.69,0.18,0.13
 Bever ,23009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.24,0.25,0.5
 Bever ,23009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.32,0.18,0.5
 Bever ,23009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.53,0.16,0.31
 Bever ,23009,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.53,0.18,0.29
 Beveren ,46003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.39,0.24,0.37
 Beveren ,46003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.48,0.24,0.28
 Beveren ,46003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.31,0.25,0.44
 Beveren ,46003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.2,0.28,0.52
 Beveren ,46003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.33,0.24,0.43
 Beveren ,46003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.41,0.23,0.36
 Bierbeek ,24011,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.39,0.22,0.39
 Bierbeek ,24011,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.35,0.27,0.38
 Bierbeek ,24011,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.23,0.21,0.55
 Bierbeek ,24011,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.17,0.24,0.59
 Bierbeek ,24011,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.27,0.23,0.5
 Bierbeek ,24011,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.26,0.27,0.47
 Bilzen ,73006,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.23,0.24,0.53
 Bilzen ,73006,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.3,0.3,0.4
 Bilzen ,73006,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.18,0.19,0.63
 Bilzen ,73006,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.16,0.24,0.6
 Bilzen ,73006,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.22,0.23,0.55
 Bilzen ,73006,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.28,0.28,0.44
 Blankenberge ,31004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.21,0.29,0.51
 Blankenberge ,31004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.3,0.26,0.44
 Blankenberge ,31004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.25,0.25,0.51
 Blankenberge ,31004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.18,0.29,0.53
 Blankenberge ,31004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.34,0.25,0.41
 Blankenberge ,31004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.35,0.23,0.41
 Bocholt ,72003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.23,0.24,0.53
 Bocholt ,72003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.28,0.28,0.44
 Bocholt ,72003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.15,0.27,0.58
 Bocholt ,72003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.14,0.28,0.58
 Bocholt ,72003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.14,0.27,0.59
 Bocholt ,72003,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.21,0.26,0.53
 Boechout ,11004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.14,0.2,0.66
 Boechout ,11004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.13,0.18,0.7
 Boechout ,11004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.18,0.21,0.61
 Boechout ,11004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.11,0.16,0.73
 Boechout ,11004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.24,0.21,0.55
 Boechout ,11004,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.21,0.17,0.62
 Bonheiden ,12005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.18,0.16,0.65
 Bonheiden ,12005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.18,0.22,0.61
 Bonheiden ,12005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.2,0.18,0.62
 Bonheiden ,12005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.07,0.15,0.79
 Bonheiden ,12005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.17,0.21,0.61
 Bonheiden ,12005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.18,0.2,0.62
 Boom ,11005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.31,0.29,0.4
 Boom ,11005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.37,0.25,0.38
 Boom ,11005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.27,0.29,0.44
 Boom ,11005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.21,0.33,0.46
 Boom ,11005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.39,0.26,0.35
 Boom ,11005,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.35,0.27,0.38
 Boortmeerbeek ,24014,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.56,0.19,0.24
 Boortmeerbeek ,24014,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.57,0.22,0.22
