Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Te voet (%),Fiets (%),Openbaar vervoer (%),Auto (%),Andere (%)
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.06,0.08,0.8,0.04
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.09,0.12,0.77,0.02
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.11,0.17,0.63,0.04
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.11,0.25,0.58,0.03
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.14,0.1,0.71,0.02
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.14,0.07,0.73,0.05
 Avelgem ,34003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.1,0.09,0.71,0.04
 Avelgem ,34003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.08,0.74,0.04
 Baarle-Hertog ,13002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.12,0.09,0.69,0.03
 Baarle-Hertog ,13002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.07,0.8,0.01
 Balen ,13003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.16,0.08,0.68,0.04
 Balen ,13003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.18,0.09,0.69,0.03
 Beernem ,31003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.13,0.69,0.06
 Beernem ,31003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.19,0.15,0.65,0.01
 Beerse ,13004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.27,0.12,0.56,0.03
 Beerse ,13004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.2,0.12,0.63,0.02
 Beersel ,23003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.06,0.26,0.6,0.04
 Beersel ,23003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.1,0.3,0.55,0.02
 Begijnendijk ,24007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.11,0.21,0.62,0.03
 Begijnendijk ,24007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.16,0.18,0.63,0.03
 Bekkevoort ,24008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.06,0.14,0.72,0.04
 Bekkevoort ,24008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.06,0.13,0.78,0.01
 Beringen ,71004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.09,0.13,0.71,0.02
 Beringen ,71004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.1,0.05,0.79,0.01
 Berlaar ,12002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.17,0.16,0.57,0.04
 Berlaar ,12002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.17,0.17,0.61,0.03
 Berlare ,42003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.13,0.66,0.04
 Berlare ,42003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.1,0.15,0.71,0.02
 Bertem ,24009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.08,0.12,0.72,0.05
 Bertem ,24009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.17,0.15,0.65,0.01
 Bever ,23009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.04,0.24,0.64,0.04
 Bever ,23009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.04,0.33,0.63,0.0
 Beveren ,46003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.19,0.14,0.53,0.09
 Beveren ,46003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.24,0.18,0.56,0.01
 Bierbeek ,24011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.16,0.14,0.61,0.08
 Bierbeek ,24011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.3,0.15,0.52,0.02
 Bilzen ,73006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.05,0.1,0.78,0.03
 Bilzen ,73006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.07,0.09,0.81,0.02
 Blankenberge ,31004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.21,0.15,0.53,0.03
 Blankenberge ,31004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.21,0.22,0.51,0.03
 Bocholt ,72003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.13,0.09,0.73,0.03
 Bocholt ,72003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.13,0.07,0.77,0.03
 Boechout ,11004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.28,0.14,0.5,0.04
 Boechout ,11004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.31,0.17,0.47,0.03
 Bonheiden ,12005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.19,0.18,0.59,0.01
 Bonheiden ,12005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.18,0.2,0.59,0.02
 Boom ,11005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.17,0.11,0.6,0.04
 Boom ,11005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.16,0.15,0.63,0.04
 Boortmeerbeek ,24014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.1,0.23,0.63,0.03
 Boortmeerbeek ,24014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.17,0.23,0.59,0.01
 Borgloon ,73009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.08,0.1,0.75,0.04
 Borgloon ,73009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.03,0.08,0.85,0.01
 Bornem ,12007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.16,0.62,0.03
 Bornem ,12007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.17,0.14,0.64,0.02
 Borsbeek ,11007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.22,0.15,0.51,0.08
 Borsbeek ,11007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.29,0.21,0.46,0.01
 Boutersem ,24016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.07,0.24,0.62,0.04
 Boutersem ,24016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.21,0.67,0.01
 Brakel ,45059,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.23,0.65,0.02
 Brakel ,45059,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.05,0.17,0.76,0.02
 Brasschaat ,11008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.19,0.14,0.58,0.04
 Brasschaat ,11008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.23,0.12,0.61,0.03
 Brecht ,11009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.14,0.1,0.66,0.06
 Brecht ,11009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.16,0.13,0.64,0.06
 Bredene ,35002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.16,0.14,0.64,0.05
 Bredene ,35002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.21,0.11,0.62,0.04
 Bree ,72004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.16,0.07,0.7,0.03
 Bree ,72004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.2,0.06,0.7,0.03
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.03,0.33,0.13,0.47,0.04
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.29,0.16,0.47,0.04
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.31,0.16,0.47,0.04
 Buggenhout ,42004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.11,0.18,0.63,0.02
 Buggenhout ,42004,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.15,0.19,0.59,0.05
 Damme ,31006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.16,0.07,0.68,0.07
 Damme ,31006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.17,0.07,0.73,0.02
 De Haan ,35029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.08,0.23,0.59,0.05
 De Haan ,35029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.18,0.15,0.65,0.02
 De Panne ,38008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.1,0.18,0.57,0.06
 De Panne ,38008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.18,0.14,0.57,0.06
 De Pinte ,44012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.18,0.24,0.54,0.01
 De Pinte ,44012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.23,0.22,0.54,0.01
 Deerlijk ,34009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.07,0.73,0.02
 Deerlijk ,34009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.15,0.1,0.69,0.04
 Deinze ,44011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.15,0.13,0.65,0.03
 Deinze ,44083,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.13,0.17,0.68,0.01
 Denderleeuw ,41011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.36,0.5,0.02
 Denderleeuw ,41011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.06,0.37,0.53,0.03
 Dendermonde ,42006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.18,0.17,0.55,0.05
 Dendermonde ,42006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.22,0.24,0.49,0.03
 Dentergem ,37002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.1,0.05,0.74,0.05
 Dentergem ,37002,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.1,0.78,0.01
 Dessel ,13006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.21,0.04,0.71,0.02
 Dessel ,13006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.23,0.05,0.65,0.04
 Destelbergen ,44013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.0,0.2,0.15,0.61,0.04
 Destelbergen ,44013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.3,0.13,0.55,0.01
 Diepenbeek ,71011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.13,0.1,0.72,0.04
 Diepenbeek ,71011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.18,0.1,0.71,0.01
 Diest ,24020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.12,0.17,0.61,0.03
 Diest ,24020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.1,0.17,0.68,0.03
 Diksmuide ,32003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.12,0.08,0.68,0.04
 Diksmuide ,32003,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.15,0.08,0.75,0.01
 Dilbeek ,23016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.04,0.28,0.63,0.04
 Dilbeek ,23016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.09,0.2,0.67,0.02
 Dilsen-Stokkem ,72041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.09,0.79,0.01
 Dilsen-Stokkem ,72041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.11,0.07,0.82,0.0
 Drogenbos ,23098,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.1,0.03,0.3,0.51,0.05
 Drogenbos ,23098,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.08,0.09,0.43,0.4,0.0
 Duffel ,12009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.27,0.16,0.46,0.06
 Duffel ,12009,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.27,0.14,0.56,0.01
 Edegem ,11013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.26,0.13,0.57,0.01
 Edegem ,11013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.35,0.16,0.44,0.03
 Eeklo ,43005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.27,0.12,0.5,0.04
 Eeklo ,43005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.3,0.13,0.53,0.02
 Erpe-Mere ,41082,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.09,0.19,0.66,0.04
 Erpe-Mere ,41082,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.09,0.19,0.68,0.03
 Essen ,11016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.12,0.2,0.61,0.04
 Essen ,11016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.2,0.21,0.53,0.04
 Evergem ,44019,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.19,0.13,0.59,0.07
 Evergem ,44019,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.25,0.05,0.68,0.01
 Galmaarden ,23023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.01,0.29,0.64,0.04
 Galmaarden ,23023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.04,0.26,0.66,0.01
 Gavere ,44020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.04,0.14,0.75,0.04
 Gavere ,44020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.13,0.12,0.71,0.03
 Geel ,13008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.27,0.1,0.52,0.04
 Geel ,13008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.25,0.06,0.65,0.02
 Geetbets ,24028,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.04,0.11,0.79,0.02
 Geetbets ,24028,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.07,0.11,0.75,0.05
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.05,0.09,0.14,0.7,0.02
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.1,0.12,0.74,0.02
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.13,0.1,0.72,0.02
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.04,0.3,0.22,0.4,0.04
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.32,0.22,0.39,0.02
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.35,0.21,0.38,0.02
 Geraardsbergen ,41018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.07,0.25,0.57,0.04
 Geraardsbergen ,41018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.01,0.35,0.57,0.05
 Gingelom ,71017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.02,0.16,0.76,0.04
 Gingelom ,71017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.05,0.19,0.75,0.0
 Gistel ,35005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.16,0.11,0.62,0.05
 Gistel ,35005,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.15,0.09,0.7,0.04
 Glabbeek ,24137,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.08,0.18,0.7,0.02
 Glabbeek ,24137,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.16,0.73,0.01
 Gooik ,23024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.05,0.17,0.72,0.03
 Gooik ,23024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.05,0.17,0.75,0.02
 Grimbergen ,23025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.08,0.19,0.66,0.02
 Grimbergen ,23025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.13,0.19,0.65,0.01
 Grobbendonk ,13010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.11,0.13,0.7,0.04
 Grobbendonk ,13010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.15,0.69,0.04
 Haacht ,24033,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.13,0.22,0.6,0.03
 Haacht ,24033,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.19,0.14,0.64,0.02
 Haaltert ,41024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.08,0.21,0.63,0.05
 Haaltert ,41024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.08,0.19,0.69,0.04
 Halen ,71020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.12,0.74,0.02
 Halen ,71020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.06,0.12,0.79,0.01
 Halle ,23027,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.11,0.29,0.5,0.02
 Halle ,23027,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.06,0.13,0.26,0.55,0.0
 Ham ,71069,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.1,0.08,0.78,0.02
 Ham ,71069,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.13,0.08,0.75,0.04
 Hamme ,42008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.14,0.1,0.69,0.05
 Hamme ,42008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.14,0.07,0.71,0.06
 Hamont-Achel ,72037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.19,0.09,0.64,0.06
 Hamont-Achel ,72037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.19,0.08,0.7,0.03
 Harelbeke ,34013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.16,0.1,0.67,0.05
 Harelbeke ,34013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.18,0.15,0.63,0.01
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.04,0.2,0.13,0.62,0.02
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.18,0.18,0.6,0.01
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.2,0.12,0.63,0.02
 Hechtel-Eksel,72038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.11,0.12,0.69,0.03
 Hechtel-Eksel,72038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.1,0.05,0.83,0.0
 Heers ,73022,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.03,0.11,0.81,0.02
 Heers ,73022,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.04,0.13,0.81,0.01
 Heist-Op-Den-Berg ,12014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.17,0.13,0.63,0.04
 Heist-Op-Den-Berg ,12014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.13,0.23,0.59,0.04
 Hemiksem ,11018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.0,0.22,0.17,0.56,0.04
 Hemiksem ,11018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.38,0.09,0.47,0.04
 Herent ,24038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.18,0.21,0.53,0.05
 Herent ,24038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.26,0.22,0.48,0.02
 Herentals ,13011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.2,0.15,0.58,0.04
 Herentals ,13011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.21,0.18,0.58,0.01
 Herenthout ,13012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.11,0.14,0.67,0.06
 Herenthout ,13012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.14,0.15,0.66,0.04
