Gemeente,NIS-code,Centrumstad?,Indicator,Herkomst,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit naar herkomst,Aantal inwoners van 0 tot en met 59 jaar naar herkomst (KSZ-cijfers),Procent
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2016,266919,3596290,0.0742
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2016,106043,517516,0.2049
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2016,179023,680129,0.2632
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2016,73523,269748,0.2726
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2016,19441,119303,0.163
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2016,26658,92090,0.2895
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2016,78702,318139,0.2474
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2016,66772,282552,0.2363
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2016,19686,115513,0.1704
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2017,251564,3553020,0.0708
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2017,101690,532169,0.1911
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2017,177670,710605,0.25
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2017,78023,288884,0.2701
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2017,18967,128666,0.1474
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2017,23577,93065,0.2533
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2017,75896,328475,0.2311
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2017,63825,285085,0.2239
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2017,18724,118240,0.1584
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2018,236667,3505560,0.0675
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2018,97902,546588,0.1791
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2018,178337,746112,0.239
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2018,82067,310193,0.2646
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2018,18990,138748,0.1369
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2018,22806,96542,0.2362
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2018,73316,339227,0.2161
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2018,60755,286908,0.2118
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2018,17974,120749,0.1489
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2009,500,9235,0.0541
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2009,60,624,0.0962
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2009,78,611,0.1277
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2009,41,303,0.1353
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2009,4,76,0.0526
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2009,23,146,0.1575
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2009,14,162,0.0864
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2009,45,415,0.1084
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2009,11,133,0.0827
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2010,503,9084,0.0554
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2010,57,622,0.0916
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2010,99,667,0.1484
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2010,39,310,0.1258
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2010,4,69,0.058
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2010,28,178,0.1573
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2010,32,179,0.1788
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2010,50,416,0.1202
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2011,505,8871,0.0569
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2011,52,641,0.0811
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2011,114,715,0.1594
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2011,55,331,0.1662
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2011,7,83,0.0843
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2011,30,189,0.1587
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2011,29,195,0.1487
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2011,41,428,0.0958
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2011,4,130,0.0308
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2012,510,8701,0.0586
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2012,43,668,0.0644
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2012,126,731,0.1724
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2012,53,317,0.1672
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2012,35,192,0.1823
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2012,38,222,0.1712
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2012,34,445,0.0764
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2012,6,139,0.0432
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2013,499,8498,0.0587
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2013,52,723,0.0719
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2013,145,797,0.1819
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2013,63,357,0.1765
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2013,6,116,0.0517
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2013,36,204,0.1765
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2013,46,236,0.1949
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2013,43,457,0.0941
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2014,466,8345,0.0558
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2014,58,748,0.0775
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2014,171,823,0.2078
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2014,91,368,0.2473
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2014,35,201,0.1741
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2014,45,254,0.1772
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2014,53,464,0.1142
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2015,415,8107,0.0512
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2015,56,776,0.0722
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2015,167,894,0.1868
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2015,83,381,0.2178
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2015,6,152,0.0395
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2015,32,224,0.1429
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2015,52,289,0.1799
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2015,41,472,0.0869
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2015,9,152,0.0592
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2016,410,7996,0.0513
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2016,50,808,0.0619
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2016,204,1006,0.2028
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2016,92,443,0.2077
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2016,12,169,0.071
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2016,38,234,0.1624
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2016,74,329,0.2249
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2016,34,484,0.0702
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2016,4,155,0.0258
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2017,401,7861,0.051
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2017,56,836,0.067
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2017,179,1037,0.1726
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2017,75,451,0.1663
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2017,10,190,0.0526
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2017,34,223,0.1525
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2017,70,363,0.1928
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2017,40,492,0.0813
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2017,6,154,0.039
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2018,381,7705,0.0494
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2018,63,877,0.0718
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2018,194,1132,0.1714
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2018,80,494,0.1619
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2018,12,212,0.0566
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2018,32,219,0.1461
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2018,82,419,0.1957
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2018,37,499,0.0741
Aartselaar,11001,nee,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2018,14,166,0.0843
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2009,23831,200185,0.119
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2009,11596,44769,0.259
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2009,35449,119337,0.2971
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2009,12294,39653,0.31
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2009,2052,9151,0.2242
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2009,4486,13961,0.3213
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2009,18669,65723,0.2841
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2009,7428,26996,0.2752
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2009,2116,8622,0.2454
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2010,25071,196193,0.1278
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2010,12476,47346,0.2635
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2010,42115,126436,0.3331
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2010,14021,42540,0.3296
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2010,2510,10907,0.2301
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2010,5387,15198,0.3545
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2010,22707,68698,0.3305
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2010,7652,27475,0.2785
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2010,2314,8964,0.2581
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2011,24366,192048,0.1269
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2011,13316,51447,0.2588
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2011,49154,139309,0.3528
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2011,17469,48297,0.3617
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2011,2598,13153,0.1975
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2011,8440,19148,0.4408
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2011,23245,71864,0.3235
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2011,8107,28684,0.2826
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2011,2611,9610,0.2717
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2012,23106,187929,0.123
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2012,14235,55701,0.2556
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2012,49887,147252,0.3388
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2012,18744,52492,0.3571
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2012,2979,15303,0.1947
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2012,8059,19902,0.4049
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2012,23084,74858,0.3084
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2012,8558,30170,0.2837
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2012,2698,10228,0.2638
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2013,22769,183761,0.1239
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2013,15639,59657,0.2621
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2013,50279,152776,0.3291
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2013,19620,55944,0.3507
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2013,3393,17147,0.1979
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2013,7270,19554,0.3718
Antwerpen,11002,ja,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2013,23389,77278,0.3027
