Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Geslacht,Aantal werkzoekenden,Totale beroepsbevolking,Procent
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,EU13                                              ,Vrouwen,1116,19161,0.0582433
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Europa niet-EU                                    ,Mannen,2129,15070,0.141274
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Europa niet-EU                                    ,Vrouwen,1737,13676,0.127011
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Niet-EU,Mannen,16156,117423,0.137588
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Niet-EU,Vrouwen,12823,85901,0.149276
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Turkije en Maghreb                                ,Mannen,9496,63386,0.149812
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Turkije en Maghreb                                ,Vrouwen,7396,37051,0.199617
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,West- en Noord-EU15,Mannen,3603,60945,0.0591189
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,West- en Noord-EU15,Vrouwen,4152,51998,0.0798492
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Zuid-EU15,Mannen,2114,27751,0.0761774
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Zuid-EU15,Vrouwen,1970,22063,0.0892898
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Andere landen                                     ,Mannen,5272,42037,0.125413
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Andere landen                                     ,Vrouwen,4057,37693,0.107633
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,België,Mannen,43911,1273096,0.0344915
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,België,Vrouwen,47225,1128007,0.0418659
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,EU,Mannen,7461,113471,0.0657525
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,EU,Vrouwen,7333,98472,0.0744679
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,EU13                                              ,Mannen,1121,22949,0.0488474
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,EU13                                              ,Vrouwen,1220,21853,0.0558276
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Europa niet-EU                                    ,Mannen,2472,15831,0.156149
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Europa niet-EU                                    ,Vrouwen,1979,14606,0.135492
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Niet-EU,Mannen,18251,123295,0.148027
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Niet-EU,Vrouwen,13759,90838,0.151467
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Turkije en Maghreb                                ,Mannen,10507,65427,0.160591
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Turkije en Maghreb                                ,Vrouwen,7723,38539,0.200394
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,West- en Noord-EU15,Mannen,3967,61771,0.0642211
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,West- en Noord-EU15,Vrouwen,4269,53649,0.0795728
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Zuid-EU15,Mannen,2373,28751,0.0825363
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2013,Zuid-EU15,Vrouwen,1844,22970,0.0802786
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Andere landen                                     ,Mannen,6133,44854,0.136733
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Andere landen                                     ,Vrouwen,4684,40396,0.115952
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,België,Mannen,49003,1262466,0.0388153
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,België,Vrouwen,50522,1127940,0.0447914
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,EU,Mannen,8822,118089,0.0747064
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,EU,Vrouwen,8453,103393,0.081756
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,EU13                                              ,Mannen,1484,25215,0.0588539
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,EU13                                              ,Vrouwen,1583,23959,0.0660712
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Europa niet-EU                                    ,Mannen,2848,16484,0.172774
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Europa niet-EU                                    ,Vrouwen,2303,15525,0.148341
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Niet-EU,Mannen,20272,128550,0.157697
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Niet-EU,Vrouwen,15030,96028,0.156517
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Turkije en Maghreb                                ,Mannen,11291,67212,0.167991
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Turkije en Maghreb                                ,Vrouwen,8043,40107,0.200539
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,West- en Noord-EU15,Mannen,4627,62987,0.0734596
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,West- en Noord-EU15,Vrouwen,4796,55311,0.0867097
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Zuid-EU15,Mannen,2711,29887,0.0907083
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2014,Zuid-EU15,Vrouwen,2074,24123,0.085976
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Andere landen                                     ,Mannen,6473,47984,0.134899
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Andere landen                                     ,Vrouwen,4964,42934,0.115619
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,België,Mannen,47647,1251730,0.0380649
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,België,Vrouwen,48022,1127758,0.0425818
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,EU,Mannen,8875,123309,0.0719737
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,EU,Vrouwen,8486,109123,0.0777655
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,EU13                                              ,Mannen,1722,28275,0.0609019
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,EU13                                              ,Vrouwen,1762,26917,0.0654605
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Europa niet-EU                                    ,Mannen,2828,17204,0.16438
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Europa niet-EU                                    ,Vrouwen,2417,16411,0.147279
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Niet-EU,Mannen,19964,134485,0.148448
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Niet-EU,Vrouwen,14948,100934,0.148097
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Turkije en Maghreb                                ,Mannen,10663,69297,0.153874
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Turkije en Maghreb                                ,Vrouwen,7567,41589,0.181947
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,West- en Noord-EU15,Mannen,4612,64174,0.0718671
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,West- en Noord-EU15,Vrouwen,4698,57061,0.0823329
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Zuid-EU15,Mannen,2541,30860,0.0823396
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2015,Zuid-EU15,Vrouwen,2026,25145,0.0805727
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Andere landen                                     ,Mannen,6710,51415,0.130507
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Andere landen                                     ,Vrouwen,5074,45879,0.110595
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,België,Mannen,43915,1240836,0.0353915
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,België,Vrouwen,43254,1126442,0.0383988
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,EU,Mannen,8688,128280,0.0677268
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,EU,Vrouwen,8197,114737,0.0714416
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,EU13                                              ,Mannen,1808,31407,0.0575668
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,EU13                                              ,Vrouwen,1868,29772,0.0627435
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Europa niet-EU                                    ,Mannen,2831,18039,0.156938
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Europa niet-EU                                    ,Vrouwen,2509,17456,0.143733
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Niet-EU,Mannen,19540,140682,0.138895
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Niet-EU,Vrouwen,14493,106689,0.135843
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Turkije en Maghreb                                ,Mannen,9999,71228,0.14038
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Turkije en Maghreb                                ,Vrouwen,6910,43354,0.159386
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,West- en Noord-EU15,Mannen,4396,65308,0.0673118
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,West- en Noord-EU15,Vrouwen,4514,58910,0.0766254
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Zuid-EU15,Mannen,2484,31565,0.0786948
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2016,Zuid-EU15,Vrouwen,1815,26055,0.0696603
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Andere landen                                     ,Mannen,6596,56077,0.117624
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Andere landen                                     ,Vrouwen,5182,49611,0.104453
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,België,Mannen,39975,1236356,0.0323329
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,België,Vrouwen,39459,1127114,0.0350089
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,EU,Mannen,8283,134741,0.0614735
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,EU,Vrouwen,8157,120276,0.067819
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,EU13                                              ,Mannen,1894,34969,0.0541623
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,EU13                                              ,Vrouwen,2025,32273,0.0627459
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Europa niet-EU                                    ,Mannen,2751,19093,0.144084
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Europa niet-EU                                    ,Vrouwen,2426,18543,0.130831
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Niet-EU,Mannen,18703,149809,0.124846
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Niet-EU,Vrouwen,14343,114087,0.12572
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Turkije en Maghreb                                ,Mannen,9356,74639,0.12535
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Turkije en Maghreb                                ,Vrouwen,6735,45933,0.146627
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,West- en Noord-EU15,Mannen,4132,66934,0.0617325
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,West- en Noord-EU15,Vrouwen,4383,60906,0.0719634
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Zuid-EU15,Mannen,2257,32838,0.0687313
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2017,Zuid-EU15,Vrouwen,1749,27097,0.0645459
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Andere landen                                     ,Mannen,6427,61406,0.104664
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Andere landen                                     ,Vrouwen,5197,53736,0.0967136
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,België,Mannen,35762,1232268,0.0290213
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,België,Vrouwen,34925,1127546,0.0309743
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,EU,Mannen,7532,141508,0.0532267
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,EU,Vrouwen,7768,126450,0.0614314
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,EU13                                              ,Mannen,1827,38821,0.0470622
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,EU13                                              ,Vrouwen,2075,35190,0.0589656
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Europa niet-EU                                    ,Mannen,2525,20157,0.125267
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Europa niet-EU                                    ,Vrouwen,2505,19773,0.126688
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Niet-EU,Mannen,17484,159440,0.109659
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Niet-EU,Vrouwen,14275,122167,0.116848
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Turkije en Maghreb                                ,Mannen,8532,77877,0.109557
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Turkije en Maghreb                                ,Vrouwen,6573,48658,0.135086
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,West- en Noord-EU15,Mannen,3677,68693,0.053528
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,West- en Noord-EU15,Vrouwen,4031,62982,0.0640024
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Zuid-EU15,Mannen,2028,33994,0.0596576
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2018,Zuid-EU15,Vrouwen,1662,28278,0.0587736
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Andere landen                                     ,Mannen,5854,67844,0.0862862
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Andere landen                                     ,Vrouwen,4634,57873,0.0800719
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,België,Mannen,31545,1225356,0.0257435
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,België,Vrouwen,30063,1124234,0.0267409
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,EU,Mannen,6944,149057,0.0465862
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,EU,Vrouwen,7261,132080,0.0549743
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,EU13                                              ,Mannen,1702,43197,0.0394009
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,EU13                                              ,Vrouwen,2093,37892,0.0552359
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Europa niet-EU                                    ,Mannen,2208,21373,0.103308
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Europa niet-EU                                    ,Vrouwen,2191,20842,0.105124
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Niet-EU,Mannen,15617,170602,0.0915405
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Niet-EU,Vrouwen,12636,129982,0.0972135
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Turkije en Maghreb                                ,Mannen,7555,81385,0.0928304
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2019,Turkije en Maghreb                                ,Vrouwen,5811,51267,0.113348
