Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal personen met een (equivalent) leefloon naar herkomst,"Aantal inwoners naar herkomst 
(KSZ-cijfers)",Procent
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Zuid-EU15,398,107879,0.0037
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,Andere landen,10854,207315,0.0524
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,België,13099,5241280,0.0025
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,EU,3965,500266,0.0079
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,EU13,1736,73536,0.0236
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,Europa niet-EU,7920,86641,0.0914
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,Niet-EU,23873,576344,0.0414
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,Turkije en Maghreb,4633,282383,0.0164
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,West- en Noord-EU15,1451,315428,0.0046
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,Zuid-EU15,418,111297,0.0038
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,Andere landen,11606,224616,0.0517
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,België,11939,5230000,0.0023
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,EU,3431,520416,0.0066
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,EU13,1321,84592,0.0156
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,Europa niet-EU,7436,92822,0.0801
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,Niet-EU,23798,612679,0.0388
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,Turkije en Maghreb,4293,295239,0.0145
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,West- en Noord-EU15,1362,320907,0.0042
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2012,Zuid-EU15,349,114909,0.003
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,Andere landen,11607,240973,0.0482
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,België,11538,5213940,0.0022
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,EU,2851,539639,0.0053
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,EU13,890,95008,0.0094
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,Europa niet-EU,5820,94437,0.0616
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,Niet-EU,21912,642372,0.0341
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,Turkije en Maghreb,3988,306959,0.013
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,West- en Noord-EU15,1268,325344,0.0039
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2013,Zuid-EU15,317,119279,0.0027
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,Andere landen,11891,253844,0.0468
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,België,11779,5196310,0.0023
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,EU,3000,557858,0.0054
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,EU13,936,104563,0.009
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,Europa niet-EU,4671,94780,0.0493
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,Niet-EU,20996,666011,0.0315
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,Turkije en Maghreb,3945,317386,0.0124
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,West- en Noord-EU15,1326,329846,0.004
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2014,Zuid-EU15,339,123444,0.0027
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,Andere landen,12366,266232,0.0464
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,België,11755,5181100,0.0023
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,EU,3242,577909,0.0056
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,EU13,1047,115614,0.0091
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,Europa niet-EU,4059,96346,0.0421
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,Niet-EU,20905,690641,0.0303
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,Turkije en Maghreb,4063,328063,0.0124
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,West- en Noord-EU15,1408,334391,0.0042
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2015,Zuid-EU15,398,127900,0.0031
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,Andere landen,14342,291345,0.0492
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,België,12610,5161100,0.0024
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,EU,3584,597923,0.006
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,EU13,1164,126396,0.0092
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,Europa niet-EU,3799,99429,0.0382
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,Niet-EU,23092,730490,0.0316
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,Turkije en Maghreb,4502,339714,0.0133
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,West- en Noord-EU15,1602,339562,0.0047
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2016,Zuid-EU15,447,131965,0.0034
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,Andere landen,18710,310015,0.0604
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,België,12610,5141890,0.0025
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,EU,3736,615895,0.0061
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,EU13,1211,136477,0.0089
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,Europa niet-EU,3607,100626,0.0358
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,Niet-EU,27314,762119,0.0358
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,Turkije en Maghreb,4542,351475,0.0129
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,West- en Noord-EU15,1647,343909,0.0048
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2017,Zuid-EU15,484,135507,0.0036
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,Andere landen,21484,331397,0.0648
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,België,12177,5119050,0.0024
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,EU,3757,634431,0.0059
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,EU13,1280,147554,0.0087
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,Europa niet-EU,3290,104621,0.0314
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,Niet-EU,29804,799548,0.0373
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,Turkije en Maghreb,4603,363528,0.0127
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,West- en Noord-EU15,1588,347720,0.0046
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2018,Zuid-EU15,497,139157,0.0036
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,Andere landen,5,321,0.0156
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,België,21,12907,0.0016
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,Europa niet-EU,14,156,0.0897
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,Niet-EU,19,641,0.0296
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,Andere landen,8,330,0.0242
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,België,27,12868,0.0021
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,EU,4,724,0.0055
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,Europa niet-EU,13,189,0.0688
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,Niet-EU,24,699,0.0343
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,Andere landen,14,366,0.0383
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,België,20,12797,0.0016
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,Europa niet-EU,12,206,0.0583
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,Niet-EU,27,770,0.0351
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,Andere landen,9,355,0.0254
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,België,22,12727,0.0017
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,Europa niet-EU,11,209,0.0526
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,Niet-EU,24,789,0.0304
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,Turkije en Maghreb,4,225,0.0178
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2013,Andere landen,11,394,0.0279
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2013,België,25,12556,0.002
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2013,Europa niet-EU,7,221,0.0317
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2013,Niet-EU,20,854,0.0234
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2014,Andere landen,10,404,0.0248
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2014,België,21,12465,0.0017
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2014,Europa niet-EU,7,216,0.0324
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2014,Niet-EU,20,878,0.0228
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,Andere landen,8,421,0.019
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,België,19,12308,0.0015
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,EU,4,897,0.0045
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,Europa niet-EU,5,238,0.021
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,Niet-EU,17,953,0.0178
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,Turkije en Maghreb,4,294,0.0136
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2015,West- en Noord-EU15,4,562,0.0071
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2016,Andere landen,13,490,0.0265
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2016,België,17,12251,0.0014
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2016,Europa niet-EU,5,250,0.02
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2016,Niet-EU,23,1078,0.0213
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2016,Turkije en Maghreb,5,338,0.0148
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2017,Andere landen,9,497,0.0181
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2017,België,14,12147,0.0012
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2017,Niet-EU,15,1108,0.0135
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2018,Andere landen,9,547,0.0165
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2018,België,21,12076,0.0017
Aartselaar,11001,nee,"Personen met (equivalent) leefloon, naar herkomst",2018,Niet-EU,15,1215,0.0123
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,Andere landen,2385,41391,0.0576
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,België,1856,301969,0.0061
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,EU,535,50358,0.0106
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,EU13,129,9645,0.0134
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,Europa niet-EU,1256,14811,0.0848
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,Niet-EU,4683,125830,0.0372
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,Turkije en Maghreb,1042,69628,0.015
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,West- en Noord-EU15,287,30984,0.0093
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2009,Zuid-EU15,119,9729,0.0122
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,Andere landen,3008,44443,0.0677
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,België,2052,297268,0.0069
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,EU,564,53119,0.0106
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,EU13,144,11463,0.0126
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,Europa niet-EU,1454,16138,0.0901
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,Niet-EU,5702,133459,0.0427
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,Turkije en Maghreb,1240,72878,0.017
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,West- en Noord-EU15,296,31556,0.0094
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2010,Zuid-EU15,124,10100,0.0123
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,Andere landen,3698,50407,0.0734
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,België,1835,292287,0.0063
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,EU,508,57399,0.0089
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,EU13,132,13827,0.0095
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,Europa niet-EU,1619,20350,0.0796
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,Niet-EU,6373,147055,0.0433
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,Turkije en Maghreb,1056,76298,0.0138
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,West- en Noord-EU15,250,32822,0.0076
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2011,Zuid-EU15,126,10750,0.0117
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,Andere landen,3994,54955,0.0727
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,België,1466,287523,0.0051
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,EU,410,61928,0.0066
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,EU13,106,16085,0.0066
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,Europa niet-EU,1435,21198,0.0677
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,Niet-EU,6411,155774,0.0412
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,Turkije en Maghreb,982,79621,0.0123
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,West- en Noord-EU15,208,34429,0.006
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2012,Zuid-EU15,96,11414,0.0084
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,Andere landen,3942,58817,0.067
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,België,1345,282631,0.0048
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,EU,371,66103,0.0056
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,EU13,93,18035,0.0052
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,Europa niet-EU,1074,20864,0.0515
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,Niet-EU,5872,162022,0.0362
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,Turkije en Maghreb,856,82341,0.0104
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,West- en Noord-EU15,192,35831,0.0054
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2013,Zuid-EU15,86,12237,0.007
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,Andere landen,3844,60902,0.0631
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,België,1423,277789,0.0051
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,EU,423,68680,0.0062
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,EU13,123,19177,0.0064
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,Europa niet-EU,914,20584,0.0444
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,Niet-EU,5696,165887,0.0343
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,Turkije en Maghreb,938,84401,0.0111
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,West- en Noord-EU15,220,36614,0.006
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2014,Zuid-EU15,80,12889,0.0062
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,Andere landen,3675,62771,0.0585
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,België,1397,273372,0.0051
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,EU,454,71706,0.0063
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,EU13,135,20524,0.0066
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,Europa niet-EU,742,20186,0.0368
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,Niet-EU,5349,169177,0.0316
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,Turkije en Maghreb,932,86220,0.0108
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,West- en Noord-EU15,224,37536,0.006
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2015,Zuid-EU15,95,13646,0.007
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,Andere landen,4283,65887,0.065
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,België,1472,268808,0.0055
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,EU,534,74118,0.0072
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,EU13,156,21573,0.0072
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,Europa niet-EU,731,20316,0.036
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,Niet-EU,6061,174530,0.0347
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,Turkije en Maghreb,1047,88327,0.0119
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,West- en Noord-EU15,265,38232,0.0069
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2016,Zuid-EU15,113,14313,0.0079
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,Andere landen,5279,69292,0.0762
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,België,1440,264205,0.0055
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,EU,553,76193,0.0073
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,EU13,153,22371,0.0068
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,Europa niet-EU,697,20209,0.0345
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,Niet-EU,7018,179764,0.039
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,Turkije en Maghreb,1042,90263,0.0115
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,West- en Noord-EU15,284,38945,0.0073
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2017,Zuid-EU15,116,14877,0.0078
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,Andere landen,5761,72943,0.079
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,België,1346,259459,0.0052
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,EU,539,77717,0.0069
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,EU13,164,22984,0.0071
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,Europa niet-EU,597,20538,0.0291
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,Niet-EU,7363,185480,0.0397
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,Turkije en Maghreb,1005,91999,0.0109
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,West- en Noord-EU15,269,39459,0.0068
Antwerpen,11002,ja,"Personen met (equivalent) leefloon, naar herkomst",2018,Zuid-EU15,106,15274,0.0069
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,Andere landen,6,197,0.0305
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,België,29,11577,0.0025
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,EU,6,622,0.0096
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,Europa niet-EU,7,114,0.0614
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,Niet-EU,13,390,0.0333
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2009,West- en Noord-EU15,4,472,0.0085
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,Andere landen,5,215,0.0233
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,België,28,11680,0.0024
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,EU,5,644,0.0078
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,Europa niet-EU,4,134,0.0299
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,Niet-EU,9,426,0.0211
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2010,West- en Noord-EU15,4,487,0.0082
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,België,18,11594,0.0016
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,EU,5,681,0.0073
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,Europa niet-EU,9,168,0.0536
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,Niet-EU,14,477,0.0294
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2011,West- en Noord-EU15,5,519,0.0096
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,Andere landen,7,240,0.0292
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,België,20,11546,0.0017
Boechout,11004,nee,"Personen met (equivalent) leefloon, naar herkomst",2012,EU,4,702,0.0057
