Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal zeer langdurig niet-werkende werkzoekenden,Aantal niet-werkende werkzoekenden,Procent
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,67,291,23.02405
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,1,15,6.66667
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,11,60,18.33333
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,71,267,26.59176
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,2,12,16.66667
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,8,53,15.09434
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,70,275,25.45455
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,0,17,0.0
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,11,55,20.0
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,81,310,26.12903
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,3,24,12.5
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,12,70,17.14286
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,98,320,30.625
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,6,24,25.0
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,14,65,21.53846
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,103,312,33.01282
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,3,27,11.11111
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,19,78,24.35897
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,103,296,34.7973
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,3,20,15.0
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,23,68,33.82353
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,85,286,29.72028
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,5,20,25.0
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,20,72,27.77778
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,80,233,34.33476
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,5,24,20.83333
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,20,78,25.64103
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,73,212,34.43396
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,3,17,17.64706
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,21,68,30.88235
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,72,248,29.03226
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,2,19,10.52632
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,19,80,23.75
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,84,212,39.62264
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,3,24,12.5
Aartselaar,11001,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,21,85,24.70588
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,3924,14498,27.0658
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,488,3186,15.31701
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,3113,15760,19.75254
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,4291,15155,28.31409
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,650,3800,17.10526
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,3714,17411,21.33134
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,4416,14158,31.19085
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,793,3880,20.43814
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,4172,17972,23.21389
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,4340,13314,32.59727
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,832,4027,20.66054
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,4284,17673,24.24037
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,4432,13878,31.93544
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,958,4658,20.56677
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,4775,18437,25.89901
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,4789,14135,33.88044
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,1095,5209,21.02131
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,5343,18623,28.69033
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,4989,13797,36.16003
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,1338,5370,24.9162
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,5983,18649,32.08215
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,4979,12988,38.33539
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,1495,5289,28.26621
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,6187,18473,33.49212
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,4697,12247,38.35225
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,1433,4907,29.20318
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,5925,18397,32.20634
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,4463,11520,38.74132
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,1416,4591,30.84295
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,5929,17757,33.38965
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,4416,10846,40.71547
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,1432,4498,31.83637
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,6098,17543,34.7603
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,4543,11170,40.67144
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,1478,4790,30.85595
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,6328,18038,35.08149
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,4330,9863,43.90145
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,1483,4365,33.9748
Antwerpen,11002,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,6469,16893,38.29397
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,63,295,21.35593
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,3,13,23.07692
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,4,38,10.52632
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,70,303,23.10231
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,3,13,23.07692
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,5,31,16.12903
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,78,274,28.46715
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,3,11,27.27273
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,8,37,21.62162
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,80,262,30.53435
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,4,14,28.57143
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,10,47,21.2766
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,85,303,28.05281
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,4,15,26.66667
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,11,46,23.91304
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,92,314,29.29936
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,4,16,25.0
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,15,62,24.19355
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,102,318,32.07547
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,4,20,20.0
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,18,67,26.86567
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,100,292,34.24658
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,3,20,15.0
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,19,62,30.64516
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,96,275,34.90909
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,4,19,21.05263
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,19,72,26.38889
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,91,247,36.84211
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,5,22,22.72727
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,18,70,25.71429
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,89,251,35.45817
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,7,23,30.43478
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,14,76,18.42105
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,91,258,35.27132
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,7,28,25.0
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,21,83,25.3012
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,93,235,39.57447
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,7,23,30.43478
Boechout,11004,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,25,73,34.24658
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,84,438,19.17808
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,4,46,8.69565
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,45,289,15.57093
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,92,440,20.90909
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,5,52,9.61538
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,61,304,20.06579
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,103,433,23.78753
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,9,50,18.0
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,75,315,23.80952
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,104,436,23.85321
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,10,56,17.85714
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,78,353,22.09632
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,109,475,22.94737
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,15,72,20.83333
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,85,358,23.74302
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,128,490,26.12245
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,18,78,23.07692
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,97,352,27.55682
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,133,493,26.97769
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,17,77,22.07792
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,100,373,26.80965
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,141,440,32.04545
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,14,79,17.72152
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,101,348,29.02299
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,142,410,34.63415
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,20,74,27.02703
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,102,327,31.19266
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,130,374,34.75936
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,23,72,31.94444
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,103,312,33.01282
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,124,340,36.47059
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,20,72,27.77778
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,95,297,31.98653
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,137,374,36.63102
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,13,69,18.84058
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,111,335,33.13433
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,131,329,39.81763
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,16,75,21.33333
Boom,11005,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,115,316,36.39241
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,61,287,21.25436
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,6,29,20.68966
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,12,84,14.28571
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,66,313,21.08626
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,5,36,13.88889
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,14,96,14.58333
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,81,294,27.55102
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,8,35,22.85714
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,20,92,21.73913
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,77,279,27.59857
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,7,31,22.58065
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,16,99,16.16162
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,79,300,26.33333
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,5,39,12.82051
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,27,127,21.25984
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,93,317,29.33754
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,7,48,14.58333
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,30,129,23.25581
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,110,294,37.41497
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,11,54,20.37037
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,43,144,29.86111
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,122,285,42.80702
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,13,52,25.0
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,46,149,30.87248
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,108,281,38.43416
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,13,51,25.4902
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,50,161,31.0559
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,104,256,40.625
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,16,53,30.18868
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,48,148,32.43243
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,115,249,46.18474
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,18,69,26.08696
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,54,165,32.72727
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,114,250,45.6
Borsbeek,11007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,22,75,29.33333
