Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal niet-werkende werkzoekenden in beroepsinschakelingstijd,Totaal aantal niet-werkende werkzoekenden in beroepsinschakelingstijd,Procent
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,Niet-EU,2132,16007,0.133192
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,België,11623,14372,0.808725
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,EU,793,14372,0.0551767
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,Niet-EU,1956,14372,0.136098
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,België,10073,12551,0.802566
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,EU,734,12551,0.0584814
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,Niet-EU,1744,12551,0.138953
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,België,9721,12100,0.803388
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,EU,718,12100,0.0593388
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,Niet-EU,1661,12100,0.137273
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,België,7605,9632,0.789556
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,EU,628,9632,0.0651993
Vlaams Gewest,2000,/,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,Niet-EU,1399,9632,0.145245
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,België,34,36,0.944444
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,EU,1,36,0.0277778
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,Niet-EU,1,36,0.0277778
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,België,33,35,0.942857
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,EU,1,35,0.0285714
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,Niet-EU,1,35,0.0285714
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,België,31,35,0.885714
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,EU,1,35,0.0285714
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,Niet-EU,3,35,0.0857143
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,België,33,36,0.916667
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,EU,1,36,0.0277778
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,Niet-EU,2,36,0.0555556
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,België,37,43,0.860465
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,EU,1,43,0.0232558
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,Niet-EU,5,43,0.116279
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,België,39,42,0.928571
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,EU,1,42,0.0238095
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,Niet-EU,2,42,0.047619
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,België,29,32,0.90625
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,EU,1,32,0.03125
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,Niet-EU,2,32,0.0625
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,België,28,28,1.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,EU,0,28,0.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,Niet-EU,0,28,0.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,België,27,29,0.931034
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,EU,0,29,0.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,Niet-EU,2,29,0.0689655
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,België,26,29,0.896552
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,EU,0,29,0.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,Niet-EU,3,29,0.103448
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,België,16,19,0.842105
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,EU,0,19,0.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,Niet-EU,3,19,0.157895
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,België,17,19,0.894737
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,EU,0,19,0.0
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,Niet-EU,2,19,0.105263
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,België,13,17,0.764706
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,EU,1,17,0.0588235
Aartselaar,11001,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,Niet-EU,3,17,0.176471
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,België,1051,1779,0.590781
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,EU,81,1779,0.0455312
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,Niet-EU,647,1779,0.363687
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,België,1101,1897,0.58039
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,EU,100,1897,0.0527148
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,Niet-EU,696,1897,0.366895
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,België,1030,1784,0.577354
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,EU,95,1784,0.0532511
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,Niet-EU,659,1784,0.369395
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,België,1040,1793,0.580033
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,EU,104,1793,0.0580033
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,Niet-EU,649,1793,0.361963
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,België,1060,1832,0.578603
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,EU,123,1832,0.0671397
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,Niet-EU,649,1832,0.354258
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,België,1097,1946,0.56372
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,EU,147,1946,0.0755396
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,Niet-EU,702,1946,0.36074
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,België,920,1675,0.549254
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,EU,144,1675,0.0859701
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,Niet-EU,611,1675,0.364776
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,België,976,1811,0.538929
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,EU,160,1811,0.088349
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,Niet-EU,675,1811,0.372722
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,België,926,1762,0.525539
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,EU,170,1762,0.0964813
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,Niet-EU,666,1762,0.37798
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,België,872,1593,0.547395
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,EU,153,1593,0.0960452
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,Niet-EU,568,1593,0.35656
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,België,766,1379,0.555475
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,EU,138,1379,0.100073
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,Niet-EU,475,1379,0.344453
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,België,688,1254,0.548644
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,EU,128,1254,0.102073
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,Niet-EU,438,1254,0.349282
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,België,557,1039,0.536092
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,EU,121,1039,0.116458
Antwerpen,11002,Ja,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,Niet-EU,361,1039,0.347449
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,België,34,36,0.944444
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,EU,0,36,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,Niet-EU,2,36,0.0555556
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,België,34,34,1.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,EU,0,34,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,Niet-EU,0,34,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,België,27,29,0.931034
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,EU,0,29,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,Niet-EU,2,29,0.0689655
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,België,36,39,0.923077
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,EU,0,39,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,Niet-EU,3,39,0.0769231
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,België,42,43,0.976744
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,EU,0,43,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,Niet-EU,1,43,0.0232558
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,België,34,36,0.944444
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,EU,1,36,0.0277778
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,Niet-EU,1,36,0.0277778
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,België,39,42,0.928571
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,EU,0,42,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,Niet-EU,3,42,0.0714286
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,België,32,36,0.888889
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,EU,0,36,0.0
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,Niet-EU,4,36,0.111111
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,België,29,32,0.90625
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,EU,1,32,0.03125
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,Niet-EU,2,32,0.0625
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,België,24,27,0.888889
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,EU,1,27,0.037037
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,Niet-EU,2,27,0.0740741
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,België,21,25,0.84
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,EU,2,25,0.08
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,Niet-EU,2,25,0.08
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,België,25,30,0.833333
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,EU,2,30,0.0666667
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,Niet-EU,3,30,0.1
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,België,16,19,0.842105
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,EU,2,19,0.105263
Boechout,11004,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,Niet-EU,1,19,0.0526316
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,België,36,49,0.734694
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,EU,1,49,0.0204082
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,Niet-EU,12,49,0.244898
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,België,35,49,0.714286
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,EU,1,49,0.0204082
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,Niet-EU,13,49,0.265306
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,België,32,45,0.711111
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,EU,1,45,0.0222222
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,Niet-EU,12,45,0.266667
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,België,39,55,0.709091
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,EU,2,55,0.0363636
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,Niet-EU,14,55,0.254545
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,België,49,63,0.777778
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,EU,1,63,0.015873
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,Niet-EU,13,63,0.206349
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,België,48,63,0.761905
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,EU,1,63,0.015873
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2014,Niet-EU,14,63,0.222222
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,België,39,49,0.795918
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,EU,1,49,0.0204082
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2015,Niet-EU,9,49,0.183673
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,België,31,44,0.704545
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,EU,3,44,0.0681818
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2016,Niet-EU,10,44,0.227273
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,België,30,45,0.666667
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,EU,3,45,0.0666667
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2017,Niet-EU,12,45,0.266667
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,België,30,53,0.566038
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,EU,4,53,0.0754717
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2018,Niet-EU,19,53,0.358491
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,België,28,44,0.636364
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,EU,2,44,0.0454545
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2019,Niet-EU,14,44,0.318182
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,België,29,49,0.591837
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,EU,1,49,0.0204082
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2020,Niet-EU,19,49,0.387755
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,België,21,34,0.617647
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,EU,1,34,0.0294118
Boom,11005,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2021,Niet-EU,12,34,0.352941
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,België,26,28,0.928571
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,EU,0,28,0.0
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2009,Niet-EU,2,28,0.0714286
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,België,31,32,0.96875
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,EU,0,32,0.0
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2010,Niet-EU,1,32,0.03125
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,België,26,28,0.928571
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,EU,0,28,0.0
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2011,Niet-EU,2,28,0.0714286
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,België,23,29,0.793103
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,EU,2,29,0.0689655
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2012,Niet-EU,4,29,0.137931
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,België,28,32,0.875
Borsbeek,11007,Nee,"Niet-werkende werkzoekenden in beroepsinschakelingstijd, naar herkomst",2013,EU,1,32,0.03125
