Gemeente,NIS-code,Centrumstad?,Indicator,Herkomst,Jaar,Procent
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2020,0.11483
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2020,0.56926
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2020,0.03368
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2021,0.27792
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2021,0.11571
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2021,0.57304
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2021,0.03333
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.14286
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.71429
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.14286
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.53846
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.30769
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.15385
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.5
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2014,0.5
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2014,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2015,0.46154
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2015,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2015,0.53846
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2015,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2016,0.38462
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2016,0.07692
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2016,0.53846
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2016,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2017,0.46667
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2017,0.13333
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2017,0.4
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2017,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2018,0.61538
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2018,0.07692
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2018,0.30769
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2018,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2019,0.3
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2019,0.1
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2019,0.6
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2019,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2020,0.33333
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2020,0.06667
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2020,0.6
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2020,
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2021,0.22222
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2021,0.03704
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2021,0.74074
Aartselaar,11001,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2021,
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.14401
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,0.08324
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.72122
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.05153
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.14871
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,0.08132
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.72995
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.04002
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.15111
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,0.08361
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2014,0.72682
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2014,0.03846
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2015,0.15816
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2015,0.08203
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2015,0.718
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2015,0.04181
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2016,0.15656
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2016,0.08212
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2016,0.72575
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2016,0.03557
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2017,0.15453
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2017,0.08801
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2017,0.72822
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2017,0.02924
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2018,0.1408
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2018,0.0887
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2018,0.72508
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2018,0.04543
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2019,0.13443
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2019,0.09031
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2019,0.7393
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2019,0.03595
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2020,0.12873
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2020,0.08825
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2020,0.75508
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2020,0.02794
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2021,0.11773
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2021,0.09076
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2021,0.76066
Antwerpen,11002,Ja,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2021,0.03084
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.33333
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.61111
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.05556
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.35294
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.58824
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.05882
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.2381
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,0.04762
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2014,0.66667
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2014,0.04762
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2015,0.41176
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2015,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2015,0.58824
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2015,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2016,0.34615
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2016,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2016,0.65385
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2016,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2017,0.4
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2017,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2017,0.6
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2017,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2018,0.2963
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2018,0.07407
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2018,0.55556
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2018,0.07407
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2019,0.25714
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2019,0.02857
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2019,0.65714
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2019,0.05714
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2020,0.2
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2020,0.03333
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2020,0.76667
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2020,
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2021,0.25926
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2021,0.11111
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2021,0.62963
Boechout,11004,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2021,
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.30675
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,0.08589
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.57055
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.03681
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.27434
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,0.06195
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.65044
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.01327
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.26105
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,0.07158
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2014,0.66105
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2014,0.00632
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2015,0.26493
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2015,0.04478
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2015,0.66791
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2015,0.02239
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2016,0.29412
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2016,0.05882
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2016,0.63235
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2016,0.01471
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2017,0.29104
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2017,0.06716
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2017,0.6306
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2017,0.01119
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2018,0.26316
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2018,0.08647
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2018,0.55263
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2018,0.09774
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2019,0.236
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2019,0.1
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2019,0.652
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2019,0.012
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2020,0.2383
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2020,0.10213
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2020,0.65532
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2020,0.00426
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2021,0.26263
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2021,0.07576
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2021,0.65152
Boom,11005,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2021,0.0101
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.26829
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,0.04878
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.60976
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.07317
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.3125
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,0.04167
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.58333
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.0625
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.38202
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,0.04494
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2014,0.53933
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2014,0.03371
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2015,0.41176
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2015,0.05882
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2015,0.5098
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2015,0.01961
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2016,0.45098
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2016,0.05882
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2016,0.4902
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2016,
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2017,0.42
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2017,0.08
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2017,0.5
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2017,
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2018,0.27869
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2018,0.08197
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2018,0.60656
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2018,0.03279
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2019,0.21687
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2019,0.08434
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2019,0.6747
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2019,0.0241
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2020,0.22105
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2020,0.14737
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2020,0.63158
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2020,
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2021,0.2234
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2021,0.15957
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2021,0.61702
Borsbeek,11007,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2021,
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.30233
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,0.04651
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.51163
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.13953
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.31373
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,0.01961
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.52941
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.13725
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.37778
Brasschaat,11008,Nee,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,
