Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Sector,Aantal loontrekkenden,Totaal aantal loontrekkenden,Procent
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,West- en Noord-EU15,Secundair,16930,75094,0.225451
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,West- en Noord-EU15,Tertiair,37090,75094,0.493914
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Zuid-EU15,Primair,339,34419,0.00984921
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Zuid-EU15,Quartair,7468,34419,0.216973
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Zuid-EU15,Secundair,9374,34419,0.27235
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Zuid-EU15,Tertiair,17238,34419,0.500828
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Andere landen                                     ,Primair,712,44190,0.0161122
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Andere landen                                     ,Quartair,14499,44190,0.328106
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Andere landen                                     ,Secundair,5962,44190,0.134917
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Andere landen                                     ,Tertiair,23017,44190,0.520864
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,België,Primair,5299,1936788,0.00273597
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,België,Quartair,743994,1936788,0.384138
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,België,Secundair,434835,1936788,0.224513
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,België,Tertiair,752660,1936788,0.388612
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU,Primair,1362,130694,0.0104213
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU,Quartair,35836,130694,0.274198
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU,Secundair,30083,130694,0.230179
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU,Tertiair,63413,130694,0.485202
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU13                                              ,Primair,740,19865,0.0372514
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU13                                              ,Quartair,5519,19865,0.277825
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU13                                              ,Secundair,4881,19865,0.245709
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,EU13                                              ,Tertiair,8725,19865,0.439215
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Europa niet-EU                                    ,Primair,106,17063,0.00621227
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Europa niet-EU                                    ,Quartair,5133,17063,0.300826
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Europa niet-EU                                    ,Secundair,3392,17063,0.198793
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Europa niet-EU                                    ,Tertiair,8432,17063,0.494169
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Niet-EU,Primair,1729,123101,0.0140454
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Niet-EU,Quartair,33169,123101,0.269445
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Niet-EU,Secundair,27289,123101,0.22168
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Niet-EU,Tertiair,60914,123101,0.494829
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Turkije en Maghreb                                ,Primair,911,61848,0.0147297
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Turkije en Maghreb                                ,Quartair,13537,61848,0.218875
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Turkije en Maghreb                                ,Secundair,17935,61848,0.289985
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Turkije en Maghreb                                ,Tertiair,29465,61848,0.47641
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,West- en Noord-EU15,Primair,288,75830,0.00379797
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,West- en Noord-EU15,Quartair,22113,75830,0.291613
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,West- en Noord-EU15,Secundair,16299,75830,0.214941
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,West- en Noord-EU15,Tertiair,37130,75830,0.489648
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Zuid-EU15,Primair,334,34999,0.00954313
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Zuid-EU15,Quartair,8204,34999,0.234407
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Zuid-EU15,Secundair,8903,34999,0.254379
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2010,Zuid-EU15,Tertiair,17558,34999,0.501671
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Andere landen                                     ,Primair,700,49819,0.0140509
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Andere landen                                     ,Quartair,14630,49819,0.293663
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Andere landen                                     ,Secundair,6498,49819,0.130432
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Andere landen                                     ,Tertiair,27991,49819,0.561854
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,België,Primair,5935,1940431,0.0030586
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,België,Quartair,735434,1940431,0.379005
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,België,Secundair,428710,1940431,0.220935
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,België,Tertiair,770352,1940431,0.397
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU,Primair,1581,139692,0.0113178
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU,Quartair,34883,139692,0.249714
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU,Secundair,31234,139692,0.223592
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU,Tertiair,71994,139692,0.515377
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU13                                              ,Primair,906,24104,0.0375871
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU13                                              ,Quartair,4798,24104,0.199054
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU13                                              ,Secundair,5637,24104,0.233862
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,EU13                                              ,Tertiair,12763,24104,0.529497
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Europa niet-EU                                    ,Primair,129,19976,0.00645775
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Europa niet-EU                                    ,Quartair,5354,19976,0.268022
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Europa niet-EU                                    ,Secundair,3741,19976,0.187275
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Europa niet-EU                                    ,Tertiair,10752,19976,0.538246
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Niet-EU,Primair,1725,137499,0.0125455
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Niet-EU,Quartair,34015,137499,0.247384
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Niet-EU,Secundair,28816,137499,0.209572
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Niet-EU,Tertiair,72943,137499,0.530498
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Turkije en Maghreb                                ,Primair,896,67704,0.0132341
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Turkije en Maghreb                                ,Quartair,14031,67704,0.20724
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Turkije en Maghreb                                ,Secundair,18577,67704,0.274386
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Turkije en Maghreb                                ,Tertiair,34200,67704,0.50514
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,West- en Noord-EU15,Primair,329,78636,0.00418383
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,West- en Noord-EU15,Quartair,21947,78636,0.279096
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,West- en Noord-EU15,Secundair,16466,78636,0.209395
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,West- en Noord-EU15,Tertiair,39894,78636,0.507325
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Zuid-EU15,Primair,346,36952,0.0093635
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Zuid-EU15,Quartair,8138,36952,0.220232
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Zuid-EU15,Secundair,9131,36952,0.247104
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2011,Zuid-EU15,Tertiair,19337,36952,0.5233
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Andere landen                                     ,Primair,717,54903,0.0130594
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Andere landen                                     ,Quartair,16139,54903,0.293955
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Andere landen                                     ,Secundair,7138,54903,0.130011
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Andere landen                                     ,Tertiair,30909,54903,0.562975
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,België,Primair,5804,1931358,0.00300514
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,België,Quartair,731471,1931358,0.378734
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,België,Secundair,424231,1931358,0.219654
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,België,Tertiair,769852,1931358,0.398607
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU,Primair,1700,148881,0.0114185
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU,Quartair,36821,148881,0.247318
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU,Secundair,33073,148881,0.222144
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU,Tertiair,77287,148881,0.519119
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU13                                              ,Primair,1050,28867,0.0363737
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU13                                              ,Quartair,5397,28867,0.186961
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU13                                              ,Secundair,6828,28867,0.236533
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,EU13                                              ,Tertiair,15592,28867,0.540132
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Europa niet-EU                                    ,Primair,120,22076,0.00543577
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Europa niet-EU                                    ,Quartair,5953,22076,0.269659
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Europa niet-EU                                    ,Secundair,4161,22076,0.188485
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Europa niet-EU                                    ,Tertiair,11842,22076,0.53642
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Niet-EU,Primair,1626,149057,0.0109086
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Niet-EU,Quartair,37102,149057,0.248911
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Niet-EU,Secundair,31024,149057,0.208135
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Niet-EU,Tertiair,79305,149057,0.532045
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Turkije en Maghreb                                ,Primair,789,72078,0.0109465
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Turkije en Maghreb                                ,Quartair,15010,72078,0.208247
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Turkije en Maghreb                                ,Secundair,19725,72078,0.273662
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Turkije en Maghreb                                ,Tertiair,36554,72078,0.507145
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,West- en Noord-EU15,Primair,311,81360,0.00382252
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,West- en Noord-EU15,Quartair,22906,81360,0.281539
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,West- en Noord-EU15,Secundair,16872,81360,0.207375
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,West- en Noord-EU15,Tertiair,41271,81360,0.507264
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Zuid-EU15,Primair,339,38654,0.00877011
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Zuid-EU15,Quartair,8518,38654,0.220365
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Zuid-EU15,Secundair,9373,38654,0.242485
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2012,Zuid-EU15,Tertiair,20424,38654,0.52838
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Andere landen                                     ,Primair,769,58858,0.0130653
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Andere landen                                     ,Quartair,17562,58858,0.298379
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Andere landen                                     ,Secundair,7502,58858,0.127459
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Andere landen                                     ,Tertiair,33025,58858,0.561096
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,België,Primair,5628,1919461,0.00293207
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,België,Quartair,731852,1919461,0.38128
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,België,Secundair,415035,1919461,0.216225
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,België,Tertiair,766946,1919461,0.399563
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU,Primair,1841,157084,0.0117198
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU,Quartair,38680,157084,0.246238
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU,Secundair,34551,157084,0.219952
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU,Tertiair,82012,157084,0.52209
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU13                                              ,Primair,1194,33364,0.0357871
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU13                                              ,Quartair,5779,33364,0.173211
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU13                                              ,Secundair,8097,33364,0.242687
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,EU13                                              ,Tertiair,18294,33364,0.548316
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Europa niet-EU                                    ,Primair,117,22943,0.00509959
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Europa niet-EU                                    ,Quartair,6165,22943,0.268709
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Europa niet-EU                                    ,Secundair,4297,22943,0.18729
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Europa niet-EU                                    ,Tertiair,12364,22943,0.538901
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Niet-EU,Primair,1620,155739,0.010402
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Niet-EU,Quartair,39591,155739,0.254214
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Niet-EU,Secundair,31587,155739,0.20282
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Niet-EU,Tertiair,82941,155739,0.532564
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Turkije en Maghreb                                ,Primair,734,73938,0.00992724
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Turkije en Maghreb                                ,Quartair,15864,73938,0.214558
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Turkije en Maghreb                                ,Secundair,19788,73938,0.26763
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Turkije en Maghreb                                ,Tertiair,37552,73938,0.507885
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,West- en Noord-EU15,Primair,304,83520,0.00363985
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,West- en Noord-EU15,Quartair,23835,83520,0.285381
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,West- en Noord-EU15,Secundair,17029,83520,0.203891
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,West- en Noord-EU15,Tertiair,42352,83520,0.507088
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Zuid-EU15,Primair,343,40200,0.00853234
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Zuid-EU15,Quartair,9066,40200,0.225522
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Zuid-EU15,Secundair,9425,40200,0.234453
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2013,Zuid-EU15,Tertiair,21366,40200,0.531493
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Andere landen                                     ,Primair,713,62096,0.0114822
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Andere landen                                     ,Quartair,18740,62096,0.301791
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Andere landen                                     ,Secundair,7553,62096,0.121634
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Andere landen                                     ,Tertiair,35090,62096,0.565093
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,België,Primair,5304,1903278,0.00278677
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,België,Quartair,731547,1903278,0.384362
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,België,Secundair,403525,1903278,0.212016
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,België,Tertiair,762902,1903278,0.400836
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU,Primair,1949,163739,0.0119031
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU,Quartair,40602,163739,0.247968
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU,Secundair,35242,163739,0.215233
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU,Tertiair,85946,163739,0.524896
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU13                                              ,Primair,1291,36608,0.0352655
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU13                                              ,Quartair,6217,36608,0.169826
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU13                                              ,Secundair,9048,36608,0.247159
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,EU13                                              ,Tertiair,20052,36608,0.547749
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Europa niet-EU                                    ,Primair,103,23599,0.00436459
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Europa niet-EU                                    ,Quartair,6278,23599,0.266028
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Europa niet-EU                                    ,Secundair,4285,23599,0.181575
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Europa niet-EU                                    ,Tertiair,12933,23599,0.548032
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Niet-EU,Primair,1478,161471,0.00915335
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Niet-EU,Quartair,41738,161471,0.258486
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Niet-EU,Secundair,30978,161471,0.191849
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Niet-EU,Tertiair,87277,161471,0.540512
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Turkije en Maghreb                                ,Primair,662,75776,0.00873628
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Turkije en Maghreb                                ,Quartair,16720,75776,0.22065
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Turkije en Maghreb                                ,Secundair,19140,75776,0.252587
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Turkije en Maghreb                                ,Tertiair,39254,75776,0.518027
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,West- en Noord-EU15,Primair,301,85277,0.00352967
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,West- en Noord-EU15,Quartair,24749,85277,0.290219
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,West- en Noord-EU15,Secundair,16826,85277,0.19731
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,West- en Noord-EU15,Tertiair,43401,85277,0.508941
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Zuid-EU15,Primair,357,41854,0.00852965
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2014,Zuid-EU15,Quartair,9636,41854,0.230229
