Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal langdurig niet-werkende werkzoekenden,Aantal niet-werkende werkzoekenden,Procent
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,62709,124534,50.35492
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,10870,24055,45.18811
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,32403,65338,49.59289
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,62968,110675,56.89451
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,11460,22089,51.88103
Vlaams Gewest,2000,/,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,33110,60350,54.8633
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,96,279,34.4086
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,3,10,30.0
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,17,41,41.46341
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,120,291,41.23711
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,4,15,26.66667
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,24,60,40.0
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,106,267,39.70037
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,4,12,33.33333
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,19,53,35.84906
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,110,275,40.0
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,4,17,23.52941
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,23,55,41.81818
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,134,310,43.22581
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,9,24,37.5
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,29,70,41.42857
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,147,320,45.9375
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,9,24,37.5
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,29,65,44.61538
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,158,312,50.64103
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,7,27,25.92593
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,35,78,44.87179
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,144,296,48.64865
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,7,20,35.0
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,36,68,52.94118
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,138,286,48.25175
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,10,20,50.0
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,32,72,44.44444
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,115,233,49.35622
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,10,24,41.66667
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,38,78,48.71795
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,101,212,47.64151
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,6,17,35.29412
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,31,68,45.58824
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,113,248,45.56452
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,4,19,21.05263
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,33,80,41.25
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,136,212,64.15094
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,9,24,37.5
Aartselaar,11001,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,39,85,45.88235
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,6343,14498,43.75086
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,1025,3186,32.172
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,6431,15760,40.80584
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,7336,15155,48.40647
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,1498,3800,39.42105
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,7857,17411,45.12664
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,7081,14158,50.01413
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,1576,3880,40.61856
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,8114,17972,45.14801
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,6686,13314,50.21782
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,1600,4027,39.73181
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,8207,17673,46.43807
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,6858,13878,49.41634
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,1870,4658,40.14599
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,8865,18437,48.08266
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,7303,14135,51.66608
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,2112,5209,40.54521
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,9532,18623,51.18402
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,7481,13797,54.22193
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,2507,5370,46.68529
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,10093,18649,54.12086
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,7160,12988,55.12781
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,2590,5289,48.96956
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,9961,18473,53.92194
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,6743,12247,55.05838
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,2370,4907,48.29835
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,9643,18397,52.41615
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,6344,11520,55.06944
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,2262,4591,49.27031
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,9621,17757,54.18145
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,6127,10846,56.49087
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,2234,4498,49.66652
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,9346,17543,53.27481
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,6298,11170,56.38317
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,2338,4790,48.81002
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,9829,18038,54.49052
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,6093,9863,61.77634
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,2395,4365,54.86827
Antwerpen,11002,Ja,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,9873,16893,58.44433
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,104,295,35.25424
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,5,13,38.46154
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,12,38,31.57895
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,124,303,40.92409
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,5,13,38.46154
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,11,31,35.48387
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,131,274,47.81022
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,6,11,54.54545
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,16,37,43.24324
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,119,262,45.41985
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,6,14,42.85714
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,19,47,40.42553
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,123,303,40.59406
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,6,15,40.0
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,22,46,47.82609
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,144,314,45.85987
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,6,16,37.5
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,25,62,40.32258
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,146,318,45.91195
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,7,20,35.0
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,33,67,49.25373
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,142,292,48.63014
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,5,20,25.0
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,31,62,50.0
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,140,275,50.90909
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,7,19,36.84211
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,34,72,47.22222
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,124,247,50.20243
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,9,22,40.90909
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,33,70,47.14286
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,122,251,48.60558
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,13,23,56.52174
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,31,76,40.78947
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,128,258,49.6124
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,14,28,50.0
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,43,83,51.80723
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,135,235,57.44681
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,11,23,47.82609
Boechout,11004,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,41,73,56.16438
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,150,438,34.24658
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,12,46,26.08696
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,105,289,36.33218
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,177,440,40.22727
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,19,52,36.53846
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,134,304,44.07895
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,165,433,38.10624
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,21,50,42.0
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,134,315,42.53968
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,178,436,40.82569
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,20,56,35.71429
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,149,353,42.20963
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,200,475,42.10526
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,28,72,38.88889
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,170,358,47.48603
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,225,490,45.91837
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,36,78,46.15385
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,170,352,48.29545
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,222,493,45.03043
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,31,77,40.25974
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,174,373,46.64879
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,221,440,50.22727
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,35,79,44.3038
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,184,348,52.87356
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,209,410,50.97561
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,37,74,50.0
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,170,327,51.98777
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,190,374,50.80214
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,36,72,50.0
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,158,312,50.64103
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,174,340,51.17647
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,33,72,45.83333
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,149,297,50.16835
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,196,374,52.40642
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,25,69,36.23188
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,169,335,50.44776
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,197,329,59.87842
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,34,75,45.33333
Boom,11005,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,186,316,58.86076
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,96,287,33.44948
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,10,29,34.48276
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,26,84,30.95238
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,128,313,40.89457
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,13,36,36.11111
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,39,96,40.625
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,132,294,44.89796
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,14,35,40.0
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,39,92,42.3913
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,122,279,43.7276
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,12,31,38.70968
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,38,99,38.38384
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,129,300,43.0
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,13,39,33.33333
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,57,127,44.88189
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,150,317,47.31861
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,17,48,35.41667
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,62,129,48.06202
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,161,294,54.7619
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,24,54,44.44444
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,75,144,52.08333
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,160,285,56.14035
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,21,52,40.38462
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,82,149,55.03356
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,149,281,53.02491
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,26,51,50.98039
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,82,161,50.93168
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,145,256,56.64063
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,25,53,47.16981
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,83,148,56.08108
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,151,249,60.64257
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,31,69,44.92754
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,81,165,49.09091
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,145,250,58.0
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,38,75,50.66667
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,98,183,53.55191
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,128,210,60.95238
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,35,68,51.47059
Borsbeek,11007,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,108,169,63.90533
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,341,875,38.97143
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,16,63,25.39683
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,26,84,30.95238
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,389,910,42.74725
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,23,71,32.39437
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,35,104,33.65385
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,373,839,44.45769
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,28,74,37.83784
Brasschaat,11008,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,36,106,33.96226
