Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Leeftijd,Aantal werkzoekenden,Totale beroepsbevolking,Procent
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,EU13                                              ,15-24 jaar,178,2687,0.0662449
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,EU13                                              ,25-49 jaar,1084,21105,0.0513622
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,EU13                                              ,50-64 jaar,396,3793,0.104403
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Europa niet-EU                                    ,15-24 jaar,454,2722,0.166789
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Europa niet-EU                                    ,25-49 jaar,2378,16911,0.140619
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Europa niet-EU                                    ,50-64 jaar,491,3020,0.162583
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Niet-EU,15-24 jaar,4360,23062,0.189056
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Niet-EU,25-49 jaar,20723,134297,0.154307
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Niet-EU,50-64 jaar,3494,16262,0.214857
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Turkije en Maghreb                                ,15-24 jaar,3132,13802,0.226924
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Turkije en Maghreb                                ,25-49 jaar,12871,69867,0.184221
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Turkije en Maghreb                                ,50-64 jaar,1961,6252,0.31366
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,West- en Noord-EU15,15-24 jaar,1081,11481,0.0941556
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,West- en Noord-EU15,25-49 jaar,4931,72788,0.0677447
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,West- en Noord-EU15,50-64 jaar,1932,22977,0.0840841
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Zuid-EU15,15-24 jaar,675,5434,0.124218
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Zuid-EU15,25-49 jaar,2733,32621,0.0837804
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Zuid-EU15,50-64 jaar,1080,8132,0.132809
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Andere landen                                     ,15-24 jaar,726,6951,0.104445
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Andere landen                                     ,25-49 jaar,5735,52569,0.109095
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Andere landen                                     ,50-64 jaar,1211,8165,0.148316
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,België,15-24 jaar,10651,189033,0.0563447
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,België,25-49 jaar,49079,1562347,0.0314136
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,België,50-64 jaar,40039,684553,0.0584893
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,EU,15-24 jaar,1726,20341,0.0848533
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,EU,25-49 jaar,8469,133256,0.0635544
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,EU,50-64 jaar,3523,37473,0.0940144
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,EU13                                              ,15-24 jaar,185,3201,0.0577944
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,EU13                                              ,25-49 jaar,1186,25283,0.046909
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,EU13                                              ,50-64 jaar,430,4482,0.0959393
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Europa niet-EU                                    ,15-24 jaar,505,3163,0.159659
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Europa niet-EU                                    ,25-49 jaar,2466,19276,0.127931
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Europa niet-EU                                    ,50-64 jaar,604,3665,0.164802
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Niet-EU,15-24 jaar,3854,24275,0.158764
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Niet-EU,25-49 jaar,20336,145901,0.139382
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Niet-EU,50-64 jaar,3977,19075,0.208493
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Turkije en Maghreb                                ,15-24 jaar,2623,14161,0.185227
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Turkije en Maghreb                                ,25-49 jaar,12135,74056,0.163862
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Turkije en Maghreb                                ,50-64 jaar,2162,7245,0.298413
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,West- en Noord-EU15,15-24 jaar,974,11541,0.0843948
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,West- en Noord-EU15,25-49 jaar,4900,74538,0.0657383
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,West- en Noord-EU15,50-64 jaar,1964,24110,0.08146
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Zuid-EU15,15-24 jaar,567,5599,0.101268
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Zuid-EU15,25-49 jaar,2383,33435,0.0712726
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2011,Zuid-EU15,50-64 jaar,1129,8881,0.127125
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Andere landen                                     ,15-24 jaar,720,7492,0.0961025
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Andere landen                                     ,25-49 jaar,6187,57610,0.107395
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Andere landen                                     ,50-64 jaar,1314,9039,0.14537
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,België,15-24 jaar,9821,185639,0.0529038
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,België,25-49 jaar,44948,1534240,0.0292966
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,België,50-64 jaar,37916,698523,0.0542802
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,EU,15-24 jaar,1644,21245,0.0773829
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,EU,25-49 jaar,8615,140428,0.0613482
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,EU,50-64 jaar,3618,40036,0.0903687
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,EU13                                              ,15-24 jaar,213,3847,0.0553678
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,EU13                                              ,25-49 jaar,1381,29918,0.0461595
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,EU13                                              ,50-64 jaar,444,5187,0.0855986
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Europa niet-EU                                    ,15-24 jaar,544,3408,0.159624
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Europa niet-EU                                    ,25-49 jaar,2617,21097,0.124046
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Europa niet-EU                                    ,50-64 jaar,705,4241,0.166234
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Niet-EU,15-24 jaar,3805,24944,0.152542
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Niet-EU,25-49 jaar,20919,157116,0.133144
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Niet-EU,50-64 jaar,4255,21264,0.200103
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Turkije en Maghreb                                ,15-24 jaar,2541,14044,0.180931
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Turkije en Maghreb                                ,25-49 jaar,12115,78409,0.15451
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Turkije en Maghreb                                ,50-64 jaar,2236,7984,0.28006
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,West- en Noord-EU15,15-24 jaar,907,11716,0.0774155
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,West- en Noord-EU15,25-49 jaar,4847,76007,0.0637704
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,West- en Noord-EU15,50-64 jaar,2001,25220,0.0793418
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Zuid-EU15,15-24 jaar,524,5682,0.092221
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Zuid-EU15,25-49 jaar,2387,34503,0.0691824
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2012,Zuid-EU15,50-64 jaar,1173,9629,0.12182
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Andere landen                                     ,15-24 jaar,812,7531,0.107821
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Andere landen                                     ,25-49 jaar,7001,61889,0.113122
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Andere landen                                     ,50-64 jaar,1516,10310,0.147042
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,België,15-24 jaar,10373,177809,0.0583379
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,België,25-49 jaar,46313,1507328,0.0307252
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,België,50-64 jaar,34450,715966,0.0481168
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,EU,15-24 jaar,1789,21676,0.0825337
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,EU,25-49 jaar,9422,147767,0.0637625
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,EU,50-64 jaar,3583,42500,0.0843059
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,EU13                                              ,15-24 jaar,219,4396,0.049818
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,EU13                                              ,25-49 jaar,1689,34565,0.0488645
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,EU13                                              ,50-64 jaar,433,5841,0.0741311
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Europa niet-EU                                    ,15-24 jaar,578,3431,0.168464
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Europa niet-EU                                    ,25-49 jaar,3055,22235,0.137396
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Europa niet-EU                                    ,50-64 jaar,818,4771,0.171453
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Niet-EU,15-24 jaar,4111,24383,0.168601
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Niet-EU,25-49 jaar,23193,165686,0.139982
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Niet-EU,50-64 jaar,4706,24064,0.195562
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Turkije en Maghreb                                ,15-24 jaar,2721,13421,0.202742
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Turkije en Maghreb                                ,25-49 jaar,13137,81562,0.161068
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Turkije en Maghreb                                ,50-64 jaar,2372,8983,0.264054
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,West- en Noord-EU15,15-24 jaar,976,11714,0.0833191
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,West- en Noord-EU15,25-49 jaar,5204,77324,0.0673012
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,West- en Noord-EU15,50-64 jaar,2056,26382,0.0779319
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Zuid-EU15,15-24 jaar,594,5566,0.106719
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Zuid-EU15,25-49 jaar,2529,35878,0.0704889
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2013,Zuid-EU15,50-64 jaar,1094,10277,0.106451
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Andere landen                                     ,15-24 jaar,929,7723,0.12029
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Andere landen                                     ,25-49 jaar,8004,65880,0.121494
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Andere landen                                     ,50-64 jaar,1884,11647,0.161758
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,België,15-24 jaar,11276,172144,0.0655033
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,België,25-49 jaar,49783,1477127,0.0337026
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,België,50-64 jaar,38466,741135,0.0519015
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,EU,15-24 jaar,2037,21662,0.0940356
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,EU,25-49 jaar,10930,154359,0.070809
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,EU,50-64 jaar,4308,45461,0.0947625
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,EU13                                              ,15-24 jaar,301,4449,0.0676557
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,EU13                                              ,25-49 jaar,2213,38208,0.0579198
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,EU13                                              ,50-64 jaar,553,6517,0.084855
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Europa niet-EU                                    ,15-24 jaar,614,3396,0.180801
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Europa niet-EU                                    ,25-49 jaar,3481,23194,0.150082
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Europa niet-EU                                    ,50-64 jaar,1056,5419,0.19487
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Niet-EU,15-24 jaar,4175,24046,0.173626
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Niet-EU,25-49 jaar,25388,173367,0.146441
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Niet-EU,50-64 jaar,5739,27165,0.211264
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Turkije en Maghreb                                ,15-24 jaar,2632,12927,0.203605
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Turkije en Maghreb                                ,25-49 jaar,13903,84293,0.164937
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Turkije en Maghreb                                ,50-64 jaar,2799,10099,0.277156
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,West- en Noord-EU15,15-24 jaar,1099,11646,0.0943672
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,West- en Noord-EU15,25-49 jaar,5847,78743,0.0742542
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,West- en Noord-EU15,50-64 jaar,2477,27909,0.0887527
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Zuid-EU15,15-24 jaar,637,5567,0.114424
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Zuid-EU15,25-49 jaar,2870,37408,0.0767216
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2014,Zuid-EU15,50-64 jaar,1278,11035,0.115813
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Andere landen                                     ,15-24 jaar,845,8219,0.102811
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Andere landen                                     ,25-49 jaar,8464,69596,0.121616
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Andere landen                                     ,50-64 jaar,2128,13103,0.162406
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,België,15-24 jaar,9896,166881,0.0592997
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,België,25-49 jaar,46069,1448152,0.0318123
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,België,50-64 jaar,39704,764455,0.0519377
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,EU,15-24 jaar,1806,21777,0.0829315
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,EU,25-49 jaar,10928,162040,0.0674401
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,EU,50-64 jaar,4627,48615,0.0951764
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,EU13                                              ,15-24 jaar,319,4738,0.067328
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,EU13                                              ,25-49 jaar,2513,43197,0.0581753
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,EU13                                              ,50-64 jaar,652,7257,0.0898443
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Europa niet-EU                                    ,15-24 jaar,553,3376,0.163803
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Europa niet-EU                                    ,25-49 jaar,3510,24174,0.145197
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Europa niet-EU                                    ,50-64 jaar,1182,6065,0.194889
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Niet-EU,15-24 jaar,3578,24339,0.147007
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Niet-EU,25-49 jaar,25032,180438,0.138729
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Niet-EU,50-64 jaar,6302,30642,0.205665
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Turkije en Maghreb                                ,15-24 jaar,2180,12744,0.171061
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Turkije en Maghreb                                ,25-49 jaar,13058,86668,0.150667
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Turkije en Maghreb                                ,50-64 jaar,2992,11474,0.260763
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,West- en Noord-EU15,15-24 jaar,979,11619,0.0842585
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,West- en Noord-EU15,25-49 jaar,5658,80090,0.0706455
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,West- en Noord-EU15,50-64 jaar,2673,29526,0.0905304
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2015,Zuid-EU15,15-24 jaar,508,5420,0.0937269
