Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Geslacht,Aantal meerderjarige nieuwkomers naar geslacht,Aantal meerderjarige nieuwkomers,Procent
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,22,41,0.536585
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,19,41,0.463415
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,19,35,0.542857
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,16,35,0.457143
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,30,44,0.681818
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,14,44,0.318182
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,35,52,0.673077
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,17,52,0.326923
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,33,49,0.673469
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,16,49,0.326531
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,38,57,0.666667
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,19,57,0.333333
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,47,76,0.618421
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,29,76,0.381579
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,41,66,0.621212
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,25,66,0.378788
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,42,70,0.6
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,28,70,0.4
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,4864,9915,0.49057
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,5051,9915,0.50943
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,5330,10299,0.517526
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,4969,10299,0.482474
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,4648,8816,0.527223
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,4168,8816,0.472777
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,3665,6789,0.539844
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,3124,6789,0.460156
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,3648,7054,0.517153
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,3406,7054,0.482847
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,4080,7656,0.532915
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,3576,7656,0.467085
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,5093,9423,0.540486
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,4330,9423,0.459514
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,4127,7817,0.527952
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,3690,7817,0.472048
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,3904,7630,0.511664
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,3726,7630,0.488336
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,4937,9240,0.534307
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,4303,9240,0.465693
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,3814,7018,0.54346
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,3204,7018,0.45654
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,3208,6194,0.517921
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,2986,6194,0.482079
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,12,41,0.292683
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,29,41,0.707317
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,14,26,0.538462
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,12,26,0.461538
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,11,27,0.407407
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,16,27,0.592593
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,13,25,0.52
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,12,25,0.48
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,17,33,0.515152
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,16,33,0.484848
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,13,32,0.40625
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,19,32,0.59375
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,18,37,0.486486
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,19,37,0.513514
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,21,44,0.477273
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,23,44,0.522727
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,21,41,0.512195
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,20,41,0.487805
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,19,48,0.395833
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,29,48,0.604167
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,14,30,0.466667
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,16,30,0.533333
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,11,26,0.423077
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,15,26,0.576923
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,71,122,0.581967
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,51,122,0.418033
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,82,141,0.58156
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,59,141,0.41844
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,42,86,0.488372
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,44,86,0.511628
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,34,68,0.5
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,34,68,0.5
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,34,70,0.485714
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,36,70,0.514286
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,39,79,0.493671
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,40,79,0.506329
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,50,104,0.480769
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,54,104,0.519231
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,48,107,0.448598
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,59,107,0.551402
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,59,117,0.504274
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,58,117,0.495726
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,57,123,0.463415
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,66,123,0.536585
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,57,115,0.495652
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,58,115,0.504348
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,34,80,0.425
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,46,80,0.575
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,28,56,0.5
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,28,56,0.5
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,12,34,0.352941
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,22,34,0.647059
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,20,38,0.526316
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,18,38,0.473684
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,24,52,0.461538
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,28,52,0.538462
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,21,40,0.525
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,19,40,0.475
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,26,55,0.472727
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,29,55,0.527273
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,23,56,0.410714
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,33,56,0.589286
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,27,61,0.442623
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,34,61,0.557377
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,25,50,0.5
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,25,50,0.5
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,30,58,0.517241
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,28,58,0.482759
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,28,59,0.474576
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,31,59,0.525424
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,30,52,0.576923
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,22,52,0.423077
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,97,213,0.455399
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,116,213,0.544601
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,89,201,0.442786
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,112,201,0.557214
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,65,135,0.481481
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,70,135,0.518519
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,70,168,0.416667
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,98,168,0.583333
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,69,157,0.43949
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,88,157,0.56051
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,81,163,0.496933
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,82,163,0.503067
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,85,170,0.5
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,85,170,0.5
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,80,167,0.479042
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,87,167,0.520958
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,87,179,0.486034
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,92,179,0.513966
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,86,165,0.521212
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,79,165,0.478788
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,67,170,0.394118
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,103,170,0.605882
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,45,96,0.46875
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,51,96,0.53125
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,62,114,0.54386
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,52,114,0.45614
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,47,80,0.5875
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,33,80,0.4125
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,49,81,0.604938
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,32,81,0.395062
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,46,95,0.484211
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,49,95,0.515789
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,38,72,0.527778
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,34,72,0.472222
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,47,86,0.546512
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,39,86,0.453488
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,65,116,0.560345
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,51,116,0.439655
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,49,92,0.532609
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,43,92,0.467391
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,71,127,0.559055
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,56,127,0.440945
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,61,107,0.570093
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,46,107,0.429907
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,54,106,0.509434
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,52,106,0.490566
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,50,90,0.555556
Brecht,11009,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,40,90,0.444444
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,49,111,0.441441
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,62,111,0.558559
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,31,84,0.369048
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,53,84,0.630952
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,29,75,0.386667
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,46,75,0.613333
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,37,71,0.521127
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,34,71,0.478873
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,38,76,0.5
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,38,76,0.5
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,38,77,0.493506
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,39,77,0.506494
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,59,102,0.578431
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,43,102,0.421569
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,40,86,0.465116
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,46,86,0.534884
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,42,86,0.488372
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,44,86,0.511628
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,47,81,0.580247
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,34,81,0.419753
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,40,82,0.487805
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,42,82,0.512195
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,37,71,0.521127
Edegem,11013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,34,71,0.478873
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,131,251,0.521912
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,120,251,0.478088
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,99,186,0.532258
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,87,186,0.467742
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,78,165,0.472727
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,87,165,0.527273
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,73,144,0.506944
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,71,144,0.493056
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,83,157,0.528662
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,74,157,0.471338
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,73,144,0.506944
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,71,144,0.493056
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,119,213,0.558685
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,94,213,0.441315
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,92,195,0.471795
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,103,195,0.528205
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,81,154,0.525974
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,73,154,0.474026
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,101,182,0.554945
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,81,182,0.445055
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,89,167,0.532934
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,78,167,0.467066
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,74,146,0.506849
Essen,11016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,72,146,0.493151
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,18,27,0.666667
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,9,27,0.333333
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,21,40,0.525
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,19,40,0.475
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,6,17,0.352941
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,11,17,0.647059
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,16,26,0.615385
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,10,26,0.384615
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,19,30,0.633333
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,11,30,0.366667
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,32,46,0.695652
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,14,46,0.304348
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,23,34,0.676471
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,11,34,0.323529
Hemiksem,11018,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,29,41,0.707317
