Gemeente,Nis-code,Centrumstad?,Indicator,Geslacht,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar geslacht,Aantal inwoners naar geslacht,Procent
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2015,293,7022,0.041726
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2015,289,7135,0.0405046
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2016,318,7057,0.0450616
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2016,303,7205,0.0420541
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2017,332,7051,0.0470855
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2017,318,7171,0.0443453
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2018,376,7136,0.0526906
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2018,341,7168,0.0475725
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2019,382,7089,0.0538863
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2019,353,7204,0.0490006
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2020,425,7153,0.0594156
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2020,406,7274,0.0558152
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2021,435,7169,0.0606779
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2021,404,7286,0.0554488
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2022,488,7242,0.0673847
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2022,453,7368,0.0614821
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2000,31843,216580,0.147027
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2000,27677,229945,0.120364
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2001,29392,216319,0.135873
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2001,25670,229251,0.111973
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2002,27129,218305,0.124271
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2002,23250,230404,0.10091
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2003,27855,220688,0.126219
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2003,23475,231786,0.101279
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2004,28587,222395,0.128542
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2004,24406,232753,0.104858
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2005,29292,223818,0.130874
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2005,25582,233931,0.109357
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2006,31507,226280,0.139239
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2006,27825,235216,0.118296
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2007,33696,228899,0.147209
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2007,29963,237304,0.126264
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2008,36484,232046,0.157227
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2008,32325,239552,0.134939
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2009,39908,235953,0.169135
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2009,34904,241983,0.144242
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2010,41873,238617,0.175482
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2010,37483,244888,0.153062
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2011,45699,244137,0.187186
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2011,41083,249380,0.164741
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2012,49645,249000,0.199378
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2012,44511,253604,0.175514
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2013,51630,251893,0.204968
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2013,46483,256018,0.181561
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2014,52356,253607,0.206445
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2014,47402,257003,0.184441
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2015,53946,255077,0.211489
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2015,49206,258493,0.190357
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2016,55298,257125,0.215063
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2016,50418,259917,0.193977
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2017,56318,259334,0.217164
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2017,50890,261170,0.194854
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2018,56947,261165,0.21805
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2018,51476,262083,0.196411
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2019,58328,262921,0.221846
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2019,52851,263014,0.200944
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2020,59264,264763,0.223838
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2020,53995,264484,0.204152
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2021,60065,265213,0.226478
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2021,54688,264204,0.206992
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Mannen,2022,61088,266100,0.229568
Antwerpen,11002,Ja,"Vreemdelingen, naar geslacht",Vrouwen,2022,55596,264530,0.210169
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2000,91,5990,0.015192
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2000,91,5929,0.0153483
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2001,81,6005,0.0134888
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2001,80,5948,0.0134499
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2002,85,5961,0.0142594
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2002,72,5925,0.0121519
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2003,101,6017,0.0167858
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2003,67,5957,0.0112473
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2004,112,6022,0.0185985
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2004,81,5931,0.0136571
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2005,107,6043,0.0177064
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2005,93,5949,0.0156329
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2006,122,6076,0.020079
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2006,100,6014,0.0166279
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2007,133,6070,0.021911
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2007,106,6079,0.0174371
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2008,152,6167,0.0246473
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2008,123,6166,0.0199481
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2009,155,6285,0.0246619
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2009,127,6304,0.0201459
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2010,173,6344,0.0272699
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2010,134,6405,0.0209212
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2011,182,6318,0.0288066
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2011,178,6410,0.0277691
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2012,188,6307,0.0298081
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2012,181,6417,0.0282063
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2013,215,6333,0.0339492
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2013,197,6441,0.0305853
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2014,207,6349,0.0326036
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2014,211,6455,0.0326878
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2015,241,6314,0.0381691
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2015,230,6478,0.0355048
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2016,250,6320,0.039557
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2016,267,6524,0.0409258
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2017,274,6345,0.0431836
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2017,299,6563,0.0455584
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2018,331,6431,0.0514694
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2018,350,6689,0.0523247
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2019,365,6506,0.0561021
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2019,378,6760,0.0559172
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2020,356,6526,0.054551
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2020,371,6846,0.0541922
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2021,348,6587,0.0528313
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2021,366,6940,0.0527378
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Mannen,2022,355,6705,0.0529456
Boechout,11004,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2022,373,7028,0.0530734
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2000,526,7309,0.0719661
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2000,479,7748,0.0618224
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2001,477,7275,0.065567
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2001,452,7711,0.0586176
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2002,448,7306,0.0613195
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2002,420,7783,0.0539638
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2003,411,7440,0.0552419
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2003,397,7890,0.0503169
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2004,405,7559,0.0535785
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2004,380,8008,0.0474525
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2005,410,7676,0.0534132
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2005,374,8053,0.0464423
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2006,465,7838,0.0593264
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2006,425,8258,0.0514652
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2007,523,7988,0.0654732
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2007,463,8338,0.0555289
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2008,537,8037,0.066816
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2008,495,8407,0.0588795
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2009,609,8138,0.0748341
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2009,525,8460,0.0620567
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2010,636,8213,0.0774382
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2010,567,8496,0.0667373
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2011,735,8400,0.0875
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2011,626,8589,0.0728839
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2012,767,8500,0.0902353
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2012,693,8666,0.0799677
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2013,755,8526,0.0885527
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2013,719,8701,0.0826342
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2014,746,8539,0.0873639
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2014,721,8692,0.0829498
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2015,817,8703,0.0938757
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2015,803,8856,0.090673
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2016,883,8794,0.100409
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2016,889,8943,0.0994074
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2017,895,8768,0.102076
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2017,962,9020,0.106652
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2018,942,8869,0.106213
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2018,1013,9101,0.111306
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2019,1015,9024,0.112478
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2019,1079,9220,0.117028
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2020,1121,9242,0.121294
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2020,1157,9313,0.124235
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2021,1189,9337,0.127343
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2021,1219,9462,0.128831
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Mannen,2022,1224,9359,0.130783
Boom,11005,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2022,1270,9473,0.134065
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2000,205,5044,0.0406423
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2000,182,5329,0.0341527
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2001,185,4997,0.0370222
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2001,161,5298,0.0303888
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2002,162,4978,0.0325432
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2002,143,5300,0.0269811
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2003,176,4963,0.0354624
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2003,175,5335,0.0328022
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2004,193,4984,0.0387239
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2004,183,5320,0.0343985
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2005,179,4949,0.0361689
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2005,175,5355,0.0326797
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2006,185,4950,0.0373737
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2006,160,5307,0.0301489
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2007,207,4919,0.0420817
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2007,181,5305,0.0341188
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2008,224,4879,0.045911
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2008,208,5246,0.0396493
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2009,251,4879,0.051445
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2009,230,5257,0.0437512
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2010,298,4868,0.0612161
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2010,262,5257,0.0498383
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2011,327,4928,0.0663555
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2011,330,5279,0.0625118
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2012,355,4916,0.0722132
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2012,375,5317,0.0705285
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2013,409,4961,0.0824431
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2013,413,5317,0.0776754
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2014,427,5018,0.0850937
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2014,461,5433,0.0848518
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2015,463,5050,0.0916832
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2015,484,5415,0.0893813
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2016,485,5104,0.0950235
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2016,523,5436,0.0962104
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2017,496,5118,0.0969129
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2017,532,5463,0.0973824
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2018,524,5159,0.10157
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2018,567,5526,0.102606
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2019,612,5270,0.116129
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2019,620,5584,0.111032
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2020,648,5305,0.122149
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2020,649,5644,0.114989
Borsbeek,11007,Nee,"Vreemdelingen, naar geslacht",Mannen,2021,689,5349,0.128809
