Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal meerderjarige nieuwkomers naar nationaliteitsgroep,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2015,EU+ (excl. Nederland),13503,36391,0.37105
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Nederland,4971,36391,0.1366
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Onbepaalde nationaliteit,459,36391,0.01261
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Derdelander,29613,52025,0.56921
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2016,EU+ (excl. Nederland),16194,52025,0.31127
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Nederland,5367,52025,0.10316
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Onbepaalde nationaliteit,851,52025,0.01636
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Derdelander,18157,43804,0.41451
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2017,EU+ (excl. Nederland),20163,43804,0.4603
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Nederland,5085,43804,0.11609
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Onbepaalde nationaliteit,399,43804,0.00911
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Derdelander,18996,45672,0.41592
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2018,EU+ (excl. Nederland),21145,45672,0.46298
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Nederland,5222,45672,0.11434
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Onbepaalde nationaliteit,309,45672,0.00677
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Derdelander,21681,51746,0.41899
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2019,EU+ (excl. Nederland),24666,51746,0.47667
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Nederland,5188,51746,0.10026
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Onbepaalde nationaliteit,211,51746,0.00408
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Derdelander,17522,41993,0.41726
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2020,EU+ (excl. Nederland),19828,41993,0.47217
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Nederland,4408,41993,0.10497
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Onbepaalde nationaliteit,235,41993,0.0056
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Derdelander,20706,39096,0.52962
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2021,EU+ (excl. Nederland),14804,39096,0.37866
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Nederland,3309,39096,0.08464
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Onbepaalde nationaliteit,277,39096,0.00709
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Derdelander,16,46,0.34783
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,EU+ (excl. Nederland),20,46,0.43478
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Nederland,10,46,0.21739
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Onbepaalde nationaliteit,0,46,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Derdelander,14,31,0.45161
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,EU+ (excl. Nederland),14,31,0.45161
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Nederland,3,31,0.09677
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Onbepaalde nationaliteit,0,31,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Derdelander,15,33,0.45455
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,EU+ (excl. Nederland),15,33,0.45455
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Nederland,3,33,0.09091
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Onbepaalde nationaliteit,0,33,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Derdelander,13,41,0.31707
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,EU+ (excl. Nederland),19,41,0.46341
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Nederland,9,41,0.21951
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Onbepaalde nationaliteit,0,41,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Derdelander,7,35,0.2
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,EU+ (excl. Nederland),16,35,0.45714
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Nederland,12,35,0.34286
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Onbepaalde nationaliteit,0,35,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Derdelander,21,44,0.47727
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,EU+ (excl. Nederland),19,44,0.43182
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Nederland,4,44,0.09091
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Onbepaalde nationaliteit,0,44,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Derdelander,27,52,0.51923
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,EU+ (excl. Nederland),20,52,0.38462
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Nederland,5,52,0.09615
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Onbepaalde nationaliteit,0,52,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Derdelander,26,53,0.49057
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,EU+ (excl. Nederland),25,53,0.4717
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Nederland,2,53,0.03774
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Onbepaalde nationaliteit,0,53,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Derdelander,26,57,0.45614
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,EU+ (excl. Nederland),28,57,0.49123
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Nederland,3,57,0.05263
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Onbepaalde nationaliteit,0,57,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Derdelander,35,76,0.46053
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,EU+ (excl. Nederland),34,76,0.44737
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Nederland,7,76,0.09211
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Onbepaalde nationaliteit,0,76,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Derdelander,27,66,0.40909
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,EU+ (excl. Nederland),30,66,0.45455
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Nederland,9,66,0.13636
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Onbepaalde nationaliteit,0,66,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Derdelander,40,70,0.57143
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,EU+ (excl. Nederland),27,70,0.38571
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Nederland,3,70,0.04286
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Onbepaalde nationaliteit,0,70,0.0
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Derdelander,4502,9915,0.45406
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2010,EU+ (excl. Nederland),3739,9915,0.37711
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Nederland,1389,9915,0.14009
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Onbepaalde nationaliteit,285,9915,0.02874
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Derdelander,4843,10299,0.47024
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2011,EU+ (excl. Nederland),3746,10299,0.36372
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Nederland,1600,10299,0.15535
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Onbepaalde nationaliteit,110,10299,0.01068
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Derdelander,3570,8816,0.40495
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2012,EU+ (excl. Nederland),3571,8816,0.40506
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Nederland,1503,8816,0.17049
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Onbepaalde nationaliteit,172,8816,0.01951
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Derdelander,2778,6789,0.40919
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2013,EU+ (excl. Nederland),2596,6789,0.38238
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Nederland,1277,6789,0.1881
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Onbepaalde nationaliteit,138,6789,0.02033
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Derdelander,2707,7054,0.38375
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2014,EU+ (excl. Nederland),2993,7054,0.4243
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Nederland,1292,7054,0.18316
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Onbepaalde nationaliteit,62,7054,0.00879
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Derdelander,3916,7656,0.51149
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2015,EU+ (excl. Nederland),2323,7656,0.30342
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Nederland,1263,7656,0.16497
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Onbepaalde nationaliteit,154,7656,0.02011
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Derdelander,5113,9423,0.54261
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2016,EU+ (excl. Nederland),2792,9423,0.2963
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Nederland,1380,9423,0.14645
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Onbepaalde nationaliteit,138,9423,0.01465
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Derdelander,3680,7915,0.46494
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2017,EU+ (excl. Nederland),3031,7915,0.38294
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Nederland,1089,7915,0.13759
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Onbepaalde nationaliteit,115,7915,0.01453
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Derdelander,3583,7630,0.46959
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2018,EU+ (excl. Nederland),2840,7630,0.37221
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Nederland,1125,7630,0.14744
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Onbepaalde nationaliteit,82,7630,0.01075
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Derdelander,4072,9240,0.44069
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2019,EU+ (excl. Nederland),3900,9240,0.42208
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Nederland,1192,9240,0.129
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Onbepaalde nationaliteit,76,9240,0.00823
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Derdelander,3063,7018,0.43645
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2020,EU+ (excl. Nederland),3034,7018,0.43232
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Nederland,843,7018,0.12012
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Onbepaalde nationaliteit,78,7018,0.01111
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Derdelander,3829,6194,0.61818
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2021,EU+ (excl. Nederland),1764,6194,0.28479
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Nederland,523,6194,0.08444
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Onbepaalde nationaliteit,78,6194,0.01259
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Derdelander,24,41,0.58537
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,EU+ (excl. Nederland),11,41,0.26829
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Nederland,5,41,0.12195
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Onbepaalde nationaliteit,1,41,0.02439
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Derdelander,17,26,0.65385
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,EU+ (excl. Nederland),7,26,0.26923
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Nederland,2,26,0.07692
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Onbepaalde nationaliteit,0,26,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Derdelander,11,27,0.40741
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,EU+ (excl. Nederland),15,27,0.55556
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Nederland,1,27,0.03704
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Onbepaalde nationaliteit,0,27,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Derdelander,14,25,0.56
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,EU+ (excl. Nederland),8,25,0.32
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Nederland,3,25,0.12
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Onbepaalde nationaliteit,0,25,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Derdelander,15,33,0.45455
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,EU+ (excl. Nederland),14,33,0.42424
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Nederland,4,33,0.12121
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Onbepaalde nationaliteit,0,33,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Derdelander,21,32,0.65625
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,EU+ (excl. Nederland),3,32,0.09375
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Nederland,7,32,0.21875
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Onbepaalde nationaliteit,1,32,0.03125
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Derdelander,25,37,0.67568
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,EU+ (excl. Nederland),7,37,0.18919
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Nederland,5,37,0.13514
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Onbepaalde nationaliteit,0,37,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Derdelander,29,49,0.59184
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,EU+ (excl. Nederland),15,49,0.30612
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Nederland,5,49,0.10204
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Onbepaalde nationaliteit,0,49,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Derdelander,26,41,0.63415
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,EU+ (excl. Nederland),6,41,0.14634
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Nederland,9,41,0.21951
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Onbepaalde nationaliteit,0,41,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Derdelander,28,48,0.58333
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,EU+ (excl. Nederland),14,48,0.29167
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Nederland,6,48,0.125
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2019,Onbepaalde nationaliteit,0,48,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Derdelander,19,30,0.63333
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,EU+ (excl. Nederland),8,30,0.26667
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Nederland,3,30,0.1
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2020,Onbepaalde nationaliteit,0,30,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Derdelander,12,26,0.46154
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,EU+ (excl. Nederland),10,26,0.38462
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Nederland,4,26,0.15385
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2021,Onbepaalde nationaliteit,0,26,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Derdelander,75,122,0.61475
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,EU+ (excl. Nederland),31,122,0.2541
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Nederland,16,122,0.13115
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Onbepaalde nationaliteit,0,122,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Derdelander,64,141,0.4539
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,EU+ (excl. Nederland),59,141,0.41844
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Nederland,18,141,0.12766
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Onbepaalde nationaliteit,0,141,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Derdelander,42,86,0.48837
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,EU+ (excl. Nederland),29,86,0.33721
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Nederland,13,86,0.15116
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Onbepaalde nationaliteit,2,86,0.02326
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Derdelander,24,68,0.35294
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,EU+ (excl. Nederland),25,68,0.36765
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Nederland,19,68,0.27941
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Onbepaalde nationaliteit,0,68,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Derdelander,38,70,0.54286
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,EU+ (excl. Nederland),22,70,0.31429
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Nederland,10,70,0.14286
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Onbepaalde nationaliteit,0,70,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Derdelander,41,79,0.51899
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,EU+ (excl. Nederland),23,79,0.29114
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Nederland,15,79,0.18987
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Onbepaalde nationaliteit,0,79,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Derdelander,68,104,0.65385
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,EU+ (excl. Nederland),20,104,0.19231
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Nederland,16,104,0.15385
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2016,Onbepaalde nationaliteit,0,104,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Derdelander,53,106,0.5
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,EU+ (excl. Nederland),40,106,0.37736
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Nederland,12,106,0.11321
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2017,Onbepaalde nationaliteit,1,106,0.00943
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Derdelander,48,117,0.41026
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,EU+ (excl. Nederland),55,117,0.47009
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Nederland,13,117,0.11111
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar nationaliteit",2018,Onbepaalde nationaliteit,1,117,0.00855
