Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal meerderjarige nieuwkomers naar doelgroep,Aantal meerderjarige nieuwkomers,Procent
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,32,49,0.65306
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,13,49,0.26531
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,1,57,0.01754
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,7,57,0.12281
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,34,57,0.59649
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,15,57,0.26316
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,0,76,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,76,0.01316
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,52,76,0.68421
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,23,76,0.30263
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,66,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,52,66,0.78788
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,14,66,0.21212
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,1,70,0.01429
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,40,70,0.57143
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,29,70,0.41429
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,578,10299,0.05612
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,5882,10299,0.57112
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,3839,10299,0.37275
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,490,8816,0.05558
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,5940,8816,0.67377
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,2386,8816,0.27064
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,363,6789,0.05347
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,4784,6789,0.70467
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,1642,6789,0.24186
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,753,7054,0.10675
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,4971,7054,0.70471
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,1330,7054,0.18855
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,608,7656,0.07941
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,4897,7656,0.63963
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,2151,7656,0.28096
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,574,9423,0.06091
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,6123,9423,0.64979
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,2726,9423,0.28929
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,589,7817,0.07535
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,4914,7817,0.62863
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,2314,7817,0.29602
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,85,7630,0.01114
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,531,7630,0.06959
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,5020,7630,0.65793
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,1994,7630,0.26134
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,124,9240,0.01342
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,655,9240,0.07089
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,6323,9240,0.68431
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,2138,9240,0.23139
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,9,7018,0.00128
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,5275,7018,0.75164
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,1734,7018,0.24708
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,11,6194,0.00178
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,4201,6194,0.67824
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,1982,6194,0.31999
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,0,26,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,11,26,0.42308
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,15,26,0.57692
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,0,27,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,17,27,0.62963
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,10,27,0.37037
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,0,25,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,16,25,0.64
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,9,25,0.36
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,2,33,0.06061
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,23,33,0.69697
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,8,33,0.24242
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,1,32,0.03125
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,19,32,0.59375
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,12,32,0.375
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,3,37,0.08108
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,26,37,0.7027
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,8,37,0.21622
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,2,44,0.04545
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,28,44,0.63636
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,14,44,0.31818
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,1,41,0.02439
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,21,41,0.5122
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,18,41,0.43902
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,0,48,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,32,48,0.66667
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,16,48,0.33333
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,30,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,21,30,0.7
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,9,30,0.3
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,26,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,19,26,0.73077
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,7,26,0.26923
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,4,141,0.02837
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,96,141,0.68085
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,41,141,0.29078
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,2,86,0.02326
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,56,86,0.65116
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,28,86,0.32558
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,0,68,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,51,68,0.75
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,17,68,0.25
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,3,70,0.04286
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,44,70,0.62857
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,23,70,0.32857
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,3,79,0.03797
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,49,79,0.62025
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,27,79,0.34177
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,5,104,0.04808
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,64,104,0.61538
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,35,104,0.33654
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,1,107,0.00935
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,65,107,0.60748
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,41,107,0.38318
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,117,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,84,117,0.71795
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,33,117,0.28205
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,123,0.00813
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,2,123,0.01626
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,87,123,0.70732
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,33,123,0.26829
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,115,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,85,115,0.73913
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,30,115,0.26087
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,80,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,46,80,0.575
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,34,80,0.425
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,1,34,0.02941
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,27,34,0.79412
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,6,34,0.17647
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,1,38,0.02632
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,25,38,0.65789
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,12,38,0.31579
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,0,52,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,36,52,0.69231
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,16,52,0.30769
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,6,40,0.15
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,31,40,0.775
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,3,40,0.075
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,0,55,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,36,55,0.65455
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,19,55,0.34545
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,3,56,0.05357
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,29,56,0.51786
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,24,56,0.42857
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,2,61,0.03279
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,33,61,0.54098
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,26,61,0.42623
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,50,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,1,50,0.02
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,37,50,0.74
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,12,50,0.24
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,2,58,0.03448
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,37,58,0.63793
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,17,58,0.2931
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,59,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,36,59,0.61017
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,23,59,0.38983
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,52,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,37,52,0.71154
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,15,52,0.28846
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,32,201,0.1592
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,141,201,0.70149
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,28,201,0.1393
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,24,135,0.17778
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,94,135,0.6963
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,17,135,0.12593
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,23,168,0.1369
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,125,168,0.74405
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,20,168,0.11905
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,31,157,0.19745
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,114,157,0.72611
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,12,157,0.07643
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,24,163,0.14724
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,115,163,0.70552
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,24,163,0.14724
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,27,170,0.15882
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,113,170,0.66471
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,30,170,0.17647
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,10,167,0.05988
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,112,167,0.67066
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,45,167,0.26946
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,4,179,0.02235
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,13,179,0.07263
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,121,179,0.67598
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,41,179,0.22905
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,165,0.00606
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,16,165,0.09697
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,117,165,0.70909
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,31,165,0.18788
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,170,0.0
Brasschaat,11008,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,133,170,0.78235
