België,Gewest,Provincie,totaal,Hoogst behaalde opleidingsniveau,Werkende bevolking
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geen diploma of getuigschrift,4655
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Lager onderwijs (ISCED 1),15552
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Lager secundair onderwijs (ISCED 2),64150
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Hoger secundair onderwijs (ISCED 3),144256
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),20617
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",195815
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Doctoraat (ISCED 6),6244
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),26350
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geen diploma of getuigschrift,5404
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Lager onderwijs (ISCED 1),19560
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Lager secundair onderwijs (ISCED 2),92983
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Hoger secundair onderwijs (ISCED 3),172997
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),35691
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",161584
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Doctoraat (ISCED 6),1597
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),15853
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geen diploma of getuigschrift,1318
België,Waals Gewest,Provincie Waals-Brabant,totaal,Lager onderwijs (ISCED 1),5701
België,Waals Gewest,Provincie Waals-Brabant,totaal,Lager secundair onderwijs (ISCED 2),22244
België,Waals Gewest,Provincie Waals-Brabant,totaal,Hoger secundair onderwijs (ISCED 3),41319
België,Waals Gewest,Provincie Waals-Brabant,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),3085
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",70245
België,Waals Gewest,Provincie Waals-Brabant,totaal,Doctoraat (ISCED 6),2380
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),9569
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,Geen diploma of getuigschrift,6246
België,Waals Gewest,Provincie Henegouwen,totaal,Lager onderwijs (ISCED 1),25882
België,Waals Gewest,Provincie Henegouwen,totaal,Lager secundair onderwijs (ISCED 2),97319
België,Waals Gewest,Provincie Henegouwen,totaal,Hoger secundair onderwijs (ISCED 3),158824
België,Waals Gewest,Provincie Henegouwen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),10059
België,Waals Gewest,Provincie Henegouwen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",143756
België,Waals Gewest,Provincie Henegouwen,totaal,Doctoraat (ISCED 6),1840
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),26338
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,Geen diploma of getuigschrift,4610
België,Waals Gewest,Provincie Luik,totaal,Lager onderwijs (ISCED 1),20862
België,Waals Gewest,Provincie Luik,totaal,Lager secundair onderwijs (ISCED 2),79422
België,Waals Gewest,Provincie Luik,totaal,Hoger secundair onderwijs (ISCED 3),128646
België,Waals Gewest,Provincie Luik,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),9147
België,Waals Gewest,Provincie Luik,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",135150
België,Waals Gewest,Provincie Luik,totaal,Doctoraat (ISCED 6),2420
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),23725
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,Geen diploma of getuigschrift,1208
België,Waals Gewest,Provincie Luxemburg,totaal,Lager onderwijs (ISCED 1),4950
België,Waals Gewest,Provincie Luxemburg,totaal,Lager secundair onderwijs (ISCED 2),20387
België,Waals Gewest,Provincie Luxemburg,totaal,Hoger secundair onderwijs (ISCED 3),35767
België,Waals Gewest,Provincie Luxemburg,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),2453
België,Waals Gewest,Provincie Luxemburg,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",36275
België,Waals Gewest,Provincie Luxemburg,totaal,Doctoraat (ISCED 6),376
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),8280
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,Geen diploma of getuigschrift,1908
België,Waals Gewest,Provincie Namen,totaal,Lager onderwijs (ISCED 1),8173
België,Waals Gewest,Provincie Namen,totaal,Lager secundair onderwijs (ISCED 2),35737
België,Waals Gewest,Provincie Namen,totaal,Hoger secundair onderwijs (ISCED 3),64904
België,Waals Gewest,Provincie Namen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),4293
België,Waals Gewest,Provincie Namen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",65103
België,Waals Gewest,Provincie Namen,totaal,Doctoraat (ISCED 6),1473
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),7764
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,Geen diploma of getuigschrift,49586
België,,,totaal,Lager onderwijs (ISCED 1),202279
België,,,totaal,Lager secundair onderwijs (ISCED 2),732879
België,,,totaal,Hoger secundair onderwijs (ISCED 3),1400646
België,,,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),192569
België,,,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",1527872
België,,,totaal,Doctoraat (ISCED 6),31090
België,,,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),296050
België,,,totaal,,4432971
