Alle economische activiteiten,Sectie,Jaar,Maand,Aantal faillissementen
Alle economische activiteiten,J Informatie en communicatie,2022,September 2022,26.0
Alle economische activiteiten,J Informatie en communicatie,2022,Oktober 2022,34.0
Alle economische activiteiten,J Informatie en communicatie,2022,November 2022,33.0
Alle economische activiteiten,J Informatie en communicatie,2022,December 2022,20.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,December 2021,5.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Januari 2022,3.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Februari 2022,6.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Maart 2022,8.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,April 2022,4.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Mei 2022,7.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Juni 2022,12.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Juli 2022,4.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Augustus 2022,3.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,September 2022,7.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Oktober 2022,5.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,November 2022,2.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,December 2022,7.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,December 2021,12.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Januari 2022,6.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Februari 2022,13.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Maart 2022,29.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,April 2022,9.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Mei 2022,13.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Juni 2022,17.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Juli 2022,12.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Augustus 2022,5.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,September 2022,16.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Oktober 2022,20.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,November 2022,12.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,December 2022,20.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,December 2021,49.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Januari 2022,50.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Februari 2022,61.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Maart 2022,68.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,April 2022,49.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Mei 2022,77.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Juni 2022,79.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Juli 2022,56.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Augustus 2022,23.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,September 2022,72.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Oktober 2022,70.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,November 2022,54.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,December 2022,61.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,December 2021,47.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Januari 2022,53.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Februari 2022,44.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Maart 2022,46.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,April 2022,34.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Mei 2022,52.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Juni 2022,75.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Juli 2022,29.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Augustus 2022,17.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,September 2022,44.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Oktober 2022,48.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,November 2022,36.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,December 2022,59.0
Alle economische activiteiten,P Onderwijs,2021,December 2021,2.0
Alle economische activiteiten,P Onderwijs,2022,Januari 2022,7.0
Alle economische activiteiten,P Onderwijs,2022,Februari 2022,3.0
Alle economische activiteiten,P Onderwijs,2022,Maart 2022,2.0
Alle economische activiteiten,P Onderwijs,2022,April 2022,5.0
Alle economische activiteiten,P Onderwijs,2022,Mei 2022,5.0
Alle economische activiteiten,P Onderwijs,2022,Juni 2022,8.0
Alle economische activiteiten,P Onderwijs,2022,Juli 2022,1.0
Alle economische activiteiten,P Onderwijs,2022,Augustus 2022,2.0
Alle economische activiteiten,P Onderwijs,2022,September 2022,4.0
Alle economische activiteiten,P Onderwijs,2022,Oktober 2022,5.0
Alle economische activiteiten,P Onderwijs,2022,November 2022,4.0
Alle economische activiteiten,P Onderwijs,2022,December 2022,1.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,December 2021,11.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Januari 2022,12.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Februari 2022,12.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Maart 2022,13.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,April 2022,10.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Mei 2022,17.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Juni 2022,19.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Juli 2022,14.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Augustus 2022,6.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,September 2022,16.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Oktober 2022,13.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,November 2022,19.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,December 2022,23.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,December 2021,14.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Januari 2022,15.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Februari 2022,14.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Maart 2022,12.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,April 2022,12.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Mei 2022,26.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Juni 2022,30.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Juli 2022,9.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Augustus 2022,5.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,September 2022,18.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Oktober 2022,24.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,November 2022,27.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,December 2022,12.0
Alle economische activiteiten,S Overige diensten,2021,December 2021,19.0
Alle economische activiteiten,S Overige diensten,2022,Januari 2022,32.0
Alle economische activiteiten,S Overige diensten,2022,Februari 2022,23.0
Alle economische activiteiten,S Overige diensten,2022,Maart 2022,34.0
Alle economische activiteiten,S Overige diensten,2022,April 2022,19.0
Alle economische activiteiten,S Overige diensten,2022,Mei 2022,42.0
Alle economische activiteiten,S Overige diensten,2022,Juni 2022,47.0
Alle economische activiteiten,S Overige diensten,2022,Juli 2022,15.0
Alle economische activiteiten,S Overige diensten,2022,Augustus 2022,13.0
Alle economische activiteiten,S Overige diensten,2022,September 2022,43.0
Alle economische activiteiten,S Overige diensten,2022,Oktober 2022,34.0
Alle economische activiteiten,S Overige diensten,2022,November 2022,30.0
Alle economische activiteiten,S Overige diensten,2022,December 2022,27.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,December 2021,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Januari 2022,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Februari 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Maart 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,April 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Mei 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Juni 2022,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Juli 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Augustus 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,September 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Oktober 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,November 2022,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,December 2022,
Alle economische activiteiten,,2021,December 2021,706.0
Alle economische activiteiten,,2022,Januari 2022,647.0
Alle economische activiteiten,,2022,Februari 2022,736.0
Alle economische activiteiten,,2022,Maart 2022,922.0
Alle economische activiteiten,,2022,April 2022,620.0
Alle economische activiteiten,,2022,Mei 2022,943.0
Alle economische activiteiten,,2022,Juni 2022,1082.0
Alle economische activiteiten,,2022,Juli 2022,528.0
Alle economische activiteiten,,2022,Augustus 2022,325.0
Alle economische activiteiten,,2022,September 2022,968.0
Alle economische activiteiten,,2022,Oktober 2022,920.0
Alle economische activiteiten,,2022,November 2022,774.0
Alle economische activiteiten,,2022,December 2022,800.0
