Alle economische activiteiten,Sectie,Jaar,Alle plaatsen,Gewest,Aantal btw-plichtige
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,,1759.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Vlaams Gewest,96740.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,14254.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Waals Gewest,36889.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Buitenland,3495.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Onbekend,2.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,,151380.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Vlaams Gewest,111623.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,17767.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Waals Gewest,50272.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Buitenland,10005.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,,189668.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Vlaams Gewest,17585.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,4638.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Waals Gewest,5221.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Buitenland,2269.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Onbekend,18.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,,29731.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Vlaams Gewest,37761.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,7275.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Waals Gewest,17069.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Buitenland,382.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Onbekend,2.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,,62489.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Vlaams Gewest,35762.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,9611.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Waals Gewest,12455.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Buitenland,343.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,,58172.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Vlaams Gewest,5578.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1213.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Waals Gewest,2210.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Buitenland,166.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,,9167.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Vlaams Gewest,20748.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,4417.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Waals Gewest,7626.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Buitenland,222.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,,33014.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Vlaams Gewest,135148.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,31087.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Waals Gewest,48495.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Buitenland,1004.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Onbekend,4.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,,215738.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Vlaams Gewest,41691.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,6965.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Waals Gewest,17621.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Buitenland,899.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,,67176.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Vlaams Gewest,445.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,138.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Waals Gewest,337.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Buitenland,
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,,920.0
Alle economische activiteiten,P Onderwijs,2021,Alle plaatsen,Vlaams Gewest,15035.0
Alle economische activiteiten,P Onderwijs,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2465.0
Alle economische activiteiten,P Onderwijs,2021,Alle plaatsen,Waals Gewest,6870.0
Alle economische activiteiten,P Onderwijs,2021,Alle plaatsen,Buitenland,122.0
Alle economische activiteiten,P Onderwijs,2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,P Onderwijs,2021,Alle plaatsen,,24492.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,Alle plaatsen,Vlaams Gewest,17280.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2301.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,Alle plaatsen,Waals Gewest,8706.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,Alle plaatsen,Buitenland,104.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2021,Alle plaatsen,,28391.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,Alle plaatsen,Vlaams Gewest,26923.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3899.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,Alle plaatsen,Waals Gewest,10191.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,Alle plaatsen,Buitenland,160.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,Alle plaatsen,Onbekend,2.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2021,Alle plaatsen,,41175.0
Alle economische activiteiten,S Overige diensten,2021,Alle plaatsen,Vlaams Gewest,47243.0
Alle economische activiteiten,S Overige diensten,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,5630.0
Alle economische activiteiten,S Overige diensten,2021,Alle plaatsen,Waals Gewest,20146.0
Alle economische activiteiten,S Overige diensten,2021,Alle plaatsen,Buitenland,343.0
Alle economische activiteiten,S Overige diensten,2021,Alle plaatsen,Onbekend,4.0
Alle economische activiteiten,S Overige diensten,2021,Alle plaatsen,,73366.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,Alle plaatsen,Vlaams Gewest,90.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,21.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,Alle plaatsen,Waals Gewest,17.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,Alle plaatsen,Buitenland,3.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2021,Alle plaatsen,,131.0
Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,2021,Alle plaatsen,Vlaams Gewest,1.0
Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,15.0
Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,2021,Alle plaatsen,Waals Gewest,1.0
Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,2021,Alle plaatsen,Buitenland,7.0
Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,2021,Alle plaatsen,,24.0
Alle economische activiteiten,Onbekende economische activiteit,2021,Alle plaatsen,Vlaams Gewest,164.0
Alle economische activiteiten,Onbekende economische activiteit,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,30.0
Alle economische activiteiten,Onbekende economische activiteit,2021,Alle plaatsen,Waals Gewest,56.0
Alle economische activiteiten,Onbekende economische activiteit,2021,Alle plaatsen,Buitenland,18.0
Alle economische activiteiten,Onbekende economische activiteit,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,Onbekende economische activiteit,2021,Alle plaatsen,,268.0
Alle economische activiteiten,,2021,Alle plaatsen,Vlaams Gewest,679105.0
Alle economische activiteiten,,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,115541.0
Alle economische activiteiten,,2021,Alle plaatsen,Waals Gewest,279435.0
Alle economische activiteiten,,2021,Alle plaatsen,Buitenland,20489.0
Alle economische activiteiten,,2021,Alle plaatsen,Onbekend,37.0
Alle economische activiteiten,,2021,Alle plaatsen,,1094607.0
