België,Gewest,Provincie,totaal,Geboorteplaats niveau 1,Werkende bevolking
België,Waals Gewest,Provincie Luxemburg,totaal,Geboren in het buitenland,12856.0
België,Waals Gewest,Provincie Luxemburg,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",541.0
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,2.0
België,Waals Gewest,Provincie Luxemburg,totaal,,109696.0
België,Waals Gewest,Provincie Namen,totaal,Geboren in België,173732.0
België,Waals Gewest,Provincie Namen,totaal,Geboren in het buitenland,14715.0
België,Waals Gewest,Provincie Namen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",907.0
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,1.0
België,Waals Gewest,Provincie Namen,totaal,,189355.0
België,,,totaal,Geboren in België,3836779.0
België,,,totaal,Geboren in het buitenland,562581.0
België,,,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",33566.0
België,,,totaal,Niet aangegeven,45.0
België,,,totaal,,4432971.0
