België,Gewest,Jaar,Totaal,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Vlaams Gewest,2011,Totaal,Vrouwen,0.613,0.044,0.641
België,Vlaams Gewest,2011,Totaal,,0.662,0.043,0.692
België,Vlaams Gewest,2012,Totaal,Mannen,0.707,0.046,0.741
België,Vlaams Gewest,2012,Totaal,Vrouwen,0.61,0.045,0.639
België,Vlaams Gewest,2012,Totaal,,0.659,0.046,0.69
België,Vlaams Gewest,2013,Totaal,Mannen,0.706,0.051,0.745
België,Vlaams Gewest,2013,Totaal,Vrouwen,0.617,0.05,0.65
België,Vlaams Gewest,2013,Totaal,,0.662,0.051,0.698
België,Vlaams Gewest,2014,Totaal,Mannen,0.703,0.052,0.742
België,Vlaams Gewest,2014,Totaal,Vrouwen,0.623,0.05,0.656
België,Vlaams Gewest,2014,Totaal,,0.664,0.051,0.699
België,Vlaams Gewest,2015,Totaal,Mannen,0.697,0.057,0.74
België,Vlaams Gewest,2015,Totaal,Vrouwen,0.629,0.046,0.66
België,Vlaams Gewest,2015,Totaal,,0.664,0.052,0.7
België,Vlaams Gewest,2016,Totaal,Mannen,0.705,0.05,0.742
België,Vlaams Gewest,2016,Totaal,Vrouwen,0.625,0.047,0.656
België,Vlaams Gewest,2016,Totaal,,0.665,0.049,0.699
België,Waals Gewest,1999,Totaal,Mannen,0.644,0.101,0.717
België,Waals Gewest,1999,Totaal,Vrouwen,0.452,0.16,0.538
België,Waals Gewest,1999,Totaal,,0.548,0.127,0.628
België,Waals Gewest,2000,Totaal,Mannen,0.655,0.085,0.715
België,Waals Gewest,2000,Totaal,Vrouwen,0.464,0.128,0.532
België,Waals Gewest,2000,Totaal,,0.559,0.103,0.624
België,Waals Gewest,2001,Totaal,Mannen,0.649,0.087,0.711
België,Waals Gewest,2001,Totaal,Vrouwen,0.458,0.117,0.519
België,Waals Gewest,2001,Totaal,,0.554,0.099,0.615
België,Waals Gewest,2002,Totaal,Mannen,0.642,0.091,0.706
België,Waals Gewest,2002,Totaal,Vrouwen,0.456,0.127,0.522
België,Waals Gewest,2002,Totaal,,0.549,0.106,0.614
België,Waals Gewest,2003,Totaal,Mannen,0.635,0.101,0.706
België,Waals Gewest,2003,Totaal,Vrouwen,0.474,0.119,0.538
België,Waals Gewest,2003,Totaal,,0.554,0.109,0.622
België,Waals Gewest,2004,Totaal,Mannen,0.632,0.107,0.708
België,Waals Gewest,2004,Totaal,Vrouwen,0.469,0.138,0.544
België,Waals Gewest,2004,Totaal,,0.551,0.121,0.626
België,Waals Gewest,2005,Totaal,Mannen,0.637,0.105,0.712
België,Waals Gewest,2005,Totaal,Vrouwen,0.484,0.138,0.561
België,Waals Gewest,2005,Totaal,,0.561,0.119,0.637
België,Waals Gewest,2006,Totaal,Mannen,0.636,0.104,0.709
België,Waals Gewest,2006,Totaal,Vrouwen,0.486,0.135,0.562
België,Waals Gewest,2006,Totaal,,0.561,0.118,0.636
België,Waals Gewest,2007,Totaal,Mannen,0.643,0.09,0.707
België,Waals Gewest,2007,Totaal,Vrouwen,0.496,0.125,0.567
België,Waals Gewest,2007,Totaal,,0.57,0.105,0.637
België,Waals Gewest,2008,Totaal,Mannen,0.64,0.089,0.703
België,Waals Gewest,2008,Totaal,Vrouwen,0.504,0.115,0.57
België,Waals Gewest,2008,Totaal,,0.572,0.101,0.636
België,Waals Gewest,2009,Totaal,Mannen,0.623,0.107,0.697
België,Waals Gewest,2009,Totaal,Vrouwen,0.502,0.119,0.57
België,Waals Gewest,2009,Totaal,,0.562,0.112,0.633
België,Waals Gewest,2010,Totaal,Mannen,0.629,0.109,0.706
België,Waals Gewest,2010,Totaal,Vrouwen,0.506,0.122,0.576
België,Waals Gewest,2010,Totaal,,0.567,0.115,0.641
België,Waals Gewest,2011,Totaal,Mannen,0.628,0.09,0.69
België,Waals Gewest,2011,Totaal,Vrouwen,0.512,0.101,0.569
België,Waals Gewest,2011,Totaal,,0.57,0.095,0.63
België,Waals Gewest,2012,Totaal,Mannen,0.625,0.102,0.696
België,Waals Gewest,2012,Totaal,Vrouwen,0.52,0.1,0.578
België,Waals Gewest,2012,Totaal,,0.573,0.101,0.637
België,Waals Gewest,2013,Totaal,Mannen,0.619,0.114,0.699
België,Waals Gewest,2013,Totaal,Vrouwen,0.522,0.114,0.589
België,Waals Gewest,2013,Totaal,,0.57,0.114,0.644
België,Waals Gewest,2014,Totaal,Mannen,0.601,0.128,0.689
België,Waals Gewest,2014,Totaal,Vrouwen,0.529,0.11,0.595
België,Waals Gewest,2014,Totaal,,0.565,0.12,0.642
België,Waals Gewest,2015,Totaal,Mannen,0.601,0.125,0.686
België,Waals Gewest,2015,Totaal,Vrouwen,0.524,0.114,0.591
België,Waals Gewest,2015,Totaal,,0.562,0.12,0.639
België,Waals Gewest,2016,Totaal,Mannen,0.613,0.108,0.688
België,Waals Gewest,2016,Totaal,Vrouwen,0.529,0.103,0.59
België,Waals Gewest,2016,Totaal,,0.571,0.106,0.639
België,,1999,Totaal,Mannen,0.681,0.072,0.734
België,,1999,Totaal,Vrouwen,0.504,0.104,0.562
België,,1999,Totaal,,0.593,0.086,0.649
België,,2000,Totaal,Mannen,0.695,0.058,0.737
België,,2000,Totaal,Vrouwen,0.515,0.087,0.564
België,,2000,Totaal,,0.605,0.07,0.651
België,,2001,Totaal,Mannen,0.688,0.06,0.732
België,,2001,Totaal,Vrouwen,0.51,0.075,0.551
België,,2001,Totaal,,0.599,0.066,0.642
België,,2002,Totaal,Mannen,0.683,0.067,0.732
België,,2002,Totaal,Vrouwen,0.514,0.087,0.563
België,,2002,Totaal,,0.599,0.076,0.648
België,,2003,Totaal,Mannen,0.673,0.077,0.729
België,,2003,Totaal,Vrouwen,0.518,0.089,0.569
België,,2003,Totaal,,0.596,0.082,0.649
België,,2004,Totaal,Mannen,0.679,0.076,0.734
België,,2004,Totaal,Vrouwen,0.526,0.096,0.582
België,,2004,Totaal,,0.603,0.085,0.659
België,,2005,Totaal,Mannen,0.683,0.077,0.739
België,,2005,Totaal,Vrouwen,0.538,0.096,0.595
België,,2005,Totaal,,0.611,0.085,0.667
België,,2006,Totaal,Mannen,0.679,0.075,0.734
België,,2006,Totaal,Vrouwen,0.54,0.094,0.595
België,,2006,Totaal,,0.61,0.083,0.665
België,,2007,Totaal,Mannen,0.687,0.067,0.736
België,,2007,Totaal,Vrouwen,0.553,0.085,0.604
België,,2007,Totaal,,0.62,0.075,0.671
België,,2008,Totaal,Mannen,0.686,0.065,0.733
België,,2008,Totaal,Vrouwen,0.562,0.076,0.608
België,,2008,Totaal,,0.624,0.07,0.671
België,,2009,Totaal,Mannen,0.672,0.078,0.728
België,,2009,Totaal,Vrouwen,0.56,0.081,0.609
België,,2009,Totaal,,0.616,0.08,0.669
België,,2010,Totaal,Mannen,0.674,0.082,0.734
België,,2010,Totaal,Vrouwen,0.565,0.086,0.618
België,,2010,Totaal,,0.62,0.084,0.677
België,,2011,Totaal,Mannen,0.671,0.072,0.723
België,,2011,Totaal,Vrouwen,0.567,0.072,0.611
België,,2011,Totaal,,0.619,0.072,0.667
België,,2012,Totaal,Mannen,0.669,0.077,0.725
België,,2012,Totaal,Vrouwen,0.568,0.074,0.613
België,,2012,Totaal,,0.618,0.076,0.669
België,,2013,Totaal,Mannen,0.664,0.087,0.727
België,,2013,Totaal,Vrouwen,0.572,0.082,0.623
België,,2013,Totaal,,0.618,0.085,0.675
België,,2014,Totaal,Mannen,0.658,0.091,0.724
België,,2014,Totaal,Vrouwen,0.579,0.08,0.63
België,,2014,Totaal,,0.619,0.086,0.677
België,,2015,Totaal,Mannen,0.655,0.092,0.722
België,,2015,Totaal,Vrouwen,0.58,0.078,0.63
België,,2015,Totaal,,0.618,0.086,0.676
België,,2016,Totaal,Mannen,0.665,0.081,0.723
België,,2016,Totaal,Vrouwen,0.581,0.076,0.629
België,,2016,Totaal,,0.623,0.079,0.676
