België,Gewest,Totaal,Onderwijsniveau (ISCED 2011),Jaar,Totaal.1,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Vlaams Gewest,Totaal,Midden,2018,Totaal,,0.711,0.033,0.736
België,Vlaams Gewest,Totaal,Midden,2019,Totaal,Mannen,0.767,0.033,0.794
België,Vlaams Gewest,Totaal,Midden,2019,Totaal,Vrouwen,0.662,0.034,0.686
België,Vlaams Gewest,Totaal,Midden,2019,Totaal,,0.718,0.034,0.743
België,Vlaams Gewest,Totaal,Midden,2020,Totaal,Mannen,0.757,0.033,0.783
België,Vlaams Gewest,Totaal,Midden,2020,Totaal,Vrouwen,0.643,0.042,0.671
België,Vlaams Gewest,Totaal,Midden,2020,Totaal,,0.705,0.036,0.731
België,Vlaams Gewest,Totaal,Midden,2021,Totaal,Mannen,0.736,0.045,0.771
België,Vlaams Gewest,Totaal,Midden,2021,Totaal,Vrouwen,0.643,0.045,0.673
België,Vlaams Gewest,Totaal,Midden,2021,Totaal,,0.694,0.045,0.727
België,Vlaams Gewest,Totaal,Hoog,2017,Totaal,Mannen,0.866,0.025,0.889
België,Vlaams Gewest,Totaal,Hoog,2017,Totaal,Vrouwen,0.818,0.04,0.852
België,Vlaams Gewest,Totaal,Hoog,2017,Totaal,,0.84,0.033,0.869
België,Vlaams Gewest,Totaal,Hoog,2018,Totaal,Mannen,0.882,0.028,0.908
België,Vlaams Gewest,Totaal,Hoog,2018,Totaal,Vrouwen,0.839,0.022,0.858
België,Vlaams Gewest,Totaal,Hoog,2018,Totaal,,0.858,0.025,0.88
België,Vlaams Gewest,Totaal,Hoog,2019,Totaal,Mannen,0.884,0.023,0.905
België,Vlaams Gewest,Totaal,Hoog,2019,Totaal,Vrouwen,0.841,0.021,0.858
België,Vlaams Gewest,Totaal,Hoog,2019,Totaal,,0.86,0.021,0.879
België,Vlaams Gewest,Totaal,Hoog,2020,Totaal,Mannen,0.873,0.028,0.898
België,Vlaams Gewest,Totaal,Hoog,2020,Totaal,Vrouwen,0.84,0.025,0.862
België,Vlaams Gewest,Totaal,Hoog,2020,Totaal,,0.855,0.026,0.878
België,Vlaams Gewest,Totaal,Hoog,2021,Totaal,Mannen,0.881,0.029,0.908
België,Vlaams Gewest,Totaal,Hoog,2021,Totaal,Vrouwen,0.845,0.019,0.862
België,Vlaams Gewest,Totaal,Hoog,2021,Totaal,,0.862,0.024,0.882
België,Waals Gewest,Totaal,Laag,2017,Totaal,Mannen,0.364,0.202,0.457
België,Waals Gewest,Totaal,Laag,2017,Totaal,Vrouwen,0.251,0.18,0.306
België,Waals Gewest,Totaal,Laag,2017,Totaal,,0.31,0.194,0.384
België,Waals Gewest,Totaal,Laag,2018,Totaal,Mannen,0.354,0.18,0.432
België,Waals Gewest,Totaal,Laag,2018,Totaal,Vrouwen,0.243,0.187,0.299
België,Waals Gewest,Totaal,Laag,2018,Totaal,,0.301,0.183,0.368
België,Waals Gewest,Totaal,Laag,2019,Totaal,Mannen,0.337,0.178,0.41
België,Waals Gewest,Totaal,Laag,2019,Totaal,Vrouwen,0.252,0.138,0.292
België,Waals Gewest,Totaal,Laag,2019,Totaal,,0.297,0.162,0.355
België,Waals Gewest,Totaal,Laag,2020,Totaal,Mannen,0.343,0.165,0.41
België,Waals Gewest,Totaal,Laag,2020,Totaal,Vrouwen,0.227,0.162,0.271
België,Waals Gewest,Totaal,Laag,2020,Totaal,,0.29,0.164,0.347
België,Waals Gewest,Totaal,Laag,2021,Totaal,Mannen,0.355,0.183,0.434
België,Waals Gewest,Totaal,Laag,2021,Totaal,Vrouwen,0.228,0.195,0.283
België,Waals Gewest,Totaal,Laag,2021,Totaal,,0.297,0.187,0.365
België,Waals Gewest,Totaal,Midden,2017,Totaal,Mannen,0.671,0.102,0.747
België,Waals Gewest,Totaal,Midden,2017,Totaal,Vrouwen,0.524,0.116,0.594
België,Waals Gewest,Totaal,Midden,2017,Totaal,,0.603,0.108,0.676
België,Waals Gewest,Totaal,Midden,2018,Totaal,Mannen,0.688,0.089,0.755
België,Waals Gewest,Totaal,Midden,2018,Totaal,Vrouwen,0.538,0.095,0.594
België,Waals Gewest,Totaal,Midden,2018,Totaal,,0.619,0.091,0.681
België,Waals Gewest,Totaal,Midden,2019,Totaal,Mannen,0.698,0.076,0.755
België,Waals Gewest,Totaal,Midden,2019,Totaal,Vrouwen,0.549,0.077,0.595
België,Waals Gewest,Totaal,Midden,2019,Totaal,,0.628,0.076,0.68
België,Waals Gewest,Totaal,Midden,2020,Totaal,Mannen,0.677,0.083,0.739
België,Waals Gewest,Totaal,Midden,2020,Totaal,Vrouwen,0.523,0.083,0.57
België,Waals Gewest,Totaal,Midden,2020,Totaal,,0.606,0.083,0.66
België,Waals Gewest,Totaal,Midden,2021,Totaal,Mannen,0.661,0.098,0.733
België,Waals Gewest,Totaal,Midden,2021,Totaal,Vrouwen,0.501,0.109,0.562
België,Waals Gewest,Totaal,Midden,2021,Totaal,,0.587,0.102,0.654
België,Waals Gewest,Totaal,Hoog,2017,Totaal,Mannen,0.831,0.051,0.876
België,Waals Gewest,Totaal,Hoog,2017,Totaal,Vrouwen,0.783,0.044,0.819
België,Waals Gewest,Totaal,Hoog,2017,Totaal,,0.804,0.047,0.843
België,Waals Gewest,Totaal,Hoog,2018,Totaal,Mannen,0.826,0.042,0.862
België,Waals Gewest,Totaal,Hoog,2018,Totaal,Vrouwen,0.791,0.04,0.824
België,Waals Gewest,Totaal,Hoog,2018,Totaal,,0.807,0.041,0.841
België,Waals Gewest,Totaal,Hoog,2019,Totaal,Mannen,0.836,0.04,0.871
België,Waals Gewest,Totaal,Hoog,2019,Totaal,Vrouwen,0.802,0.029,0.826
België,Waals Gewest,Totaal,Hoog,2019,Totaal,,0.817,0.034,0.846
België,Waals Gewest,Totaal,Hoog,2020,Totaal,Mannen,0.853,0.04,0.889
België,Waals Gewest,Totaal,Hoog,2020,Totaal,Vrouwen,0.795,0.034,0.823
België,Waals Gewest,Totaal,Hoog,2020,Totaal,,0.82,0.037,0.851
België,Waals Gewest,Totaal,Hoog,2021,Totaal,Mannen,0.848,0.047,0.89
België,Waals Gewest,Totaal,Hoog,2021,Totaal,Vrouwen,0.799,0.05,0.841
België,Waals Gewest,Totaal,Hoog,2021,Totaal,,0.82,0.049,0.862
België,,Totaal,,2017,Totaal,Mannen,0.675,0.072,0.728
België,,Totaal,,2017,Totaal,Vrouwen,0.587,0.071,0.632
België,,Totaal,,2017,Totaal,,0.631,0.071,0.68
België,,Totaal,,2018,Totaal,Mannen,0.682,0.063,0.728
België,,Totaal,,2018,Totaal,Vrouwen,0.607,0.056,0.643
België,,Totaal,,2018,Totaal,,0.645,0.06,0.686
België,,Totaal,,2019,Totaal,Mannen,0.689,0.058,0.731
België,,Totaal,,2019,Totaal,Vrouwen,0.617,0.05,0.649
België,,Totaal,,2019,Totaal,,0.653,0.054,0.69
België,,Totaal,,2020,Totaal,Mannen,0.684,0.058,0.726
België,,Totaal,,2020,Totaal,Vrouwen,0.61,0.054,0.645
België,,Totaal,,2020,Totaal,,0.647,0.056,0.686
België,,Totaal,,2021,Totaal,Mannen,0.687,0.067,0.737
België,,Totaal,,2021,Totaal,Vrouwen,0.618,0.059,0.657
België,,Totaal,,2021,Totaal,,0.653,0.063,0.697
