België,Gewest,Provincie,Arrondissement,Gemeente,Werkgelegenheidsgraad 20-64-jarigen
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,0.765
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.765
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,0.765
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,0.765
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,0.765
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,0.765
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.765
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,0.764
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.764
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,0.764
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,0.764
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.763
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,0.763
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.763
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.763
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.763
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.762
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,0.762
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,0.762
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.76
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,0.76
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.76
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,0.76
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.76
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,0.76
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,0.76
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,0.759
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,0.759
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,0.759
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zomergem,0.758
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.758
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.758
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,0.758
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.758
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.757
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.757
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.757
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,0.756
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,0.756
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,0.756
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,0.756
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,0.756
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,0.755
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.755
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,0.755
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,0.754
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,0.754
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.754
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,0.754
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,0.753
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),0.753
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,De Pinte,0.753
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,0.753
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.753
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,0.753
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.752
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,0.752
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,0.751
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wijnegem,0.751
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,0.751
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,0.75
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.75
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.75
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.75
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.749
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,0.749
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,0.748
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.748
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,0.747
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,0.747
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.747
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.747
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.747
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,0.746
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,0.745
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,0.745
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.745
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,0.744
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.744
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,0.744
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.744
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,0.743
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.743
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.743
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.743
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,0.742
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.742
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),0.742
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,0.742
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,0.742
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.742
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,0.741
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.741
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,0.741
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,0.741
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.741
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.74
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.74
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,0.74
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.74
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.74
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.739
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.739
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.739
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,0.739
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,0.739
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.739
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.738
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,0.738
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,0.738
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,0.738
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.738
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,0.738
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,0.737
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.737
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.737
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.737
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,0.737
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.736
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.736
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,0.735
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.735
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.735
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,0.734
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.734
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.734
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.734
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schelle,0.733
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Perwijs (Nijvel),0.733
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.733
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,0.733
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),0.733
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.733
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.733
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,0.733
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.732
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,0.732
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,0.732
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,0.732
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.732
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.732
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.731
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.731
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,0.731
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.731
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,0.73
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.73
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.73
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.73
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,0.73
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,0.73
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.73
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.73
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.73
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.73
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,0.729
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.729
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hemiksem,0.729
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.728
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,0.728
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,0.728
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,0.728
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.728
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Borsbeek,0.727
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,0.727
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,0.727
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.727
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.726
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,0.726
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,0.726
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.726
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.726
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,0.725
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,0.725
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,0.725
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,0.725
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,0.724
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.724
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,0.724
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,0.724
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.723
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,0.723
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.723
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.723
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,0.723
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.723
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.723
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.722
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.722
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.722
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,0.722
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.721
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.721
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.72
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,0.72
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,0.72
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.72
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.719
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),0.719
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.719
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.719
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.719
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.719
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.718
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,0.718
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.718
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,0.718
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.718
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,0.718
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.718
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.717
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.717
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),0.717
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.717
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,0.717
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.717
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,0.717
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,0.717
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.717
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,0.717
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.716
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.716
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.715
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,0.715
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.715
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,0.715
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,0.715
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.714
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.714
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.714
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,0.714
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.714
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.713
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,0.713
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,0.713
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,0.712
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,0.712
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.712
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,0.712
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.712
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,0.712
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.711
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.711
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.711
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.711
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.71
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.71
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.709
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.709
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.709
