Geaggregeerd niveau 1,Grootteklasse personeel,Jaar,Aant. actieve ondernemingen in t,Aant. werknemers in de actieve ondernemingen in t,Aant. werkzame personen in de actieve ondernemingen in t
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2016,28475.0,181812.0,185458.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2017,28623.0,183018.0,186691.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2018,26760.0,170512.0,174088.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2019,28557.0,182841.0,217897.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2020,27806.0,177855.0,206950.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2008,30657.0,1875199.0,1877639.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2009,30781.0,1844759.0,1847199.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2010,30869.0,1856077.0,1858529.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2011,31363.0,1884769.0,1887249.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2012,31107.0,1863977.0,1866368.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2013,30585.0,1842838.0,1845125.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2014,30529.0,1849762.0,1852033.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2015,30643.0,1870195.0,1872498.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2016,30906.0,1896407.0,1898706.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2017,31260.0,1934330.0,1936585.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2018,27448.0,2059849.0,2062105.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2019,30037.0,2029156.0,2073460.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",10 of meer werknemers,2020,28974.0,1988390.0,2018995.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2008,43466.0,0.0,45043.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2009,51983.0,0.0,53719.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2010,54626.0,0.0,56493.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2011,57238.0,0.0,59227.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2012,59016.0,0.0,61164.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2013,59512.0,0.0,61764.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2014,62650.0,0.0,65005.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2015,63181.0,0.0,65594.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2016,64358.0,0.0,66337.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2017,61755.0,0.0,63549.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2018,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2019,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",0 werknemer,2020,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2008,16716.0,25948.0,35631.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2009,17196.0,26238.0,36527.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2010,17661.0,27040.0,37600.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2011,17789.0,27263.0,37724.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2012,17723.0,27159.0,37401.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2013,17792.0,27304.0,37476.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2014,17937.0,27481.0,37825.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2015,17856.0,27783.0,37882.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2016,18591.0,28388.0,39165.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2017,19062.0,29066.0,40077.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2018,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2019,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",1-4 werknemers,2020,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2008,2477.0,15755.0,16330.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2009,2432.0,15365.0,15951.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2010,2425.0,15349.0,15919.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2011,2531.0,16100.0,16722.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2012,2488.0,15769.0,16369.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2013,2422.0,15367.0,15991.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2014,2430.0,15489.0,16115.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2015,2487.0,15865.0,16487.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2016,2478.0,15820.0,16431.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2017,2477.0,15627.0,16264.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2018,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2019,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",5-9 werknemers,2020,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2008,4215.0,394350.0,394778.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2009,3753.0,367035.0,367475.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2010,3782.0,380207.0,380681.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2011,3745.0,393577.0,394045.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2012,3746.0,401309.0,401745.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2013,3765.0,406791.0,407226.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2014,3735.0,415918.0,416357.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2015,3778.0,434417.0,434868.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2016,3798.0,441094.0,441547.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2017,3531.0,434713.0,435155.0
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2018,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2019,,,
"P-S: Onderwijs/ menselijke gezondheidszorg en maatschappelijke dienstverlening/ kunst, amusement en recreatie/ overige diensten",10 of meer werknemers,2020,,,
