België,Gewest,Provincie,totaal,Aantal kamers per bewoner,Bewoonde conventionele woningen
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Minder dan 0,5 kamer per bewoner",372
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",6314
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",23019
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",27468
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",59649
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",67012
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",46442
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"3,0 kamers of meer per bewoner",193547
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,15528
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,439351
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Minder dan 0,5 kamer per bewoner",306
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",5718
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",22616
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",29230
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",65593
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",75508
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",57087
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"3,0 kamers of meer per bewoner",227123
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,14024
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,497205
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Minder dan 0,5 kamer per bewoner",185
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",2487
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",9183
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",9636
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",20909
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",22664
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",14231
België,Waals Gewest,Provincie Waals-Brabant,totaal,"3,0 kamers of meer per bewoner",61934
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,9329
België,Waals Gewest,Provincie Waals-Brabant,totaal,,150558
België,Waals Gewest,Provincie Henegouwen,totaal,"Minder dan 0,5 kamer per bewoner",708
België,Waals Gewest,Provincie Henegouwen,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",10122
België,Waals Gewest,Provincie Henegouwen,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",33206
België,Waals Gewest,Provincie Henegouwen,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",33553
België,Waals Gewest,Provincie Henegouwen,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",67492
België,Waals Gewest,Provincie Henegouwen,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",81035
België,Waals Gewest,Provincie Henegouwen,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",56643
België,Waals Gewest,Provincie Henegouwen,totaal,"3,0 kamers of meer per bewoner",243808
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,32099
België,Waals Gewest,Provincie Henegouwen,totaal,,558666
België,Waals Gewest,Provincie Luik,totaal,"Minder dan 0,5 kamer per bewoner",581
België,Waals Gewest,Provincie Luik,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",8115
België,Waals Gewest,Provincie Luik,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",23792
België,Waals Gewest,Provincie Luik,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",26669
België,Waals Gewest,Provincie Luik,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",53597
België,Waals Gewest,Provincie Luik,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",66914
België,Waals Gewest,Provincie Luik,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",43619
België,Waals Gewest,Provincie Luik,totaal,"3,0 kamers of meer per bewoner",200805
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,26683
België,Waals Gewest,Provincie Luik,totaal,,450775
België,Waals Gewest,Provincie Luxemburg,totaal,"Minder dan 0,5 kamer per bewoner",105
België,Waals Gewest,Provincie Luxemburg,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",1482
België,Waals Gewest,Provincie Luxemburg,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",5324
België,Waals Gewest,Provincie Luxemburg,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",5659
België,Waals Gewest,Provincie Luxemburg,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",13952
België,Waals Gewest,Provincie Luxemburg,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",15558
België,Waals Gewest,Provincie Luxemburg,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",8484
België,Waals Gewest,Provincie Luxemburg,totaal,"3,0 kamers of meer per bewoner",49565
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,8635
België,Waals Gewest,Provincie Luxemburg,totaal,,108764
België,Waals Gewest,Provincie Namen,totaal,"Minder dan 0,5 kamer per bewoner",241
België,Waals Gewest,Provincie Namen,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",3213
België,Waals Gewest,Provincie Namen,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",10432
België,Waals Gewest,Provincie Namen,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",10606
België,Waals Gewest,Provincie Namen,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",24053
België,Waals Gewest,Provincie Namen,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",28828
België,Waals Gewest,Provincie Namen,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",17242
België,Waals Gewest,Provincie Namen,totaal,"3,0 kamers of meer per bewoner",84889
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,14615
België,Waals Gewest,Provincie Namen,totaal,,194119
België,,,totaal,"Minder dan 0,5 kamer per bewoner",7595
België,,,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",89699
België,,,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",248571
België,,,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",276518
België,,,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",569983
België,,,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",680536
België,,,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",456038
België,,,totaal,"3,0 kamers of meer per bewoner",2002500
België,,,totaal,Niet aangegeven,232211
België,,,totaal,,4563651
