België,Gewest,Provincie,totaal,Burgerlijke staat niveau 1,Bevolking
België,Waals Gewest,Provincie Luxemburg,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,118514
België,Waals Gewest,Provincie Luxemburg,totaal,Gehuwd,107072
België,Waals Gewest,Provincie Luxemburg,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),17224
België,Waals Gewest,Provincie Luxemburg,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),18513
België,Waals Gewest,Provincie Luxemburg,totaal,In een geregistreerd partnerschap,8626
België,Waals Gewest,Provincie Luxemburg,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),55
België,Waals Gewest,Provincie Luxemburg,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),832
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,2369
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,209750
België,Waals Gewest,Provincie Namen,totaal,Gehuwd,174511
België,Waals Gewest,Provincie Namen,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),32560
België,Waals Gewest,Provincie Namen,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),41189
België,Waals Gewest,Provincie Namen,totaal,In een geregistreerd partnerschap,15642
België,Waals Gewest,Provincie Namen,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),120
België,Waals Gewest,Provincie Namen,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),1664
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,3950
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,4604154
België,,,totaal,Gehuwd,4425722
België,,,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),700890
België,,,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),857932
België,,,totaal,In een geregistreerd partnerschap,268438
België,,,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),2069
België,,,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),30084
België,,,totaal,Niet aangegeven,111349
België,,,totaal,,11000638
