België,Gewest,Provincie,totaal,Bedrijfstak niveau 1,Werkende bevolking
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",67155
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",151574
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Overige diensten,17881
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,1984
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"A: Landbouw, bosbouw en visserij",12881
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Industrie en winning van delfstoffen,86063
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,F: Bouwnijverheid,40641
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",117693
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,J: Informatie en communicatie,8499
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,K: Financiële activiteiten en verzekeringen,12298
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,L: Exploitatie van en handel in onroerend goed,3791
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",51656
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",152515
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Overige diensten,17044
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,2588
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,"A: Landbouw, bosbouw en visserij",1519
België,Waals Gewest,Provincie Waals-Brabant,totaal,Industrie en winning van delfstoffen,14010
België,Waals Gewest,Provincie Waals-Brabant,totaal,F: Bouwnijverheid,7964
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",35053
België,Waals Gewest,Provincie Waals-Brabant,totaal,J: Informatie en communicatie,6241
België,Waals Gewest,Provincie Waals-Brabant,totaal,K: Financiële activiteiten en verzekeringen,8978
België,Waals Gewest,Provincie Waals-Brabant,totaal,L: Exploitatie van en handel in onroerend goed,1604
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",22334
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",50273
België,Waals Gewest,Provincie Waals-Brabant,totaal,Overige diensten,6928
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,957
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,"A: Landbouw, bosbouw en visserij",5772
België,Waals Gewest,Provincie Henegouwen,totaal,Industrie en winning van delfstoffen,59966
België,Waals Gewest,Provincie Henegouwen,totaal,F: Bouwnijverheid,34926
België,Waals Gewest,Provincie Henegouwen,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",104134
België,Waals Gewest,Provincie Henegouwen,totaal,J: Informatie en communicatie,8126
België,Waals Gewest,Provincie Henegouwen,totaal,K: Financiële activiteiten en verzekeringen,12208
België,Waals Gewest,Provincie Henegouwen,totaal,L: Exploitatie van en handel in onroerend goed,2792
België,Waals Gewest,Provincie Henegouwen,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",44962
België,Waals Gewest,Provincie Henegouwen,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",174312
België,Waals Gewest,Provincie Henegouwen,totaal,Overige diensten,16302
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,6764
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,"A: Landbouw, bosbouw en visserij",4767
België,Waals Gewest,Provincie Luik,totaal,Industrie en winning van delfstoffen,51807
België,Waals Gewest,Provincie Luik,totaal,F: Bouwnijverheid,29426
België,Waals Gewest,Provincie Luik,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",87962
België,Waals Gewest,Provincie Luik,totaal,J: Informatie en communicatie,6909
België,Waals Gewest,Provincie Luik,totaal,K: Financiële activiteiten en verzekeringen,9407
België,Waals Gewest,Provincie Luik,totaal,L: Exploitatie van en handel in onroerend goed,2303
België,Waals Gewest,Provincie Luik,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",40507
België,Waals Gewest,Provincie Luik,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",141173
België,Waals Gewest,Provincie Luik,totaal,Overige diensten,16306
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,13415
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,"A: Landbouw, bosbouw en visserij",3550
België,Waals Gewest,Provincie Luxemburg,totaal,Industrie en winning van delfstoffen,7150
België,Waals Gewest,Provincie Luxemburg,totaal,F: Bouwnijverheid,7064
België,Waals Gewest,Provincie Luxemburg,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",18943
België,Waals Gewest,Provincie Luxemburg,totaal,J: Informatie en communicatie,963
België,Waals Gewest,Provincie Luxemburg,totaal,K: Financiële activiteiten en verzekeringen,1384
België,Waals Gewest,Provincie Luxemburg,totaal,L: Exploitatie van en handel in onroerend goed,368
België,Waals Gewest,Provincie Luxemburg,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",6863
België,Waals Gewest,Provincie Luxemburg,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",34090
België,Waals Gewest,Provincie Luxemburg,totaal,Overige diensten,3541
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,25780
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,"A: Landbouw, bosbouw en visserij",3344
België,Waals Gewest,Provincie Namen,totaal,Industrie en winning van delfstoffen,19309
België,Waals Gewest,Provincie Namen,totaal,F: Bouwnijverheid,12979
België,Waals Gewest,Provincie Namen,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",40416
België,Waals Gewest,Provincie Namen,totaal,J: Informatie en communicatie,4306
België,Waals Gewest,Provincie Namen,totaal,K: Financiële activiteiten en verzekeringen,5564
België,Waals Gewest,Provincie Namen,totaal,L: Exploitatie van en handel in onroerend goed,1050
België,Waals Gewest,Provincie Namen,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",18212
België,Waals Gewest,Provincie Namen,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",75062
België,Waals Gewest,Provincie Namen,totaal,Overige diensten,7976
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,1137
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,"A: Landbouw, bosbouw en visserij",59361
België,,,totaal,Industrie en winning van delfstoffen,567462
België,,,totaal,F: Bouwnijverheid,300103
België,,,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",1020887
België,,,totaal,J: Informatie en communicatie,114370
België,,,totaal,K: Financiële activiteiten en verzekeringen,144830
België,,,totaal,L: Exploitatie van en handel in onroerend goed,29956
België,,,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",538249
België,,,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",1398405
België,,,totaal,Overige diensten,169503
België,,,totaal,Niet aangegeven,89845
België,,,totaal,,4432971
