België,Gewest,Provincie,totaal,Grootte van de agglomeratie niveau 1,Werkende bevolking
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,100 000 - 199 999 inwoners,
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,50 000 - 99 999 inwoners,19152.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,20 000 - 49 999 inwoners,44400.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,10 000 - 19 999 inwoners,17512.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,5 000 - 9 999 inwoners,27429.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,2 000 - 4 999 inwoners,25124.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,1 000 - 1 999 inwoners,10177.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,500 - 999 inwoners,11344.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,200 - 499 inwoners,6376.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,minder dan 200 inwoners,21628.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,1 000 000 of meer inwoners,88382.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,500 000 - 999 999 inwoners,
België,Waals Gewest,Provincie Waals-Brabant,totaal,200 000 - 499 999 inwoners,
België,Waals Gewest,Provincie Waals-Brabant,totaal,100 000 - 199 999 inwoners,
België,Waals Gewest,Provincie Waals-Brabant,totaal,50 000 - 99 999 inwoners,
België,Waals Gewest,Provincie Waals-Brabant,totaal,20 000 - 49 999 inwoners,10182.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,10 000 - 19 999 inwoners,5955.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,5 000 - 9 999 inwoners,8523.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,2 000 - 4 999 inwoners,18594.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,1 000 - 1 999 inwoners,12062.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,500 - 999 inwoners,6251.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,200 - 499 inwoners,2686.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,minder dan 200 inwoners,3226.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861.0
België,Waals Gewest,Provincie Henegouwen,totaal,1 000 000 of meer inwoners,33848.0
België,Waals Gewest,Provincie Henegouwen,totaal,500 000 - 999 999 inwoners,
België,Waals Gewest,Provincie Henegouwen,totaal,200 000 - 499 999 inwoners,173613.0
België,Waals Gewest,Provincie Henegouwen,totaal,100 000 - 199 999 inwoners,65924.0
België,Waals Gewest,Provincie Henegouwen,totaal,50 000 - 99 999 inwoners,
België,Waals Gewest,Provincie Henegouwen,totaal,20 000 - 49 999 inwoners,21772.0
België,Waals Gewest,Provincie Henegouwen,totaal,10 000 - 19 999 inwoners,35559.0
België,Waals Gewest,Provincie Henegouwen,totaal,5 000 - 9 999 inwoners,35405.0
België,Waals Gewest,Provincie Henegouwen,totaal,2 000 - 4 999 inwoners,23986.0
België,Waals Gewest,Provincie Henegouwen,totaal,1 000 - 1 999 inwoners,30591.0
België,Waals Gewest,Provincie Henegouwen,totaal,500 - 999 inwoners,18228.0
België,Waals Gewest,Provincie Henegouwen,totaal,200 - 499 inwoners,13077.0
België,Waals Gewest,Provincie Henegouwen,totaal,minder dan 200 inwoners,18261.0
België,Waals Gewest,Provincie Henegouwen,totaal,,470264.0
België,Waals Gewest,Provincie Luik,totaal,1 000 000 of meer inwoners,
België,Waals Gewest,Provincie Luik,totaal,500 000 - 999 999 inwoners,222748.0
België,Waals Gewest,Provincie Luik,totaal,200 000 - 499 999 inwoners,
België,Waals Gewest,Provincie Luik,totaal,100 000 - 199 999 inwoners,
België,Waals Gewest,Provincie Luik,totaal,50 000 - 99 999 inwoners,19347.0
België,Waals Gewest,Provincie Luik,totaal,20 000 - 49 999 inwoners,3841.0
België,Waals Gewest,Provincie Luik,totaal,10 000 - 19 999 inwoners,31800.0
België,Waals Gewest,Provincie Luik,totaal,5 000 - 9 999 inwoners,18608.0
België,Waals Gewest,Provincie Luik,totaal,2 000 - 4 999 inwoners,33502.0
België,Waals Gewest,Provincie Luik,totaal,1 000 - 1 999 inwoners,26022.0
België,Waals Gewest,Provincie Luik,totaal,500 - 999 inwoners,19985.0
België,Waals Gewest,Provincie Luik,totaal,200 - 499 inwoners,13937.0
België,Waals Gewest,Provincie Luik,totaal,minder dan 200 inwoners,14192.0
België,Waals Gewest,Provincie Luik,totaal,,403982.0
België,Waals Gewest,Provincie Luxemburg,totaal,1 000 000 of meer inwoners,
België,Waals Gewest,Provincie Luxemburg,totaal,500 000 - 999 999 inwoners,
België,Waals Gewest,Provincie Luxemburg,totaal,200 000 - 499 999 inwoners,
België,Waals Gewest,Provincie Luxemburg,totaal,100 000 - 199 999 inwoners,
België,Waals Gewest,Provincie Luxemburg,totaal,50 000 - 99 999 inwoners,
België,Waals Gewest,Provincie Luxemburg,totaal,20 000 - 49 999 inwoners,9130.0
België,Waals Gewest,Provincie Luxemburg,totaal,10 000 - 19 999 inwoners,11918.0
België,Waals Gewest,Provincie Luxemburg,totaal,5 000 - 9 999 inwoners,13249.0
België,Waals Gewest,Provincie Luxemburg,totaal,2 000 - 4 999 inwoners,11020.0
België,Waals Gewest,Provincie Luxemburg,totaal,1 000 - 1 999 inwoners,15058.0
België,Waals Gewest,Provincie Luxemburg,totaal,500 - 999 inwoners,15900.0
België,Waals Gewest,Provincie Luxemburg,totaal,200 - 499 inwoners,19288.0
België,Waals Gewest,Provincie Luxemburg,totaal,minder dan 200 inwoners,14133.0
België,Waals Gewest,Provincie Luxemburg,totaal,,109696.0
België,Waals Gewest,Provincie Namen,totaal,1 000 000 of meer inwoners,
België,Waals Gewest,Provincie Namen,totaal,500 000 - 999 999 inwoners,
België,Waals Gewest,Provincie Namen,totaal,200 000 - 499 999 inwoners,16416.0
België,Waals Gewest,Provincie Namen,totaal,100 000 - 199 999 inwoners,42782.0
België,Waals Gewest,Provincie Namen,totaal,50 000 - 99 999 inwoners,
België,Waals Gewest,Provincie Namen,totaal,20 000 - 49 999 inwoners,
België,Waals Gewest,Provincie Namen,totaal,10 000 - 19 999 inwoners,14349.0
België,Waals Gewest,Provincie Namen,totaal,5 000 - 9 999 inwoners,22049.0
België,Waals Gewest,Provincie Namen,totaal,2 000 - 4 999 inwoners,23831.0
België,Waals Gewest,Provincie Namen,totaal,1 000 - 1 999 inwoners,18576.0
België,Waals Gewest,Provincie Namen,totaal,500 - 999 inwoners,22277.0
België,Waals Gewest,Provincie Namen,totaal,200 - 499 inwoners,16725.0
België,Waals Gewest,Provincie Namen,totaal,minder dan 200 inwoners,12350.0
België,Waals Gewest,Provincie Namen,totaal,,189355.0
België,,,totaal,1 000 000 of meer inwoners,2413510.0
België,,,totaal,500 000 - 999 999 inwoners,222748.0
België,,,totaal,200 000 - 499 999 inwoners,296686.0
België,,,totaal,100 000 - 199 999 inwoners,108706.0
België,,,totaal,50 000 - 99 999 inwoners,141491.0
België,,,totaal,20 000 - 49 999 inwoners,206826.0
België,,,totaal,10 000 - 19 999 inwoners,200341.0
België,,,totaal,5 000 - 9 999 inwoners,185648.0
België,,,totaal,2 000 - 4 999 inwoners,201651.0
België,,,totaal,1 000 - 1 999 inwoners,142223.0
België,,,totaal,500 - 999 inwoners,111641.0
België,,,totaal,200 - 499 inwoners,86867.0
België,,,totaal,minder dan 200 inwoners,114633.0
België,,,totaal,,4432971.0
