België,Gewest,Provincie,totaal,Aantal kamers niveau 1,Bewoonde conventionele woningen
België,Waals Gewest,Provincie Namen,totaal,4 kamers,22774
België,Waals Gewest,Provincie Namen,totaal,5 kamers,37360
België,Waals Gewest,Provincie Namen,totaal,6 kamers,42045
België,Waals Gewest,Provincie Namen,totaal,7 kamers,28316
België,Waals Gewest,Provincie Namen,totaal,8 kamers,17410
België,Waals Gewest,Provincie Namen,totaal,9 kamers of meer,16523
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,14615
België,Waals Gewest,Provincie Namen,totaal,,194119
België,,,totaal,1 kamer,36813
België,,,totaal,2 kamers,89672
België,,,totaal,3 kamers,273791
België,,,totaal,4 kamers,732246
België,,,totaal,5 kamers,1051208
België,,,totaal,6 kamers,965680
België,,,totaal,7 kamers,566728
België,,,totaal,8 kamers,306193
België,,,totaal,9 kamers of meer,309109
België,,,totaal,Niet aangegeven,232211
België,,,totaal,,4563651
