Alle werknemersklassen,NIS werknemersklasse,Jaar,Alle plaatsen,Gewest,Aantal oprichtingen
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,2000-2999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,3000-3999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,4000-4999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Buitenland,0.0
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,5000-9999 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Vlaams Gewest,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Waals Gewest,0.0
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Buitenland,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,Onbekend,
Alle werknemersklassen,+ 10000 werknemers,2021,Alle plaatsen,,0.0
Alle werknemersklassen,,2021,Alle plaatsen,Vlaams Gewest,73624.0
Alle werknemersklassen,,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,11471.0
Alle werknemersklassen,,2021,Alle plaatsen,Waals Gewest,26284.0
Alle werknemersklassen,,2021,Alle plaatsen,Buitenland,3169.0
Alle werknemersklassen,,2021,Alle plaatsen,Onbekend,11.0
Alle werknemersklassen,,2021,Alle plaatsen,,114559.0
