Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Neen (%) 
 Meulebeke ,37007,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Middelkerke ,35011,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Moerbeke ,44045,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Mol ,13025,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Moorslede ,36012,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Mortsel ,11029,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Nazareth ,44048,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Niel ,11030,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Nieuwerkerken ,71045,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Nieuwpoort ,38016,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Nijlen ,12026,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Ninove ,41048,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Olen ,13029,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Oostende ,35013,ja,Betalingsmoeilijkheden wonen,2011,0.06,0.94
 Oostende ,35013,ja,Betalingsmoeilijkheden wonen,2014,0.08,0.92
 Oostende ,35013,ja,Betalingsmoeilijkheden wonen,2017,0.05,0.95
 Oostende ,35013,ja,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Oosterzele ,44052,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Oostkamp ,31022,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Oostrozebeke ,37010,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Opwijk ,23060,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Oudenaarde ,45035,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Oudenburg ,35014,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Oud-Heverlee ,24086,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Oudsbergen ,72042,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Oud-Turnhout ,13031,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Overijse ,23062,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Peer ,72030,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Pelt ,72043,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Pepingen ,23064,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Pittem ,37011,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Poperinge ,33021,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Putte ,12029,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Puurs-Sint-Amands ,12041,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Ranst ,11035,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Ravels ,13035,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Retie ,13036,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Riemst ,73066,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Rijkevorsel ,13037,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Roeselare ,36015,ja,Betalingsmoeilijkheden wonen,2011,0.05,0.95
 Roeselare ,36015,ja,Betalingsmoeilijkheden wonen,2014,0.04,0.96
 Roeselare ,36015,ja,Betalingsmoeilijkheden wonen,2017,0.06,0.94
 Roeselare ,36015,ja,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Ronse ,45041,nee,Betalingsmoeilijkheden wonen,2020,0.1,0.9
 Roosdaal ,23097,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Rotselaar ,24094,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Ruiselede ,37012,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Rumst ,11037,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Schelle ,11038,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Scherpenheuvel-Zichem ,24134,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Schilde ,11039,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Schoten ,11040,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Sint-Genesius-Rode ,23101,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Sint-Gillis-Waas ,46020,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Sint-Katelijne-Waver ,12035,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Sint-Laureins ,43014,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Sint-Lievens-Houtem ,41063,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Sint-Martens-Latem ,44064,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Sint-Niklaas ,46021,ja,Betalingsmoeilijkheden wonen,2011,0.06,0.94
 Sint-Niklaas ,46021,ja,Betalingsmoeilijkheden wonen,2014,0.06,0.94
 Sint-Niklaas ,46021,ja,Betalingsmoeilijkheden wonen,2017,0.05,0.95
 Sint-Niklaas ,46021,ja,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Sint-Pieters-Leeuw ,23077,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Sint-Truiden ,71053,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Spiere-Helkijn ,34043,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Stabroek ,11044,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Staden ,36019,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Steenokkerzeel ,23081,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Stekene ,46024,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Temse ,46025,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Ternat ,23086,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Tervuren ,24104,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Tessenderlo ,71057,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Tielt ,37015,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Tielt-Winge ,24135,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Tienen ,24107,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Tongeren ,73083,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Torhout ,31033,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Tremelo ,24109,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Turnhout ,13040,ja,Betalingsmoeilijkheden wonen,2011,0.07,0.93
 Turnhout ,13040,ja,Betalingsmoeilijkheden wonen,2014,0.08,0.92
 Turnhout ,13040,ja,Betalingsmoeilijkheden wonen,2017,0.06,0.94
 Turnhout ,13040,ja,Betalingsmoeilijkheden wonen,2020,0.09,0.91
 Veurne ,38025,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Vilvoorde ,23088,nee,Betalingsmoeilijkheden wonen,2020,0.07,0.93
 Vleteren ,33041,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Voeren ,73109,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Vorselaar ,13044,nee,Betalingsmoeilijkheden wonen,2020,0.02,0.98
 Vosselaar ,13046,nee,Betalingsmoeilijkheden wonen,2020,0.01,0.99
 Waasmunster ,42023,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wachtebeke ,44073,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Waregem ,34040,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wellen ,73098,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Wemmel ,23102,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Wervik ,33029,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Westerlo ,13049,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wetteren ,42025,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Wevelgem ,34041,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wezembeek-Oppem ,23103,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Wichelen ,42026,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Wielsbeke ,37017,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wijnegem ,11050,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Willebroek ,12040,nee,Betalingsmoeilijkheden wonen,2020,0.09,0.91
 Wingene ,37018,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wommelgem ,11052,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wortegem-Petegem ,45061,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Wuustwezel ,11053,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Zandhoven ,11054,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Zaventem ,23094,nee,Betalingsmoeilijkheden wonen,2020,0.08,0.92
 Zedelgem ,31040,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Zele ,42028,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Zelzate ,43018,nee,Betalingsmoeilijkheden wonen,2020,0.06,0.94
 Zemst ,23096,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Zoersel ,11055,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
