Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"ja, binnen dezelfde gemeente/stad (%)","ja, naar een andere gemeente/stad (%)","Neen,geen verhuisplannen (%)"
 Denderleeuw ,41011,nee,Verhuisintentie,2020,0.07,0.15,0.79
 Dendermonde ,42006,nee,Verhuisintentie,2017,0.13,0.08,0.8
 Dendermonde ,42006,nee,Verhuisintentie,2020,0.09,0.05,0.85
 Dentergem ,37002,nee,Verhuisintentie,2017,0.04,0.09,0.87
 Dentergem ,37002,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Dessel ,13006,nee,Verhuisintentie,2017,0.09,0.05,0.85
 Dessel ,13006,nee,Verhuisintentie,2020,0.07,0.06,0.87
 Destelbergen ,44013,nee,Verhuisintentie,2017,0.08,0.14,0.78
 Destelbergen ,44013,nee,Verhuisintentie,2020,0.06,0.05,0.9
 Diepenbeek ,71011,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Diepenbeek ,71011,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Diest ,24020,nee,Verhuisintentie,2017,0.11,0.09,0.8
 Diest ,24020,nee,Verhuisintentie,2020,0.08,0.1,0.82
 Diksmuide ,32003,nee,Verhuisintentie,2017,0.09,0.1,0.8
 Diksmuide ,32003,nee,Verhuisintentie,2020,0.08,0.07,0.85
 Dilbeek ,23016,nee,Verhuisintentie,2017,0.11,0.09,0.8
 Dilbeek ,23016,nee,Verhuisintentie,2020,0.09,0.14,0.77
 Dilsen-Stokkem ,72041,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Dilsen-Stokkem ,72041,nee,Verhuisintentie,2020,0.08,0.07,0.85
 Drogenbos ,23098,nee,Verhuisintentie,2017,0.13,0.15,0.71
 Drogenbos ,23098,nee,Verhuisintentie,2020,0.07,0.16,0.78
 Duffel ,12009,nee,Verhuisintentie,2017,0.11,0.07,0.81
 Duffel ,12009,nee,Verhuisintentie,2020,0.1,0.09,0.8
 Edegem ,11013,nee,Verhuisintentie,2017,0.09,0.15,0.76
 Edegem ,11013,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Eeklo ,43005,nee,Verhuisintentie,2017,0.13,0.12,0.75
 Eeklo ,43005,nee,Verhuisintentie,2020,0.1,0.13,0.78
 Erpe-Mere ,41082,nee,Verhuisintentie,2017,0.08,0.08,0.84
 Erpe-Mere ,41082,nee,Verhuisintentie,2020,0.04,0.09,0.87
 Essen ,11016,nee,Verhuisintentie,2017,0.11,0.08,0.81
 Essen ,11016,nee,Verhuisintentie,2020,0.11,0.08,0.81
 Evergem ,44019,nee,Verhuisintentie,2017,0.09,0.06,0.85
 Evergem ,44019,nee,Verhuisintentie,2020,0.09,0.09,0.81
 Galmaarden ,23023,nee,Verhuisintentie,2017,0.08,0.1,0.82
 Galmaarden ,23023,nee,Verhuisintentie,2020,0.03,0.11,0.86
 Gavere ,44020,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Gavere ,44020,nee,Verhuisintentie,2020,0.07,0.11,0.82
 Geel ,13008,nee,Verhuisintentie,2017,0.13,0.06,0.8
 Geel ,13008,nee,Verhuisintentie,2020,0.1,0.08,0.82
 Geetbets ,24028,nee,Verhuisintentie,2017,0.04,0.1,0.86
 Geetbets ,24028,nee,Verhuisintentie,2020,0.04,0.08,0.88
 Genk ,71016,ja,Verhuisintentie,2011,0.15,0.07,0.78
 Genk ,71016,ja,Verhuisintentie,2014,0.14,0.08,0.78
 Genk ,71016,ja,Verhuisintentie,2017,0.14,0.07,0.78
 Genk ,71016,ja,Verhuisintentie,2020,0.12,0.08,0.8
 Gent ,44021,ja,Verhuisintentie,2011,0.18,0.1,0.72
 Gent ,44021,ja,Verhuisintentie,2014,0.22,0.1,0.68
 Gent ,44021,ja,Verhuisintentie,2017,0.22,0.12,0.66
 Gent ,44021,ja,Verhuisintentie,2020,0.19,0.13,0.68
 Geraardsbergen ,41018,nee,Verhuisintentie,2017,0.06,0.12,0.82
 Geraardsbergen ,41018,nee,Verhuisintentie,2020,0.1,0.11,0.79
 Gingelom ,71017,nee,Verhuisintentie,2017,0.03,0.09,0.88
 Gingelom ,71017,nee,Verhuisintentie,2020,0.03,0.09,0.88
 Gistel ,35005,nee,Verhuisintentie,2017,0.07,0.06,0.87
 Gistel ,35005,nee,Verhuisintentie,2020,0.05,0.11,0.84
 Glabbeek ,24137,nee,Verhuisintentie,2017,0.07,0.11,0.82
 Glabbeek ,24137,nee,Verhuisintentie,2020,0.03,0.11,0.86
 Gooik ,23024,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Gooik ,23024,nee,Verhuisintentie,2020,0.06,0.08,0.85
 Grimbergen ,23025,nee,Verhuisintentie,2017,0.09,0.12,0.79
 Grimbergen ,23025,nee,Verhuisintentie,2020,0.1,0.12,0.79
 Grobbendonk ,13010,nee,Verhuisintentie,2017,0.07,0.11,0.82
 Grobbendonk ,13010,nee,Verhuisintentie,2020,0.08,0.11,0.81
 Haacht ,24033,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Haacht ,24033,nee,Verhuisintentie,2020,0.06,0.07,0.88
 Haaltert ,41024,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Haaltert ,41024,nee,Verhuisintentie,2020,0.11,0.11,0.78
 Halen ,71020,nee,Verhuisintentie,2017,0.05,0.1,0.85
 Halen ,71020,nee,Verhuisintentie,2020,0.04,0.1,0.86
 Halle ,23027,nee,Verhuisintentie,2017,0.13,0.1,0.77
 Halle ,23027,nee,Verhuisintentie,2020,0.14,0.12,0.73
 Ham ,71069,nee,Verhuisintentie,2017,0.08,0.09,0.82
 Ham ,71069,nee,Verhuisintentie,2020,0.04,0.09,0.87
 Hamme ,42008,nee,Verhuisintentie,2017,0.09,0.1,0.81
 Hamme ,42008,nee,Verhuisintentie,2020,0.1,0.08,0.83
 Hamont-Achel ,72037,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Hamont-Achel ,72037,nee,Verhuisintentie,2020,0.11,0.09,0.81
 Harelbeke ,34013,nee,Verhuisintentie,2017,0.08,0.08,0.84
 Harelbeke ,34013,nee,Verhuisintentie,2020,0.08,0.1,0.83
 Hasselt ,71022,ja,Verhuisintentie,2011,0.17,0.05,0.78
 Hasselt ,71022,ja,Verhuisintentie,2014,0.15,0.05,0.79
 Hasselt ,71022,ja,Verhuisintentie,2017,0.13,0.07,0.8
 Hasselt ,71022,ja,Verhuisintentie,2020,0.12,0.09,0.8
 Hechtel-Eksel ,72038,nee,Verhuisintentie,2017,0.1,0.12,0.78
 Hechtel-Eksel ,72038,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Heers ,73022,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Heers ,73022,nee,Verhuisintentie,2020,0.07,0.08,0.86
 Heist-Op-Den-Berg ,12014,nee,Verhuisintentie,2017,0.11,0.04,0.84
 Heist-Op-Den-Berg ,12014,nee,Verhuisintentie,2020,0.1,0.06,0.84
 Hemiksem ,11018,nee,Verhuisintentie,2017,0.07,0.13,0.8
 Hemiksem ,11018,nee,Verhuisintentie,2020,0.07,0.14,0.78
 Herent ,24038,nee,Verhuisintentie,2017,0.08,0.15,0.77
 Herent ,24038,nee,Verhuisintentie,2020,0.04,0.14,0.82
 Herentals ,13011,nee,Verhuisintentie,2017,0.12,0.09,0.79
 Herentals ,13011,nee,Verhuisintentie,2020,0.13,0.09,0.78
 Herenthout ,13012,nee,Verhuisintentie,2017,0.12,0.09,0.79
 Herenthout ,13012,nee,Verhuisintentie,2020,0.08,0.09,0.84
 Herk-De-Stad ,71024,nee,Verhuisintentie,2017,0.07,0.08,0.84
 Herk-De-Stad ,71024,nee,Verhuisintentie,2020,0.06,0.08,0.85
 Herne ,23032,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Herne ,23032,nee,Verhuisintentie,2020,0.03,0.09,0.88
 Herselt ,13013,nee,Verhuisintentie,2017,0.04,0.08,0.88
 Herselt ,13013,nee,Verhuisintentie,2020,0.05,0.07,0.88
 Herzele ,41027,nee,Verhuisintentie,2017,0.08,0.08,0.84
 Herzele ,41027,nee,Verhuisintentie,2020,0.09,0.07,0.84
 Heusden-Zolder ,71070,nee,Verhuisintentie,2017,0.11,0.08,0.81
 Heusden-Zolder ,71070,nee,Verhuisintentie,2020,0.1,0.07,0.83
 Heuvelland ,33039,nee,Verhuisintentie,2017,0.07,0.11,0.83
 Heuvelland ,33039,nee,Verhuisintentie,2020,0.06,0.09,0.85
 Hoegaarden ,24041,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Hoegaarden ,24041,nee,Verhuisintentie,2020,0.06,0.14,0.8
 Hoeilaart ,23033,nee,Verhuisintentie,2017,0.12,0.1,0.78
 Hoeilaart ,23033,nee,Verhuisintentie,2020,0.11,0.12,0.77
 Hoeselt ,73032,nee,Verhuisintentie,2017,0.06,0.13,0.81
 Hoeselt ,73032,nee,Verhuisintentie,2020,0.05,0.08,0.87
 Holsbeek ,24043,nee,Verhuisintentie,2017,0.06,0.12,0.82
 Holsbeek ,24043,nee,Verhuisintentie,2020,0.03,0.1,0.87
 Hooglede ,36006,nee,Verhuisintentie,2017,0.08,0.12,0.8
 Hooglede ,36006,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Hoogstraten ,13014,nee,Verhuisintentie,2017,0.12,0.08,0.79
 Hoogstraten ,13014,nee,Verhuisintentie,2020,0.09,0.05,0.86
 Horebeke ,45062,nee,Verhuisintentie,2017,0.03,0.12,0.85
 Horebeke ,45062,nee,Verhuisintentie,2020,0.02,0.08,0.9
 Houthalen-Helchteren ,72039,nee,Verhuisintentie,2017,0.08,0.1,0.82
 Houthalen-Helchteren ,72039,nee,Verhuisintentie,2020,0.06,0.12,0.82
 Houthulst ,32006,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Houthulst ,32006,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Hove ,11021,nee,Verhuisintentie,2017,0.05,0.12,0.83
 Hove ,11021,nee,Verhuisintentie,2020,0.03,0.13,0.84
 Huldenberg ,24045,nee,Verhuisintentie,2017,0.07,0.09,0.83
 Huldenberg ,24045,nee,Verhuisintentie,2020,0.06,0.07,0.86
 Hulshout ,13016,nee,Verhuisintentie,2017,0.05,0.09,0.85
 Hulshout ,13016,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Ichtegem ,35006,nee,Verhuisintentie,2017,0.08,0.12,0.81
 Ichtegem ,35006,nee,Verhuisintentie,2020,0.07,0.08,0.85
 Ieper ,33011,nee,Verhuisintentie,2017,0.09,0.08,0.82
 Ieper ,33011,nee,Verhuisintentie,2020,0.1,0.05,0.85
 Ingelmunster ,36007,nee,Verhuisintentie,2017,0.09,0.07,0.84
 Ingelmunster ,36007,nee,Verhuisintentie,2020,0.08,0.08,0.84
 Izegem ,36008,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Izegem ,36008,nee,Verhuisintentie,2020,0.09,0.09,0.82
 Jabbeke ,31012,nee,Verhuisintentie,2017,0.05,0.09,0.87
 Jabbeke ,31012,nee,Verhuisintentie,2020,0.05,0.11,0.84
 Kalmthout ,11022,nee,Verhuisintentie,2017,0.11,0.1,0.79
 Kalmthout ,11022,nee,Verhuisintentie,2020,0.09,0.08,0.82
 Kampenhout ,23038,nee,Verhuisintentie,2017,0.07,0.12,0.81
 Kampenhout ,23038,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Kapellen ,11023,nee,Verhuisintentie,2017,0.06,0.12,0.81
 Kapellen ,11023,nee,Verhuisintentie,2020,0.08,0.1,0.82
 Kapelle-Op-Den-Bos ,23039,nee,Verhuisintentie,2017,0.1,0.12,0.78
 Kapelle-Op-Den-Bos ,23039,nee,Verhuisintentie,2020,0.09,0.15,0.76
 Kaprijke ,43007,nee,Verhuisintentie,2017,0.07,0.08,0.85
 Kaprijke ,43007,nee,Verhuisintentie,2020,0.06,0.09,0.85
 Kasterlee ,13017,nee,Verhuisintentie,2017,0.07,0.07,0.86
 Kasterlee ,13017,nee,Verhuisintentie,2020,0.1,0.07,0.83
 Keerbergen ,24048,nee,Verhuisintentie,2017,0.06,0.12,0.81
 Keerbergen ,24048,nee,Verhuisintentie,2020,0.07,0.12,0.81
 Kinrooi ,72018,nee,Verhuisintentie,2017,0.07,0.08,0.85
 Kinrooi ,72018,nee,Verhuisintentie,2020,0.06,0.08,0.87
 Kluisbergen ,45060,nee,Verhuisintentie,2017,0.07,0.11,0.82
 Kluisbergen ,45060,nee,Verhuisintentie,2020,0.04,0.08,0.87
 Knesselare ,44029,nee,Verhuisintentie,2017,0.08,0.07,0.85
 Knokke-Heist ,31043,nee,Verhuisintentie,2017,0.15,0.09,0.77
 Knokke-Heist ,31043,nee,Verhuisintentie,2020,0.07,0.03,0.9
 Koekelare ,32010,nee,Verhuisintentie,2017,0.07,0.08,0.86
 Koekelare ,32010,nee,Verhuisintentie,2020,0.06,0.07,0.87
 Koksijde ,38014,nee,Verhuisintentie,2017,0.09,0.06,0.85
 Koksijde ,38014,nee,Verhuisintentie,2020,0.05,0.1,0.85
 Kontich ,11024,nee,Verhuisintentie,2017,0.06,0.13,0.82
 Kontich ,11024,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Kortemark ,32011,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Kortemark ,32011,nee,Verhuisintentie,2020,0.04,0.07,0.88
 Kortenaken ,24054,nee,Verhuisintentie,2017,0.05,0.07,0.88
 Kortenaken ,24054,nee,Verhuisintentie,2020,0.05,0.09,0.87
 Kortenberg ,24055,nee,Verhuisintentie,2017,0.08,0.11,0.81
 Kortenberg ,24055,nee,Verhuisintentie,2020,0.08,0.16,0.76
 Kortessem ,73040,nee,Verhuisintentie,2017,0.09,0.11,0.8
 Kortessem ,73040,nee,Verhuisintentie,2020,0.06,0.12,0.82
 Kortrijk ,34022,ja,Verhuisintentie,2011,0.1,0.1,0.8
 Kortrijk ,34022,ja,Verhuisintentie,2014,0.13,0.08,0.8
 Kortrijk ,34022,ja,Verhuisintentie,2017,0.15,0.09,0.77
 Kortrijk ,34022,ja,Verhuisintentie,2020,0.14,0.09,0.78
 Kraainem ,23099,nee,Verhuisintentie,2017,0.08,0.12,0.8
 Kraainem ,23099,nee,Verhuisintentie,2020,0.06,0.21,0.73
 Kruibeke ,46013,nee,Verhuisintentie,2017,0.12,0.09,0.79
 Kruibeke ,46013,nee,Verhuisintentie,2020,0.1,0.09,0.81
 Kruisem ,45068,nee,Verhuisintentie,2020,0.08,0.11,0.81
 Kruishoutem ,45017,nee,Verhuisintentie,2017,0.07,0.12,0.81
 Kuurne ,34023,nee,Verhuisintentie,2017,0.09,0.07,0.84
 Kuurne ,34023,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Laakdal ,13053,nee,Verhuisintentie,2017,0.06,0.08,0.86
 Laakdal ,13053,nee,Verhuisintentie,2020,0.07,0.05,0.87
 Laarne ,42010,nee,Verhuisintentie,2017,0.06,0.08,0.86
 Laarne ,42010,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Lanaken ,73042,nee,Verhuisintentie,2017,0.09,0.1,0.81
 Lanaken ,73042,nee,Verhuisintentie,2020,0.1,0.09,0.81
 Landen ,24059,nee,Verhuisintentie,2017,0.07,0.09,0.83
 Landen ,24059,nee,Verhuisintentie,2020,0.06,0.1,0.84
 Langemark-Poelkapelle ,33040,nee,Verhuisintentie,2017,0.09,0.08,0.82
 Langemark-Poelkapelle ,33040,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Lebbeke ,42011,nee,Verhuisintentie,2017,0.07,0.09,0.84
 Lebbeke ,42011,nee,Verhuisintentie,2020,0.1,0.1,0.8
 Lede ,41034,nee,Verhuisintentie,2017,0.07,0.11,0.82
 Lede ,41034,nee,Verhuisintentie,2020,0.08,0.08,0.84
 Ledegem ,36010,nee,Verhuisintentie,2017,0.07,0.09,0.84
 Ledegem ,36010,nee,Verhuisintentie,2020,0.05,0.09,0.86
 Lendelede ,34025,nee,Verhuisintentie,2017,0.08,0.08,0.84
 Lendelede ,34025,nee,Verhuisintentie,2020,0.04,0.09,0.87
 Lennik ,23104,nee,Verhuisintentie,2017,0.08,0.11,0.81
 Lennik ,23104,nee,Verhuisintentie,2020,0.07,0.12,0.81
 Leopoldsburg ,71034,nee,Verhuisintentie,2017,0.09,0.1,0.8
 Leopoldsburg ,71034,nee,Verhuisintentie,2020,0.1,0.11,0.79
 Leuven ,24062,ja,Verhuisintentie,2011,0.2,0.12,0.68
 Leuven ,24062,ja,Verhuisintentie,2014,0.19,0.16,0.66
 Leuven ,24062,ja,Verhuisintentie,2017,0.19,0.15,0.65
 Leuven ,24062,ja,Verhuisintentie,2020,0.17,0.17,0.65
 Lichtervelde ,36011,nee,Verhuisintentie,2017,0.09,0.05,0.87
 Lichtervelde ,36011,nee,Verhuisintentie,2020,0.09,0.08,0.84
 Liedekerke ,23044,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Liedekerke ,23044,nee,Verhuisintentie,2020,0.09,0.1,0.81
 Lier ,12021,nee,Verhuisintentie,2017,0.13,0.1,0.77
 Lier ,12021,nee,Verhuisintentie,2020,0.14,0.07,0.79
 Lierde ,45063,nee,Verhuisintentie,2017,0.04,0.1,0.86
 Lierde ,45063,nee,Verhuisintentie,2020,0.04,0.08,0.88
 Lievegem ,44085,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Lille ,13019,nee,Verhuisintentie,2017,0.08,0.07,0.86
 Lille ,13019,nee,Verhuisintentie,2020,0.1,0.07,0.84
 Linkebeek ,23100,nee,Verhuisintentie,2017,0.15,0.12,0.72
 Linkebeek ,23100,nee,Verhuisintentie,2020,0.05,0.16,0.8
 Lint ,11025,nee,Verhuisintentie,2017,0.1,0.11,0.79
 Lint ,11025,nee,Verhuisintentie,2020,0.05,0.13,0.81
 Linter ,24133,nee,Verhuisintentie,2017,0.04,0.13,0.83
 Linter ,24133,nee,Verhuisintentie,2020,0.04,0.1,0.85
 Lochristi ,44034,nee,Verhuisintentie,2017,0.07,0.06,0.87
 Lochristi ,44034,nee,Verhuisintentie,2020,0.07,0.08,0.85
 Lokeren ,46014,nee,Verhuisintentie,2017,0.15,0.06,0.79
 Lokeren ,46014,nee,Verhuisintentie,2020,0.11,0.05,0.84
 Lommel ,72020,nee,Verhuisintentie,2017,0.1,0.04,0.85
 Lommel ,72020,nee,Verhuisintentie,2020,0.09,0.07,0.84
 Londerzeel ,23045,nee,Verhuisintentie,2017,0.15,0.09,0.77
 Londerzeel ,23045,nee,Verhuisintentie,2020,0.1,0.1,0.81
 Lo-Reninge ,32030,nee,Verhuisintentie,2017,0.04,0.11,0.85
 Lo-Reninge ,32030,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Lovendegem ,44036,nee,Verhuisintentie,2017,0.06,0.1,0.85
 Lubbeek ,24066,nee,Verhuisintentie,2017,0.06,0.1,0.85
 Lubbeek ,24066,nee,Verhuisintentie,2020,0.07,0.11,0.83
 Lummen ,71037,nee,Verhuisintentie,2017,0.08,0.07,0.85
 Lummen ,71037,nee,Verhuisintentie,2020,0.09,0.07,0.84
