Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een verhoogde tegemoetkoming,Aantal inwoners,Procent
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1524,18336,0.0831152
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1620,18490,0.0876149
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1645,18608,0.0884028
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1687,18695,0.090238
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1678,18872,0.0889148
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1677,19020,0.0881703
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1778,26540,0.0669932
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1847,26702,0.0691708
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1927,26745,0.0720509
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,2107,26750,0.0787664
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2141,26771,0.0799746
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,2168,26850,0.0807449
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,2208,26981,0.0818354
Kapellen,11023,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,2195,27157,0.0808263
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1548,20913,0.0740209
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1601,20886,0.0766542
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1645,20873,0.0788099
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1711,20952,0.0816628
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1713,21074,0.081285
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1772,21115,0.0839214
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1825,21203,0.0860727
Kontich,11024,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1813,21260,0.0852775
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,660,8752,0.0754113
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,665,8767,0.0758526
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,680,8821,0.0770888
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,711,8781,0.0809703
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,719,8787,0.0818254
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,701,8718,0.0804084
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,675,8641,0.078116
Lint,11025,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,682,8575,0.0795335
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,2849,25242,0.112867
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,3037,25356,0.119774
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,3129,25551,0.122461
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,3361,25588,0.131351
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,3359,25824,0.130073
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,3470,26099,0.132955
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,3502,26157,0.133884
Mortsel,11029,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,3382,26170,0.129232
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1054,9833,0.10719
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1131,9962,0.113531
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1166,10136,0.115036
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1253,10236,0.122411
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1230,10424,0.117997
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1274,10501,0.121322
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1250,10546,0.118528
Niel,11030,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1180,10493,0.112456
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1537,18607,0.0826033
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1549,18696,0.0828519
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1560,18856,0.0827323
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1697,18981,0.0894052
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1722,18981,0.0907223
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1663,19008,0.0874895
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1695,19187,0.0883411
Ranst,11035,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1628,19249,0.0845758
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1202,15025,0.08
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1311,15118,0.0867178
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1340,15140,0.0885073
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1357,15083,0.0899688
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1390,15114,0.0919677
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1442,15090,0.09556
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1349,15050,0.0896346
Rumst,11037,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1342,15146,0.0886043
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,639,8183,0.0780887
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,682,8208,0.0830897
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,712,8259,0.086209
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,759,8357,0.0908221
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,799,8433,0.0947468
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,848,8518,0.0995539
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,871,8529,0.102122
Schelle,11038,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,869,8559,0.101531
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1172,19400,0.0604124
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1144,19375,0.0590452
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1165,19434,0.0599465
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1279,19516,0.065536
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1249,19585,0.0637733
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1322,19652,0.0672705
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1366,19873,0.0687365
Schilde,11039,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1374,19925,0.0689586
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,2840,33871,0.0838475
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,3060,34016,0.0899577
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,3128,34063,0.0918298
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,3503,34273,0.102209
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,3546,34462,0.102896
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,3642,34517,0.105513
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,3652,34316,0.106423
Schoten,11040,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,3441,34291,0.100347
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1246,18304,0.0680726
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1330,18407,0.0722551
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1423,18515,0.0768566
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1555,18498,0.0840631
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1592,18529,0.0859194
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1666,18710,0.0890433
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1656,18789,0.0881367
Stabroek,11044,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1631,18680,0.0873126
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,882,9131,0.096594
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,900,9314,0.0966287
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,923,9365,0.0985585
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1029,9659,0.106533
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1075,9711,0.110699
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1120,9816,0.114099
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1169,9983,0.117099
Wijnegem,11050,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1191,10084,0.118108
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1087,12467,0.0871902
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1110,12547,0.0884674
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1157,12591,0.091891
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1270,12785,0.0993352
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1271,12893,0.0985806
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1341,12865,0.104236
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1347,12943,0.104072
Wommelgem,11052,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1287,12991,0.0990686
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1829,19872,0.092039
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1872,20124,0.0930233
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1908,20228,0.0943247
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,2068,20459,0.10108
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2064,20671,0.09985
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,2115,20970,0.100858
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,2133,21213,0.100552
Wuustwezel,11053,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,2107,21346,0.098707
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1183,12729,0.0929374
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1206,12727,0.0947592
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1226,12768,0.0960213
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1281,12843,0.0997431
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1349,12985,0.103889
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1350,13025,0.103647
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1346,13071,0.102976
Zandhoven,11054,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1270,13124,0.0967693
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1911,21573,0.088583
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1962,21704,0.0903981
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,2074,21764,0.095295
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,2198,21857,0.100563
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2173,21739,0.0999586
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,2240,21944,0.102078
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,2235,22065,0.101292
Zoersel,11055,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,2169,22142,0.0979586
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1899,18952,0.100201
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,2019,18936,0.106622
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,2069,18957,0.109142
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,2263,18985,0.119199
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2327,19002,0.122461
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,2450,19056,0.128568
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,2496,19154,0.130312
Zwijndrecht,11056,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,2501,19263,0.129834
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1596,15013,0.106308
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1638,15083,0.108599
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1645,15158,0.108524
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1824,15257,0.119552
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1870,15304,0.12219
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1909,15561,0.122678
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1914,15602,0.122677
Malle,11057,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1890,15620,0.120999
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1437,11034,0.130234
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1444,11174,0.129229
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1408,11203,0.125681
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1487,11385,0.13061
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1514,11507,0.131572
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1532,11527,0.132905
Berlaar,12002,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1496,11656,0.128346
