Gemeente,NIS-code,Centrumstad?,Indicator,Soort aangifte,Jaar,Aantal individuele fiscale aangiften met een netto belastbaar inkomen lager dan 10.000 euro en aantal gemeenschappelijke aangiften met een netto belastbaar inkomen lager dan 20.000 euro,Aantal individuele fiscale aangiften en aantal gemeenschappelijke aangiften,Procent
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,87279,1408497,0.0619661
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,446279,2338621,0.19083
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,76247,1414136,0.0539177
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,425562,2342106,0.181701
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,58747,1417829,0.0414345
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,393197,2335811,0.168334
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,354,3436,0.103027
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1123,4800,0.233958
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,336,3466,0.0969417
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1176,4814,0.244287
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,300,3487,0.0860338
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,1042,4658,0.223701
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,243,3466,0.0701096
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,975,4651,0.209632
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,221,3464,0.0637991
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,953,4611,0.20668
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,200,3444,0.058072
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,872,4588,0.190061
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,188,3425,0.0548905
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,907,4669,0.19426
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,170,3424,0.0496495
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,895,4708,0.190102
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,143,3416,0.0418618
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,919,4809,0.1911
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,110,3418,0.0321826
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,897,4753,0.188723
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,104,3425,0.030365
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,848,4744,0.178752
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,97,3434,0.0282469
Aartselaar,11001,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,808,4735,0.170644
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,19935,84615,0.235597
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,46864,196915,0.237991
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,19655,85246,0.230568
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,47156,198435,0.23764
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,18662,86413,0.215963
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,45037,198729,0.226625
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,17392,87267,0.199296
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,41349,195411,0.2116
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,16790,87833,0.191158
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,40098,194968,0.205665
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,15620,88148,0.177202
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,39992,198442,0.20153
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,15457,88501,0.174653
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,40524,199984,0.202636
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,14630,88519,0.165275
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,41365,201508,0.205277
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,13245,88117,0.150312
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,41004,203874,0.201124
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,12344,87920,0.1404
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,42459,205942,0.20617
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,11612,88216,0.131631
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,40797,206557,0.19751
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,9397,88308,0.106412
Antwerpen,11002,Ja,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,36730,204212,0.179862
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,356,2753,0.129313
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1205,4479,0.269033
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,330,2745,0.120219
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1249,4541,0.27505
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,292,2756,0.105951
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,1170,4483,0.260986
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,265,2761,0.0959797
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1053,4426,0.237912
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,222,2782,0.0797987
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,1083,4419,0.245078
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,220,2811,0.078264
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1029,4384,0.234717
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,202,2844,0.0710267
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1021,4415,0.231257
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,165,2856,0.0577731
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1027,4516,0.227414
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,139,2884,0.0481969
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1036,4544,0.227993
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,133,2936,0.0452997
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,1075,4643,0.231531
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,123,2950,0.0416949
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,1034,4663,0.221746
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,96,3005,0.0319468
Boechout,11004,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,926,4649,0.199183
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,603,3314,0.181955
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1353,6453,0.20967
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,584,3307,0.176595
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1362,6518,0.20896
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,534,3327,0.160505
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,1269,6446,0.196866
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,457,3376,0.135367
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1172,6349,0.184596
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,401,3377,0.118744
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,1182,6328,0.186789
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,365,3424,0.1066
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1190,6458,0.184268
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,337,3421,0.0985092
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1176,6519,0.180396
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,316,3402,0.0928865
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1214,6584,0.184386
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,279,3437,0.0811754
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1227,6678,0.183738
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,254,3434,0.0739662
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,1318,6847,0.192493
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,205,3468,0.0591119
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,1247,6864,0.181672
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,158,3516,0.0449374
Boom,11005,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,1189,6883,0.172744
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,274,2121,0.129184
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,887,4017,0.220812
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,283,2130,0.132864
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,900,4037,0.222938
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,246,2110,0.116588
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,861,4056,0.212278
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,227,2152,0.105483
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,718,3884,0.184861
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,208,2177,0.0955443
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,704,3863,0.182242
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,196,2207,0.0888083
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,713,3883,0.183621
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,193,2201,0.0876874
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,668,3916,0.170582
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,181,2204,0.0821234
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,667,3904,0.17085
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,141,2188,0.0644424
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,677,3942,0.17174
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,140,2201,0.0636075
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,698,3970,0.175819
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,138,2203,0.0626419
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,659,3999,0.164791
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,109,2221,0.049077
Borsbeek,11007,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,583,3955,0.147408
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,1057,8198,0.128934
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,3463,13171,0.262926
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,1013,8184,0.123778
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,3459,13312,0.259841
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,900,8207,0.109662
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,3182,13150,0.241977
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,730,8272,0.0882495
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,2829,12812,0.220809
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,659,8286,0.0795317
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,2833,13021,0.217572
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,598,8281,0.0722135
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,2824,13121,0.215227
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,599,8321,0.0719865
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,2829,13290,0.212867
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,548,8369,0.0654797
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,2871,13326,0.215443
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,474,8350,0.0567665
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,2823,13426,0.210264
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,431,8337,0.0516973
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,2808,13424,0.209178
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,399,8394,0.047534
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,2624,13413,0.195631
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,304,8372,0.0363115
Brasschaat,11008,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,2407,13336,0.180489
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,1010,6451,0.156565
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,2273,8774,0.259061
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,916,6523,0.140426
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,2381,8971,0.265411
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,822,6555,0.1254
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,2155,8884,0.242571
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,661,6583,0.10041
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1964,8873,0.221346
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,537,6620,0.0811178
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,2031,8973,0.226346
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,487,6646,0.0732772
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1922,9112,0.210931
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,498,6744,0.0738434
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1886,9210,0.204777
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,448,6810,0.0657856
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1930,9408,0.205145
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,377,6879,0.0548045
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1945,9498,0.20478
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,332,6931,0.0479007
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,1975,9619,0.205323
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,277,6991,0.0396224
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,1839,9566,0.192243
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,215,7072,0.0304016
Brecht,11009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,1649,9595,0.17186
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,446,4714,0.0946118
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1883,7807,0.241194
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,421,4693,0.0897081
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1853,7806,0.237382
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,372,4684,0.0794193
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,1741,7713,0.225723
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,325,4716,0.0689143
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1490,7455,0.199866
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,290,4698,0.0617284
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,1547,7588,0.203875
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,257,4668,0.0550557
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1508,7631,0.197615
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,245,4729,0.051808
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1516,7673,0.197576
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,238,4752,0.0500842
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1434,7783,0.184248
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,205,4758,0.0430853
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1478,7862,0.187993
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,197,4785,0.0411703
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,1448,7802,0.185593
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,186,4781,0.038904
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,1363,7791,0.174945
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,134,4798,0.0279283
Edegem,11013,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,1214,7628,0.15915
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,659,4104,0.160575
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1433,5376,0.266555
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,628,4176,0.150383
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1453,5422,0.267982
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,579,4191,0.138153
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,1361,5456,0.24945
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,496,4210,0.117815
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1226,5296,0.231495
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,453,4254,0.106488
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,1260,5417,0.232601
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,425,4311,0.098585
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1228,5505,0.22307
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,419,4356,0.0961892
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1210,5639,0.214577
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,384,4334,0.0886018
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1246,5786,0.215347
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,323,4359,0.0740996
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1238,5892,0.210115
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,286,4371,0.0654313
Essen,11016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,1247,5850,0.213162
