Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Weinig (%),Neutraal (%),Veel (%)
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.36,0.4,0.24
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.42,0.41,0.17
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.4,0.45,0.15
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.48,0.43,0.1
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.42,0.46,0.12
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.53,0.39,0.08
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.48,0.35
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.11,0.44,0.45
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.37,0.46,0.17
 Alken ,73001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.44,0.41,0.15
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.47,0.4,0.12
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.6,0.29,0.11
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.46,0.43,0.11
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.65,0.27,0.08
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.41,0.42
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.25,0.42,0.33
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.38,0.45,0.17
 Alveringem ,38002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.5,0.39,0.11
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.38,0.37,0.25
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2008,0.48,0.38,0.14
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2011,0.52,0.35,0.12
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2014,0.36,0.41,0.23
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.37,0.42,0.21
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.49,0.31,0.2
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2008,0.28,0.45,0.28
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2011,0.28,0.48,0.24
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2014,0.29,0.43,0.28
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.23,0.44,0.33
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.27,0.42,0.31
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2008,0.31,0.44,0.25
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2011,0.37,0.42,0.21
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2014,0.28,0.45,0.28
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.32,0.43,0.25
 Antwerpen ,11002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.4,0.37,0.22
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.41,0.41,0.18
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.5,0.39,0.11
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.39,0.44,0.17
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.61,0.33,0.06
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.09,0.43,0.47
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.18,0.52,0.3
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.34,0.39,0.27
 Anzegem ,34002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.42,0.12
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.45,0.43,0.12
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.56,0.33,0.11
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.43,0.46,0.11
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.58,0.34,0.08
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.12,0.34,0.54
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.11,0.42,0.46
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.38,0.47,0.15
 Ardooie ,37020,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.42,0.42,0.15
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.38,0.48,0.14
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.53,0.32,0.15
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.38,0.46,0.15
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.62,0.29,0.1
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.11,0.46,0.42
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.18,0.49,0.34
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.32,0.49,0.18
 Arendonk ,13001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.52,0.35,0.13
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.37,0.48,0.15
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.51,0.4,0.09
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.37,0.47,0.17
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.6,0.33,0.07
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.12,0.33,0.55
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.11,0.42,0.47
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.32,0.45,0.23
 As ,71002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.41,0.11
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.41,0.39,0.2
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.4,0.42,0.18
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.39,0.4,0.21
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.49,0.36,0.15
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.29,0.44,0.27
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.23,0.51,0.26
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.33,0.41,0.26
 Asse ,23002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.34,0.46,0.2
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.43,0.42,0.16
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.54,0.33,0.13
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.42,0.44,0.14
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.65,0.24,0.1
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.24,0.47,0.29
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.27,0.47,0.25
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.37,0.43,0.2
 Assenede ,43002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.51,0.37,0.12
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.41,0.45,0.14
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.53,0.37,0.1
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.43,0.44,0.13
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.61,0.32,0.07
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.25,0.49,0.26
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.18,0.41,0.41
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.42,0.41,0.17
 Avelgem ,34003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.51,0.37,0.12
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.41,0.44,0.15
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.38,0.46,0.15
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.37,0.47,0.16
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.46,0.45,0.08
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.49,0.34
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.21,0.53,0.26
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.29,0.52,0.19
 Baarle-Hertog ,13002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.37,0.47,0.16
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.43,0.45,0.12
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.54,0.35,0.11
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.42,0.46,0.11
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.68,0.25,0.07
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.48,0.35
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.16,0.52,0.32
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.37,0.46,0.16
 Balen ,13003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.56,0.3,0.13
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.36,0.51,0.13
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.53,0.39,0.09
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.35,0.5,0.14
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.61,0.32,0.06
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.14,0.47,0.4
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.16,0.43,0.42
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.29,0.54,0.17
 Beernem ,31003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.48,0.38,0.13
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.39,0.45,0.16
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.52,0.36,0.12
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.41,0.44,0.15
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.62,0.29,0.09
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.33,0.47,0.2
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.24,0.53,0.23
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.33,0.48,0.19
 Beerse ,13004,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.37,0.16
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.37,0.41,0.22
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.4,0.43,0.17
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.34,0.47,0.19
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.53,0.35,0.12
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.5,0.33
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.21,0.49,0.3
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.28,0.46,0.26
 Beersel ,23003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.35,0.44,0.21
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.42,0.47,0.11
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.52,0.36,0.12
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.42,0.45,0.12
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.61,0.31,0.07
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.3,0.43,0.27
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.17,0.56,0.27
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.37,0.44,0.19
 Begijnendijk ,24007,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.42,0.11
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.41,0.44,0.15
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.56,0.35,0.1
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.41,0.44,0.15
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.64,0.32,0.05
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.13,0.46,0.41
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.19,0.49,0.32
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.36,0.48,0.16
 Bekkevoort ,24008,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.54,0.37,0.09
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.4,0.42,0.18
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.53,0.34,0.12
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.38,0.44,0.17
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.56,0.32,0.12
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.27,0.46,0.27
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.19,0.49,0.33
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.31,0.46,0.23
 Beringen ,71004,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.45,0.36,0.18
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.4,0.46,0.14
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.49,0.38,0.12
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.42,0.45,0.13
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.62,0.33,0.05
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.16,0.46,0.38
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.21,0.45,0.33
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.36,0.46,0.19
 Berlaar ,12002,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.41,0.12
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.43,0.44,0.13
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.48,0.4,0.12
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.43,0.46,0.12
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.59,0.32,0.09
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.47,0.36
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.2,0.49,0.31
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.37,0.49,0.14
 Berlare ,42003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.44,0.43,0.13
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.33,0.46,0.21
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.45,0.37,0.18
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.3,0.5,0.2
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.56,0.35,0.09
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.16,0.48,0.36
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.18,0.51,0.31
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.26,0.49,0.24
 Bertem ,24009,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.45,0.43,0.13
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.41,0.42,0.18
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.51,0.28,0.21
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.43,0.42,0.15
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.6,0.26,0.14
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.32,0.42,0.26
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.23,0.33,0.44
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.4,0.42,0.18
 Bever ,23009,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.34,0.19
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.47,0.38,0.15
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.52,0.35,0.13
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.43,0.43,0.14
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.63,0.29,0.08
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.19,0.44,0.37
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.19,0.5,0.31
 Beveren ,46003,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.34,0.48,0.18
