Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 As ,71002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.17,0.18,0.65
 As ,71002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.18,0.66
 Asse ,23002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.39,0.27,0.34
 Asse ,23002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.3,0.31,0.38
 Asse ,23002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.4,0.25,0.35
 Asse ,23002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.35,0.32,0.32
 Assenede ,43002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.23,0.38,0.4
 Assenede ,43002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.28,0.3,0.41
 Assenede ,43002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.28,0.33,0.39
 Assenede ,43002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.34,0.28,0.38
 Avelgem ,34003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.26,0.26,0.48
 Avelgem ,34003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.17,0.25,0.57
 Avelgem ,34003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.26,0.44
 Avelgem ,34003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.24,0.21,0.55
 Baarle-Hertog ,13002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.24,0.28,0.49
 Baarle-Hertog ,13002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.2,0.34,0.46
 Baarle-Hertog ,13002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.33,0.25,0.42
 Baarle-Hertog ,13002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.3,0.34,0.36
 Balen ,13003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.17,0.37,0.46
 Balen ,13003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.16,0.38,0.46
 Balen ,13003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.18,0.34,0.48
 Balen ,13003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.21,0.35,0.45
 Beernem ,31003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.19,0.28,0.53
 Beernem ,31003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.17,0.28,0.56
 Beernem ,31003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.23,0.23,0.54
 Beernem ,31003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.24,0.59
 Beerse ,13004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.35,0.29,0.36
 Beerse ,13004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.28,0.35,0.37
 Beerse ,13004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.34,0.24,0.42
 Beerse ,13004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.29,0.38
 Beersel ,23003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.25,0.34,0.41
 Beersel ,23003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.23,0.34,0.43
 Beersel ,23003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.34,0.3,0.36
 Beersel ,23003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.35,0.34,0.32
 Begijnendijk ,24007,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.27,0.32,0.42
 Begijnendijk ,24007,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.2,0.33,0.47
 Begijnendijk ,24007,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.34,0.25,0.41
 Begijnendijk ,24007,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.28,0.41
 Bekkevoort ,24008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.16,0.24,0.6
 Bekkevoort ,24008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.25,0.54
 Bekkevoort ,24008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.2,0.22,0.58
 Bekkevoort ,24008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.23,0.26,0.51
 Beringen ,71004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.29,0.29,0.42
 Beringen ,71004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.17,0.31,0.52
 Beringen ,71004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.37,0.25,0.38
 Beringen ,71004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.24,0.29,0.47
 Berlaar ,12002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.31,0.47
 Berlaar ,12002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.26,0.23,0.51
 Berlaar ,12002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.23,0.29,0.48
 Berlaar ,12002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.25,0.26,0.49
 Berlare ,42003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.25,0.24,0.51
 Berlare ,42003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.22,0.31,0.47
 Berlare ,42003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.29,0.27,0.44
 Berlare ,42003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.27,0.33,0.4
 Bertem ,24009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.27,0.27,0.46
 Bertem ,24009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.3,0.46
 Bertem ,24009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.26,0.23,0.5
 Bertem ,24009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.29,0.34,0.38
 Bever ,23009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.31,0.22,0.46
 Bever ,23009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.23,0.52
 Bever ,23009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.37,0.29,0.34
 Bever ,23009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.35,0.2,0.44
 Beveren ,46003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.2,0.31,0.49
 Beveren ,46003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.15,0.35,0.5
 Beveren ,46003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.26,0.24,0.5
 Beveren ,46003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.23,0.27,0.49
 Bierbeek ,24011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.18,0.27,0.55
 Bierbeek ,24011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.24,0.55
 Bierbeek ,24011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.15,0.25,0.6
 Bierbeek ,24011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.26,0.58
 Bilzen ,73006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.15,0.37,0.48
 Bilzen ,73006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.34,0.39
 Bilzen ,73006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.2,0.27,0.53
 Bilzen ,73006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.35,0.3,0.35
 Blankenberge ,31004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.27,0.29,0.44
 Blankenberge ,31004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.28,0.32,0.4
 Blankenberge ,31004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.28,0.3,0.42
 Blankenberge ,31004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.33,0.35
 Bocholt ,72003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.33,0.45
 Bocholt ,72003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.22,0.37,0.41
 Bocholt ,72003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.23,0.28,0.5
 Bocholt ,72003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.28,0.3,0.41
 Boechout ,11004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.2,0.24,0.56
 Boechout ,11004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.14,0.29,0.57
 Boechout ,11004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.13,0.23,0.63
 Boechout ,11004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.15,0.23,0.62
 Bonheiden ,12005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.26,0.52
 Bonheiden ,12005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.23,0.32,0.46
 Bonheiden ,12005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.21,0.22,0.57
 Bonheiden ,12005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.27,0.24,0.49
 Boom ,11005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.32,0.34,0.34
 Boom ,11005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.29,0.45
 Boom ,11005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.32,0.32,0.36
 Boom ,11005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.3,0.24,0.46
 Boortmeerbeek ,24014,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.28,0.31,0.41
 Boortmeerbeek ,24014,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.32,0.29,0.38
 Boortmeerbeek ,24014,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.31,0.25,0.44
 Boortmeerbeek ,24014,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.39,0.26,0.34
 Borgloon ,73009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.32,0.25,0.43
 Borgloon ,73009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.33,0.43
 Borgloon ,73009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.33,0.25,0.42
 Borgloon ,73009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.36,0.29,0.35
 Bornem ,12007,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.24,0.31,0.45
 Bornem ,12007,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.33,0.27,0.4
 Bornem ,12007,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.31,0.24,0.45
 Bornem ,12007,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.38,0.28,0.33
 Borsbeek ,11007,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.18,0.28,0.54
 Borsbeek ,11007,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.2,0.31,0.49
 Borsbeek ,11007,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.19,0.28,0.53
 Borsbeek ,11007,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.22,0.3,0.47
 Boutersem ,24016,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.28,0.3,0.42
 Boutersem ,24016,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.28,0.33,0.39
 Boutersem ,24016,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.28,0.33,0.39
 Boutersem ,24016,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.34,0.32,0.34
 Brakel ,45059,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.27,0.28,0.44
 Brakel ,45059,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.32,0.41
 Brakel ,45059,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.31,0.39
 Brakel ,45059,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.31,0.36
 Brasschaat ,11008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.18,0.3,0.52
 Brasschaat ,11008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.31,0.45
 Brasschaat ,11008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.21,0.28,0.51
 Brasschaat ,11008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.28,0.41
 Brecht ,11009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.2,0.34,0.45
 Brecht ,11009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.22,0.36,0.42
 Brecht ,11009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.25,0.32,0.43
 Brecht ,11009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.34,0.33
 Bredene ,35002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.1,0.23,0.67
 Bredene ,35002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.19,0.21,0.6
 Bredene ,35002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.13,0.18,0.69
 Bredene ,35002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.18,0.65
 Bree ,72004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.21,0.29,0.51
 Bree ,72004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.26,0.52
 Bree ,72004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.2,0.25,0.55
 Bree ,72004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.24,0.25,0.51
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.21,0.41,0.39
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.16,0.28,0.56
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2008,0.22,0.24,0.54
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2011,0.19,0.3,0.52
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2014,0.23,0.31,0.45
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.26,0.28,0.46
 Brugge ,31005,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.22,0.61
 Buggenhout ,42004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.25,0.24,0.51
 Buggenhout ,42004,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.29,0.47
