Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Slecht (%),Redelijk (%),Goed (%)
 Blankenberge ,31004,nee,Subjectieve gezondheid,2020,0.07,0.25,0.69
 Bocholt ,72003,nee,Subjectieve gezondheid,2020,0.05,0.24,0.71
 Boechout ,11004,nee,Subjectieve gezondheid,2020,0.02,0.26,0.72
 Bonheiden ,12005,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Boom ,11005,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Boortmeerbeek ,24014,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Borgloon ,73009,nee,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Bornem ,12007,nee,Subjectieve gezondheid,2020,0.06,0.18,0.76
 Borsbeek ,11007,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Boutersem ,24016,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Brakel ,45059,nee,Subjectieve gezondheid,2020,0.04,0.27,0.69
 Brasschaat ,11008,nee,Subjectieve gezondheid,2020,0.02,0.27,0.72
 Brecht ,11009,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Bredene ,35002,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Bree ,72004,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Brugge ,31005,ja,Subjectieve gezondheid,2011,0.04,0.21,0.75
 Brugge ,31005,ja,Subjectieve gezondheid,2014,0.05,0.2,0.75
 Brugge ,31005,ja,Subjectieve gezondheid,2017,0.04,0.25,0.71
 Brugge ,31005,ja,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Buggenhout ,42004,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Damme ,31006,nee,Subjectieve gezondheid,2020,0.02,0.18,0.79
 De Haan ,35029,nee,Subjectieve gezondheid,2020,0.03,0.26,0.71
 De Panne ,38008,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 De Pinte ,44012,nee,Subjectieve gezondheid,2020,0.03,0.17,0.8
 Deerlijk ,34009,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Deinze ,44083,nee,Subjectieve gezondheid,2020,0.01,0.23,0.76
 Denderleeuw ,41011,nee,Subjectieve gezondheid,2020,0.06,0.23,0.71
 Dendermonde ,42006,nee,Subjectieve gezondheid,2020,0.04,0.25,0.7
 Dentergem ,37002,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Dessel ,13006,nee,Subjectieve gezondheid,2020,0.03,0.2,0.76
 Destelbergen ,44013,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Diepenbeek ,71011,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Diest ,24020,nee,Subjectieve gezondheid,2020,0.04,0.28,0.68
 Diksmuide ,32003,nee,Subjectieve gezondheid,2020,0.03,0.25,0.71
 Dilbeek ,23016,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Dilsen-Stokkem ,72041,nee,Subjectieve gezondheid,2020,0.06,0.23,0.71
 Drogenbos ,23098,nee,Subjectieve gezondheid,2020,0.02,0.2,0.78
 Duffel ,12009,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Edegem ,11013,nee,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Eeklo ,43005,nee,Subjectieve gezondheid,2020,0.06,0.23,0.71
 Erpe-Mere ,41082,nee,Subjectieve gezondheid,2020,0.04,0.21,0.74
 Essen ,11016,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Evergem ,44019,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Galmaarden ,23023,nee,Subjectieve gezondheid,2020,0.06,0.25,0.69
 Gavere ,44020,nee,Subjectieve gezondheid,2020,0.02,0.25,0.73
 Geel ,13008,nee,Subjectieve gezondheid,2020,0.05,0.2,0.74
 Geetbets ,24028,nee,Subjectieve gezondheid,2020,0.05,0.31,0.64
 Genk ,71016,ja,Subjectieve gezondheid,2011,0.07,0.22,0.71
 Genk ,71016,ja,Subjectieve gezondheid,2014,0.05,0.23,0.71
 Genk ,71016,ja,Subjectieve gezondheid,2017,0.06,0.28,0.66
 Genk ,71016,ja,Subjectieve gezondheid,2020,0.06,0.25,0.69
 Gent ,44021,ja,Subjectieve gezondheid,2011,0.05,0.21,0.74
 Gent ,44021,ja,Subjectieve gezondheid,2014,0.05,0.19,0.76
 Gent ,44021,ja,Subjectieve gezondheid,2017,0.04,0.23,0.73
 Gent ,44021,ja,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Geraardsbergen ,41018,nee,Subjectieve gezondheid,2020,0.04,0.28,0.67
 Gingelom ,71017,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Gistel ,35005,nee,Subjectieve gezondheid,2020,0.04,0.27,0.69
 Glabbeek ,24137,nee,Subjectieve gezondheid,2020,0.02,0.3,0.69
 Gooik ,23024,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Grimbergen ,23025,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Grobbendonk ,13010,nee,Subjectieve gezondheid,2020,0.05,0.25,0.7
 Haacht ,24033,nee,Subjectieve gezondheid,2020,0.02,0.2,0.78
 Haaltert ,41024,nee,Subjectieve gezondheid,2020,0.04,0.24,0.71
 Halen ,71020,nee,Subjectieve gezondheid,2020,0.04,0.28,0.68
 Halle ,23027,nee,Subjectieve gezondheid,2020,0.03,0.28,0.69
 Ham ,71069,nee,Subjectieve gezondheid,2020,0.07,0.24,0.69
 Hamme ,42008,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Hamont-Achel ,72037,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Harelbeke ,34013,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Hasselt ,71022,ja,Subjectieve gezondheid,2011,0.04,0.2,0.76
 Hasselt ,71022,ja,Subjectieve gezondheid,2014,0.04,0.21,0.75
 Hasselt ,71022,ja,Subjectieve gezondheid,2017,0.06,0.24,0.7
 Hasselt ,71022,ja,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Hechtel-Eksel,72038,nee,Subjectieve gezondheid,2020,0.03,0.29,0.68
 Heers ,73022,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Heist-Op-Den-Berg ,12014,nee,Subjectieve gezondheid,2020,0.05,0.25,0.71
 Hemiksem ,11018,nee,Subjectieve gezondheid,2020,0.06,0.2,0.75
 Herent ,24038,nee,Subjectieve gezondheid,2020,0.03,0.2,0.77
 Herentals ,13011,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Herenthout ,13012,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Herk-De-Stad ,71024,nee,Subjectieve gezondheid,2020,0.05,0.23,0.73
 Herne ,23032,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Herselt ,13013,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Herzele ,41027,nee,Subjectieve gezondheid,2020,0.03,0.24,0.72
 Heusden-Zolder ,71070,nee,Subjectieve gezondheid,2020,0.04,0.22,0.73
 Heuvelland ,33039,nee,Subjectieve gezondheid,2020,0.04,0.23,0.74
 Hoegaarden ,24041,nee,Subjectieve gezondheid,2020,0.02,0.23,0.75
 Hoeilaart ,23033,nee,Subjectieve gezondheid,2020,0.02,0.19,0.79
 Hoeselt ,73032,nee,Subjectieve gezondheid,2020,0.03,0.27,0.7
 Holsbeek ,24043,nee,Subjectieve gezondheid,2020,0.02,0.17,0.81
 Hooglede ,36006,nee,Subjectieve gezondheid,2020,0.03,0.18,0.79
 Hoogstraten ,13014,nee,Subjectieve gezondheid,2020,0.04,0.16,0.8
 Horebeke ,45062,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Houthalen-Helchteren ,72039,nee,Subjectieve gezondheid,2020,0.05,0.28,0.67
 Houthulst ,32006,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Hove ,11021,nee,Subjectieve gezondheid,2020,0.02,0.18,0.8
 Huldenberg ,24045,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Hulshout ,13016,nee,Subjectieve gezondheid,2020,0.07,0.28,0.66
 Ichtegem ,35006,nee,Subjectieve gezondheid,2020,0.02,0.26,0.72
 Ieper ,33011,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Ingelmunster ,36007,nee,Subjectieve gezondheid,2020,0.05,0.26,0.69
 Izegem ,36008,nee,Subjectieve gezondheid,2020,0.04,0.22,0.73
 Jabbeke ,31012,nee,Subjectieve gezondheid,2020,0.01,0.23,0.76
 Kalmthout ,11022,nee,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Kampenhout ,23038,nee,Subjectieve gezondheid,2020,0.02,0.26,0.72
 Kapellen ,11023,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Kapelle-Op-Den-Bos ,23039,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Kaprijke ,43007,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Kasterlee ,13017,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Keerbergen ,24048,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Kinrooi ,72018,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Kluisbergen ,45060,nee,Subjectieve gezondheid,2020,0.02,0.23,0.74
 Knokke-Heist ,31043,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Koekelare ,32010,nee,Subjectieve gezondheid,2020,0.05,0.24,0.72
 Koksijde ,38014,nee,Subjectieve gezondheid,2020,0.02,0.23,0.75
 Kontich ,11024,nee,Subjectieve gezondheid,2020,0.03,0.19,0.78
 Kortemark ,32011,nee,Subjectieve gezondheid,2020,0.05,0.26,0.69
 Kortenaken ,24054,nee,Subjectieve gezondheid,2020,0.04,0.27,0.7
 Kortenberg ,24055,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Kortessem ,73040,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Kortrijk ,34022,ja,Subjectieve gezondheid,2011,0.06,0.18,0.76
 Kortrijk ,34022,ja,Subjectieve gezondheid,2014,0.07,0.21,0.72
 Kortrijk ,34022,ja,Subjectieve gezondheid,2017,0.05,0.25,0.7
 Kortrijk ,34022,ja,Subjectieve gezondheid,2020,0.02,0.2,0.78
 Kraainem ,23099,nee,Subjectieve gezondheid,2020,0.01,0.19,0.8
 Kruibeke ,46013,nee,Subjectieve gezondheid,2020,0.05,0.22,0.73
 Kruisem ,45068,nee,Subjectieve gezondheid,2020,0.03,0.2,0.77
 Kuurne ,34023,nee,Subjectieve gezondheid,2020,0.02,0.22,0.76
 Laakdal ,13053,nee,Subjectieve gezondheid,2020,0.03,0.22,0.76
 Laarne ,42010,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Lanaken ,73042,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Landen ,24059,nee,Subjectieve gezondheid,2020,0.04,0.27,0.7
 Langemark-Poelkapelle ,33040,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Lebbeke ,42011,nee,Subjectieve gezondheid,2020,0.04,0.25,0.7
 Lede ,41034,nee,Subjectieve gezondheid,2020,0.03,0.24,0.72
 Ledegem ,36010,nee,Subjectieve gezondheid,2020,0.05,0.24,0.7
 Lendelede ,34025,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Lennik ,23104,nee,Subjectieve gezondheid,2020,0.04,0.19,0.76
 Leopoldsburg ,71034,nee,Subjectieve gezondheid,2020,0.04,0.27,0.69
 Leuven ,24062,ja,Subjectieve gezondheid,2011,0.05,0.19,0.76
 Leuven ,24062,ja,Subjectieve gezondheid,2014,0.04,0.18,0.78
 Leuven ,24062,ja,Subjectieve gezondheid,2017,0.04,0.22,0.74
 Leuven ,24062,ja,Subjectieve gezondheid,2020,0.03,0.19,0.78
 Lichtervelde ,36011,nee,Subjectieve gezondheid,2020,0.04,0.28,0.68
 Liedekerke ,23044,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Lier ,12021,nee,Subjectieve gezondheid,2020,0.04,0.24,0.71
 Lierde ,45063,nee,Subjectieve gezondheid,2020,0.03,0.26,0.7
 Lievegem ,44085,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Lille ,13019,nee,Subjectieve gezondheid,2020,0.03,0.17,0.79
 Linkebeek ,23100,nee,Subjectieve gezondheid,2020,0.03,0.2,0.77
 Lint ,11025,nee,Subjectieve gezondheid,2020,0.03,0.19,0.78
 Linter ,24133,nee,Subjectieve gezondheid,2020,0.04,0.27,0.69
 Lochristi ,44034,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Lokeren ,46014,nee,Subjectieve gezondheid,2020,0.03,0.27,0.71
 Lommel ,72020,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Londerzeel ,23045,nee,Subjectieve gezondheid,2020,0.02,0.22,0.76
 Lo-Reninge ,32030,nee,Subjectieve gezondheid,2020,0.01,0.19,0.8
 Lubbeek ,24066,nee,Subjectieve gezondheid,2020,0.04,0.22,0.75
 Lummen ,71037,nee,Subjectieve gezondheid,2020,0.03,0.3,0.67
 Maarkedal ,45064,nee,Subjectieve gezondheid,2020,0.03,0.21,0.77
 Maaseik ,72021,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Maasmechelen ,73107,nee,Subjectieve gezondheid,2020,0.07,0.3,0.64
 Machelen ,23047,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Maldegem ,43010,nee,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Malle ,11057,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Mechelen ,12025,ja,Subjectieve gezondheid,2011,0.04,0.23,0.73
 Mechelen ,12025,ja,Subjectieve gezondheid,2014,0.04,0.21,0.75
 Mechelen ,12025,ja,Subjectieve gezondheid,2017,0.06,0.27,0.67
 Mechelen ,12025,ja,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Meerhout ,13021,nee,Subjectieve gezondheid,2020,0.05,0.21,0.75
 Meise ,23050,nee,Subjectieve gezondheid,2020,0.03,0.16,0.8
 Melle ,44040,nee,Subjectieve gezondheid,2020,0.02,0.23,0.75
 Menen ,34027,nee,Subjectieve gezondheid,2020,0.05,0.25,0.7
 Merchtem ,23052,nee,Subjectieve gezondheid,2020,0.02,0.26,0.73
 Merelbeke ,44043,nee,Subjectieve gezondheid,2020,0.03,0.18,0.78
 Merksplas ,13023,nee,Subjectieve gezondheid,2020,0.03,0.18,0.79
 Mesen ,33016,nee,Subjectieve gezondheid,2020,0.06,0.27,0.66
 Meulebeke ,37007,nee,Subjectieve gezondheid,2020,0.03,0.27,0.7
 Middelkerke ,35011,nee,Subjectieve gezondheid,2020,0.06,0.29,0.65
 Moerbeke ,44045,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Mol ,13025,nee,Subjectieve gezondheid,2020,0.03,0.27,0.7
 Moorslede ,36012,nee,Subjectieve gezondheid,2020,0.02,0.24,0.74
 Mortsel ,11029,nee,Subjectieve gezondheid,2020,0.05,0.22,0.73
 Nazareth ,44048,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Niel ,11030,nee,Subjectieve gezondheid,2020,0.05,0.25,0.71
 Nieuwerkerken ,71045,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Nieuwpoort ,38016,nee,Subjectieve gezondheid,2020,0.05,0.26,0.69
 Nijlen ,12026,nee,Subjectieve gezondheid,2020,0.06,0.21,0.73
 Ninove ,41048,nee,Subjectieve gezondheid,2020,0.05,0.2,0.75
 Olen ,13029,nee,Subjectieve gezondheid,2020,0.02,0.24,0.75
 Oostende ,35013,ja,Subjectieve gezondheid,2011,0.07,0.25,0.68
 Oostende ,35013,ja,Subjectieve gezondheid,2014,0.04,0.28,0.68
 Oostende ,35013,ja,Subjectieve gezondheid,2017,0.07,0.29,0.64
 Oostende ,35013,ja,Subjectieve gezondheid,2020,0.06,0.26,0.68
 Oosterzele ,44052,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Oostkamp ,31022,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Oostrozebeke ,37010,nee,Subjectieve gezondheid,2020,0.04,0.17,0.79
 Opwijk ,23060,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Oudenaarde ,45035,nee,Subjectieve gezondheid,2020,0.02,0.27,0.7
 Oudenburg ,35014,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Oud-Heverlee ,24086,nee,Subjectieve gezondheid,2020,0.03,0.18,0.78
 Oudsbergen ,72042,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Oud-Turnhout ,13031,nee,Subjectieve gezondheid,2020,0.03,0.18,0.79
 Overijse ,23062,nee,Subjectieve gezondheid,2020,0.05,0.15,0.8
 Peer ,72030,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Pelt ,72043,nee,Subjectieve gezondheid,2020,0.04,0.22,0.75
 Pepingen ,23064,nee,Subjectieve gezondheid,2020,0.02,0.2,0.78
 Pittem ,37011,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Poperinge ,33021,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Putte ,12029,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Puurs-Sint-Amands ,12041,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Ranst ,11035,nee,Subjectieve gezondheid,2020,0.04,0.19,0.78
 Ravels ,13035,nee,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Retie ,13036,nee,Subjectieve gezondheid,2020,0.04,0.24,0.73
 Riemst ,73066,nee,Subjectieve gezondheid,2020,0.04,0.23,0.74
 Rijkevorsel ,13037,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Roeselare ,36015,ja,Subjectieve gezondheid,2011,0.05,0.22,0.72
 Roeselare ,36015,ja,Subjectieve gezondheid,2014,0.05,0.21,0.75
 Roeselare ,36015,ja,Subjectieve gezondheid,2017,0.05,0.25,0.7
 Roeselare ,36015,ja,Subjectieve gezondheid,2020,0.04,0.22,0.75
 Ronse ,45041,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Roosdaal ,23097,nee,Subjectieve gezondheid,2020,0.04,0.19,0.77
 Rotselaar ,24094,nee,Subjectieve gezondheid,2020,0.02,0.23,0.75
 Ruiselede ,37012,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Rumst ,11037,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Schelle ,11038,nee,Subjectieve gezondheid,2020,0.02,0.24,0.74
 Scherpenheuvel-Zichem ,24134,nee,Subjectieve gezondheid,2020,0.06,0.31,0.63
 Schilde ,11039,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Schoten ,11040,nee,Subjectieve gezondheid,2020,0.03,0.24,0.72
 Sint-Genesius-Rode ,23101,nee,Subjectieve gezondheid,2020,0.03,0.2,0.77
 Sint-Gillis-Waas ,46020,nee,Subjectieve gezondheid,2020,0.05,0.19,0.76
 Sint-Katelijne-Waver ,12035,nee,Subjectieve gezondheid,2020,0.04,0.21,0.76
 Sint-Laureins ,43014,nee,Subjectieve gezondheid,2020,0.03,0.25,0.71
 Sint-Lievens-Houtem ,41063,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Sint-Martens-Latem ,44064,nee,Subjectieve gezondheid,2020,0.02,0.2,0.79
 Sint-Niklaas ,46021,ja,Subjectieve gezondheid,2011,0.06,0.22,0.71
 Sint-Niklaas ,46021,ja,Subjectieve gezondheid,2014,0.05,0.19,0.75
 Sint-Niklaas ,46021,ja,Subjectieve gezondheid,2017,0.06,0.26,0.68
 Sint-Niklaas ,46021,ja,Subjectieve gezondheid,2020,0.04,0.23,0.72
 Sint-Pieters-Leeuw ,23077,nee,Subjectieve gezondheid,2020,0.05,0.23,0.71
 Sint-Truiden ,71053,nee,Subjectieve gezondheid,2020,0.04,0.29,0.67
 Spiere-Helkijn ,34043,nee,Subjectieve gezondheid,2020,0.02,0.2,0.77
 Stabroek ,11044,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Staden ,36019,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Steenokkerzeel ,23081,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Stekene ,46024,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Temse ,46025,nee,Subjectieve gezondheid,2020,0.05,0.19,0.76
 Ternat ,23086,nee,Subjectieve gezondheid,2020,0.05,0.22,0.73
 Tervuren ,24104,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Tessenderlo ,71057,nee,Subjectieve gezondheid,2020,0.04,0.22,0.74
 Tielt ,37015,nee,Subjectieve gezondheid,2020,0.05,0.22,0.74
 Tielt-Winge ,24135,nee,Subjectieve gezondheid,2020,0.04,0.29,0.67
 Tienen ,24107,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Tongeren ,73083,nee,Subjectieve gezondheid,2020,0.06,0.25,0.69
 Torhout ,31033,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Tremelo ,24109,nee,Subjectieve gezondheid,2020,0.03,0.27,0.7
 Turnhout ,13040,ja,Subjectieve gezondheid,2011,0.05,0.21,0.74
 Turnhout ,13040,ja,Subjectieve gezondheid,2014,0.05,0.21,0.74
 Turnhout ,13040,ja,Subjectieve gezondheid,2017,0.05,0.25,0.71
 Turnhout ,13040,ja,Subjectieve gezondheid,2020,0.05,0.22,0.73
 Veurne ,38025,nee,Subjectieve gezondheid,2020,0.05,0.23,0.73
 Vilvoorde ,23088,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Vleteren ,33041,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Voeren ,73109,nee,Subjectieve gezondheid,2020,0.03,0.25,0.72
 Vorselaar ,13044,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Vosselaar ,13046,nee,Subjectieve gezondheid,2020,0.04,0.21,0.74
 Waasmunster ,42023,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Wachtebeke ,44073,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Waregem ,34040,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Wellen ,73098,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Wemmel ,23102,nee,Subjectieve gezondheid,2020,0.02,0.2,0.78
 Wervik ,33029,nee,Subjectieve gezondheid,2020,0.04,0.26,0.69
 Westerlo ,13049,nee,Subjectieve gezondheid,2020,0.05,0.23,0.73
 Wetteren ,42025,nee,Subjectieve gezondheid,2020,0.01,0.27,0.72
 Wevelgem ,34041,nee,Subjectieve gezondheid,2020,0.03,0.2,0.77
 Wezembeek-Oppem ,23103,nee,Subjectieve gezondheid,2020,0.02,0.18,0.8
 Wichelen ,42026,nee,Subjectieve gezondheid,2020,0.04,0.27,0.7
 Wielsbeke ,37017,nee,Subjectieve gezondheid,2020,0.04,0.21,0.75
 Wijnegem ,11050,nee,Subjectieve gezondheid,2020,0.03,0.23,0.75
 Willebroek ,12040,nee,Subjectieve gezondheid,2020,0.05,0.23,0.72
 Wingene ,37018,nee,Subjectieve gezondheid,2020,0.03,0.2,0.77
 Wommelgem ,11052,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Wortegem-Petegem ,45061,nee,Subjectieve gezondheid,2020,0.02,0.23,0.75
 Wuustwezel ,11053,nee,Subjectieve gezondheid,2020,0.03,0.18,0.79
 Zandhoven ,11054,nee,Subjectieve gezondheid,2020,0.04,0.19,0.77
 Zaventem ,23094,nee,Subjectieve gezondheid,2020,0.04,0.23,0.74
 Zedelgem ,31040,nee,Subjectieve gezondheid,2020,0.02,0.21,0.77
 Zele ,42028,nee,Subjectieve gezondheid,2020,0.04,0.26,0.7
 Zelzate ,43018,nee,Subjectieve gezondheid,2020,0.05,0.31,0.64
 Zemst ,23096,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Zoersel ,11055,nee,Subjectieve gezondheid,2020,0.02,0.22,0.76
 Zonhoven ,71066,nee,Subjectieve gezondheid,2020,0.03,0.25,0.73
 Zonnebeke ,33037,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Zottegem ,41081,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Zoutleeuw ,24130,nee,Subjectieve gezondheid,2020,0.03,0.24,0.73
 Zuienkerke ,31042,nee,Subjectieve gezondheid,2020,0.03,0.19,0.78
 Zulte ,44081,nee,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Zutendaal ,71067,nee,Subjectieve gezondheid,2020,0.05,0.26,0.68
